Barrio,Edad,Sexo,Mes,Dia,Hora
1 DE ENERO,-0.0274893728122832,0.22124733241177985,-0.2958997149405911,-0.0742914571918356,-0.17156061669329456
1 DE MAYO,-0.08422761548845636,0.24229566137924266,-0.2515982391094386,-0.043997895352080506,-0.018778635877982817
12 DE OCTUBRE,-0.09959744149310648,-0.23433141412354383,-0.17767345118084993,-0.008989809342690648,-0.10239079403699687
20 DE JULIO,-0.08297687794319672,0.5339692916054096,-0.20176824348010627,-0.0528941235519206,-0.09251527926550827
7 DE AGOSTO,-0.045046299618519865,-0.36023198336290524,-0.10441331924163552,-0.041307447519106304,-0.05455313915645097
BARRIO ROMPELLANOS,-0.06981840842576315,-0.06047386686069511,-1.1637777290837208,0.03765481782592463,-0.25223794491260876
BELLAVISTA,-0.08626520497197242,-19.173198233791123,-0.43632943431713483,-0.039400169189323125,-0.10116177459852686
BRISAS DEL LLANO,-0.08004892158799069,-0.8283122221710713,-0.09437241163436803,-0.03604021255713479,-0.04362308052137404
CABAÑAS DEL RIO,-0.041688979274041874,-0.7008628839632863,-0.2603859110653986,-0.05506238137924988,-0.06413093947834539
CAÑO ARENAL,-0.02784060080116848,0.3500904853860359,-1.538535502801919,-0.16849322980188003,-0.06924988932655143
CENTAURO,-0.3189112525490981,1.077870501857737,-0.1244587932167074,-0.1078040454982653,0.054298594634260094
CORDOBA,-0.020586393687683648,-0.322500045503751,-0.10707168416665012,-0.04465959795016809,-0.049965032542067384
COSTA HERMOSA,-0.16183025029181072,-0.09923403713124544,-0.6291870541501442,0.03352493195742695,-0.08449539274724142
CRISTO REY,-0.014938002446310827,-0.6115730845876131,-0.09095712117539925,-0.024481829589526286,-0.023036853822556783
EL BOSQUE,-0.038841571763326026,-0.9220159030885279,-0.17029979736394968,-0.05943912311830731,-0.06439660669111055
EL CENTRO,-0.02491507390190358,-0.484849330858314,-0.08191174697011233,-0.042834996634254864,-0.026859064858828875
EL CHIRCAL,-0.1465214346254534,-0.07493670307729991,-0.049489745352969315,-0.11166479885202416,-0.07811959525579927
EL DIQUE,-0.0340781045526747,-1.1701255186591586,-0.5673130202556048,-0.016040091518631044,-0.1663212185135964
EL JARDIN,-0.06755128349800142,-0.5290393421994884,-0.23696094490619535,-0.08902448446782651,-0.05799466188031721
EL TRIUNFO,-0.1149628787947003,-0.6777364740452686,-0.13692009493235172,-0.06011911887625111,-0.04146399240285689
FLOR AMARILLO,-0.11369209467282211,-0.05835478445635062,-0.11144089021369548,-0.04160197245128825,-0.07289940240487856
FLOR DE MI LLANO,-0.07943580227667685,0.6631942727100628,-0.09825323358506699,-0.03408922247967995,-0.02793596356395697
FUDADORES BAJO,-0.44495051773928607,1.8171937974833796,0.09554316387501399,-0.2213408273547431,0.09906584228715393
FUNDADORES ALTO,-0.10553098363569485,-1.0286651706823282,-0.21922979287079045,-0.06811929243658768,-0.020714029617908705
INVASION BELLO HORIZONTE,-0.13924030838782067,0.6208135621925941,-0.08501349638819466,-0.0563604610769175,-0.15228308808192123
INVASION BRISAS DEL PUENTE,-0.07960801841840216,0.2628371518939953,-0.22509354770390017,-0.055953240292568276,-0.06693753322777657
INVASION JERUSALEN,-0.12453685025646019,0.3732850965678472,-0.4784428893244883,0.03069146746547142,-0.21336812315395837
INVASION LLANO ALTO,-0.1053413679140208,-0.8643768434987381,-0.2550939106916333,-0.027590474646593817,-0.0700703363609872
INVASION SAN VICENTE DE PAUL,-0.26120425375169526,0.4281430746589247,-0.01188700020781098,-0.21386762480420687,0.04833198749140685
KILOMETRO 2 VIA CAÑO LIMON,-0.017911727514092736,-19.94931417968608,-0.6472638534461586,-1.1145533228194477,0.07420705236316363
KILOMETRO 6 VIA AL COMPLEJO CAÑO LIMON,-0.1540570730979641,-0.4180331928635514,-0.1366638362461468,-0.02516276957476961,-0.19965971037692626
LA ANTIOQUEÑITA,-0.05219925809853453,-0.31915701306932953,-0.4422853200769573,-0.09259995896292175,-0.13300952195881716
LA CHORRERA,-0.07997329469505488,-0.8423229002729709,-0.07004303384866876,-0.12342121535016297,-0.049694192505170716
LA ESPERANZA,-0.021235315527088804,-0.5730674664007843,-0.10909100242869885,-0.03709728277045292,-0.021099714433324115
LA GRANJA,-0.09617139235110372,-0.9383068333594496,-0.06433423180275277,-0.0750319011252359,-0.047579648558540424
LA VICTORIA,-0.06308279475228261,-19.796128036775347,-0.10459355303986509,-0.5256757768886877,-0.07041988758936665
LAS AMERICAS,-0.023468637965851143,-0.35803881656224923,-0.16553588285713142,-0.02618975373469368,-0.040131705950854975
LAS CABAÑAS,-0.08280342527219489,-0.9557867861979514,-0.12222002523760547,-0.05546696418109426,-0.026847810599626938
LAS COROCORAS,-0.05455862751493534,-0.2939082476639721,-0.14690008047420777,-0.048498642165659384,-0.015351068859412901
LOS FUNDADORES,-0.07791572726958874,-0.4076326246227824,-0.08638077760080048,-0.06518134013298965,-0.017269898256941953
LOS GUARATAROS,-0.0919038201485172,-0.4546602952075325,-0.11415674574614335,-0.01599503178187897,0.01590084927786319
LOS LIBERTADORES,-0.0377942523305054,-0.4028754559923961,-0.15008990618468043,-0.03813976557773456,-0.07531414464066527
LOS SABANALES,-0.06174220724893087,-23.58103280009164,-0.24676496981220825,-0.20199491190191077,-0.06420633243020868
MATA DE VENADO,-0.06048503279967065,-0.1559401403641511,-0.236347302687514,-0.07878920469816036,-0.08897014477252406
MERIDIANO 70,-0.04192836126125531,-0.8358037850200981,-0.16632636234672105,-0.026063060631686553,-0.025091578841130537
MIRAMAR,-0.04597985461833511,-0.39469092565958913,-0.13237131166059565,-0.031652298051923655,-0.03145837252584156
MIRAMAR FRONTERA,-0.051340834908288516,-0.5705115742292404,-0.16772017308061798,-0.03327254792141267,-0.12422161219852378
MORAVIA  C-4,-0.08714493334295002,-0.219465924284421,-0.6551079029071818,0.004446499791557064,-0.10313265228045865
OITIZ,-0.0598436192018149,-1.1381722909339402,-0.1892618960288696,-0.13937739080898642,-0.07407215213952752
OLAYA HERRERA,-0.8089987212176541,7.827332989693606,-0.710629755502064,-1.1063127371261892,0.45531059800976637
OLIMPICO,-0.10997435071589277,2.7605580102218887,-0.17016956994827923,-0.10071692516869739,-0.08024406589019886
PEDRO NEL JIMENEZ,-0.07103646300291161,-0.1763446213066382,-0.22422316065984846,-0.03720999480056748,-0.07686084640531181
PIQUETIERRA,-0.1896411489069731,-0.14984407699041913,-0.3191858324177442,-0.0036473347034091164,0.008953782418698266
PORVENIR,-0.06640012208148649,0.008751437655216014,-0.27384918805005415,-0.05622637557299605,-0.08006115684298334
ROMPE LLANO,-0.033196880565849955,0.26118714582266295,-1.9928811286749362,0.027401314610980415,-0.24815909464914299
SAN CARLOS,-0.05745214120618355,-0.7971784554963406,-0.12369647560104478,-0.04130670805641937,-0.021880028268663507
SAN LUIS,-0.041651407924719,-0.21287459701603992,-0.12364399495050388,-0.029727120433358373,-0.05281338508795943
SANTA TERESITA,-0.05196592185460127,-0.8807597945997663,-0.07865133696732793,-0.02078669286444914,-0.031607969672108174
SANTAFE,-0.04327128802535051,-0.008911974687716262,-0.1411757603912699,-0.08014520915012659,-0.09018919138378596
SANTAFESITO,-0.08817995996187453,-0.4435265541648289,-0.22155594456863464,-0.03469331066786735,-0.062026838096288194
UNION,-0.023418073487743298,-0.24699288541766537,-0.14056177761729471,-0.04074587517353091,-0.039936190864775165
URBANIZACION  BULEVAR DE LA CEIBA,-0.17488461156660728,-1.1591440644886035,-0.29289861571946246,0.03622563962415124,-0.05152777916510582
URBANIZACION  SABANALES,-0.04837534765859431,-1.5909229049566853,-0.3134317443028464,-0.08740899762452785,-0.13807710111759336
URBANIZACION BOSQUE CLUB,-0.19154299689827153,-1.0557605646841526,-0.12706909743423753,0.06015863310650207,-0.08620539002058256
URBANIZACION EL ARAUCO,-0.6006691030776449,0.8756767967537236,0.06466572553080448,0.04088221881701408,0.10196487555825348
URBANIZACION EL MORICHE,-0.15075637418814763,0.023948932261073204,-0.5006797860641959,0.023704673497798714,-0.1420758296027824
URBANIZACION EL PALMAR,-0.23815650246449274,-17.532504341026875,-0.6531641605726687,-0.1402148136804002,0.16475990348077632
URBANIZACION EL TROMPILLO,-0.07009618769121914,-0.8643637592046054,-0.18607941650481055,-0.052186097990096554,-0.21647989098748596
URBANIZACION FLOR AMARILLO,-0.2668873608638549,-20.302664590786947,0.5379023686559009,-0.5575318799895097,-0.22031134414577336
URBANIZACION LOS ALMENDROS,-0.4266464561645725,0.39756628025855223,-0.1037198079582584,0.012167740085146232,0.07371505685116239
URBANIZACION PALMA REAL,-0.0786089634602522,-18.136771284578362,-0.32996202421299364,-0.035349688713477,-0.07668862120692425
URBANIZACION PLAYITAS,-0.13083989516013653,-0.8727735848955682,-0.25010248656866485,-0.014917065307587036,-0.035116737445551126
URBANIZACION SANTA BARBARA,-0.06945643743986651,-0.9652559782283855,-0.15607969822171536,-0.04248923594638876,-0.08126984843854805
URBANIZACION VILLA CELESTE,-0.17325804118467442,-9.788366749162392,-0.17418300619446578,-0.007475093682189812,0.0036431646731456685
URBANIZACION VILLA DEL PRADO,-0.08054326120876935,-0.6678049022879846,-0.3973089953004773,-0.14284969790451577,-0.056395600024355924
URBANIZACION VILLA LUZ,-0.3087487901399534,-16.57175607146213,0.06361780996118133,-0.01605694577244455,0.05698823435069076
VEREDA  CLARINETERO,-0.06206314361061239,-1.385508666682189,-0.42504564254849836,-0.019858584707333215,-0.06885148972658596
VEREDA ARAUCA,-0.12203347735344969,-18.317465242365245,-0.23482633183178836,-0.005723728379515469,-0.2019850080787968
VEREDA ARRECIFES,-0.29724762667726495,0.5605684890752191,0.07036955043129701,-0.1468605357690476,0.016729498929939707
