Barrio,Edad,Sexo,Mes,Dia,Hora
12 DE OCTUBRE E12,-0.06350844989265286,-1.3802316643748753,-0.14442984737006487,-0.05109619177764029,-0.08857475222074346
20 DE JULIO E11,-0.0703496540313502,-1.4942510801663706,-0.10635190574247437,-0.04857345686779776,-0.07300488926867117
3 DE JULIO E19,-0.05398824167898885,-1.4649553809638312,-0.11566761293480417,-0.03769382695958013,-0.04622977014214042
ACUEDUCTO SAN ANTONIO E3,-0.07989982730684667,-1.5536862101789317,-0.18532526763684,-0.058817648836633575,-0.07627374530402198
AGUABLANCA E11,-0.06326487022633427,-1.3484684976415646,-0.14058128676424542,-0.02594948234344256,-0.08978130205463546
AGUACATAL E1,-0.06653690138231645,-1.019035618153004,-0.13552269870857508,-0.042930799013955245,-0.08911897438152802
ALAMEDA E9,-0.029184094771333352,-1.3040483122018782,-0.11714972277884689,-0.038724494723477804,-0.07239742476104843
ALFEREZ REAL E18,-0.06144502765025193,-1.7342623478682417,-0.14923542129465853,-0.0365695613337798,-0.050307097385631806
ALFONSO B. ARAGON E14,-0.0501017578851242,-0.9329044799598897,-0.09925410998951435,-0.03576614810791387,-0.06107921200284068
ALFONSO BARBERENA E12,-0.07563695351991188,-1.8422501150679713,-0.1087001424921971,-0.08133508546796556,-0.06720558087878026
ALFONSO LOPEZ I E7,-0.04558078451993113,-0.859248181336538,-0.1149235149806145,-0.03715528695482429,-0.059910146377238835
ALFONSO LOPEZ II E7,-0.06695117288264898,-1.1859507237870743,-0.14033155938592784,-0.03299282595861739,-0.056871117843725644
ALFONSO LOPEZ III E7,-0.04947203683303379,-1.0937830728655635,-0.13750918528363246,-0.03960903197256425,-0.06404207457425452
ALIRIO MORA BELTRAN E14,-0.06647710029697336,-0.7592833385694258,-0.11034223237385897,-0.04069593810991557,-0.09240689951541059
ALTO JORDAN E18,-0.06265810920107916,-1.2668004345184827,-0.14547030924862683,-0.033249049671827645,-0.09685337485185976
ALTO NAPOLES E18,-0.06371798131550693,-1.1914206743618816,-0.14513250047276519,-0.058586316238329626,-0.08548220147433068
