Barrio,Edad,Sexo,Mes,Dia,Hora
11 DE NOVIEMBRE,-0.10803677784056363,-1.0022090953550296,-0.15445456060465154,-0.03590099243942097,-0.07275851179827608
13 DE JUNIO,-0.08157006417223688,-0.735836937117321,-0.14307041950203722,-0.06407510715245703,-0.054769367172119575
20 DE JULIO,-0.104308262528166,-0.6092746083808332,-0.10219587290642929,-0.06095958601166414,-0.05045420335342016
20 DE JULIO (E-1),-0.1916379168852493,-21.70895527409761,-1.0634815633769041,0.011543701299715351,-0.0452626831790049
5 DE NOVIEMBRE,-0.14911904398587897,-0.04307283031741392,-0.6705389182604644,-0.06086657306545572,-0.21852470096198728
7 DE AGOSTO,-0.13026970981331584,-0.7442192939940557,-0.16583453278345955,-0.05528176719728966,-0.058675818526161765
ALAMEDA LA VICTORIA,-0.08409213928438244,-0.5129045631857669,-0.1957431377151908,-0.050337002116809505,-0.07219565257138445
ALAMEDA REAL,-0.13659065972870502,-1.1346681943252959,-0.21982742244080877,-0.11746520187485773,-0.11452224487314382
ALBORNOZ,-0.08686768319129713,-0.6046051883251339,-0.20617669135204092,-0.054554474292984184,-0.09606246377431407
ALCIBIA,-0.09332209744449112,-0.6419734100744452,-0.19448839643713317,-0.04321406867461741,-0.050639303330375
ALMIRANTE COLON,-0.08607816812164285,-0.48846001375979986,-0.17502215001776056,-0.0534322692926296,-0.07274454840165101
ALTO BOSQUE,-0.07203393048344407,-0.7944846559165972,-0.12506069380895604,-0.04195762765072096,-0.05769639800480795
ALTOS DE JARDINES,-0.12826502113715502,-1.0486725400887873,-0.2077469348496362,-0.05934488530136743,-0.10929095454648063
ALTOS DE SAN ISIDRO,-0.11447027618752215,-0.39338668979405605,-0.12999314846281806,-0.06935478368936748,-0.09422025626592105
AMBERES,-0.07467794517960338,-0.712893261190551,-0.1466140709997511,-0.04644107494130344,-0.055152720048145185
ANDALUCIA,-0.1610397449990415,-1.2547977322132173,-0.12098226022490091,-0.06778405950306829,-0.06569605334792213
ANITA ( E - 3 ),-0.10706240444749396,-0.5138381375902691,-0.25561164814715825,-0.10230589104965218,-0.061337071039653336
ANTONIO JOSE DE SUCRE,-0.11792278255960822,-1.0014227263201978,-0.3067460010066899,-0.06964106352798884,-0.06164448480709713
ARABIA E-4,-0.17957283072170988,-15.900933929299011,-0.7048682219887983,-0.02101035124519474,-0.1326049577048655
ARMENIA,-0.1310110741601019,-0.2992367310409766,-0.15915867335733672,-0.059049822894156494,-0.03193820289867933
ARROZ BARATO,-0.12189545032143397,-0.2746314518579133,-0.19036283171117802,-0.05377200331491378,-0.059804449204631994
BAJO LIBERTADOR,-0.2460822079954279,0.006640918512287669,-0.4207406124444374,-0.003617853153303682,-0.08986764962442056
BAJOS DEL TIGRE,-0.1478963702569106,-0.37254323904696685,-0.3057123921000166,-0.2950082810040483,-0.23470194381409432
BARRIO CHINO,-0.07879780099844935,-0.866802851652872,-0.1699351667064715,-0.0271497435302827,-0.04367269960948754
BARRIO MILITAR DE CRESPO,-0.19573732972062244,-0.8622006769968918,-0.23528950336580873,-0.08311134341447507,-0.060274227822015886
BARRIO OBRERO,-0.22157178639117675,-0.24574320800634192,-0.08265120241198591,-0.15095975463719796,-0.0450283578611578
BARRIOS UNIDOS,-0.13230437259166042,-0.41438957526574893,-0.2720262195716997,-0.1618323793763239,-0.12091237014420236
BASE NAVAL,-0.2412160121335712,-0.028883929021913942,-0.05735439755999388,-0.11229249920947297,-0.07889248318813269
BAYUNCA,-0.15858475339311684,-0.7284620107019173,-0.30223512511163103,-0.06386363564940006,-0.04793382336237832
BAZURTO,-0.056119354092201285,-0.9702300168062726,-0.12818040517204982,-0.040880062374361176,-0.05056349751320725
BEIRUT,-0.12606686150786878,-1.8742874828027551,-0.4979451868106312,-0.09672012232973887,-0.09137638919097664
BELLA VISTA,-0.10536200136769018,-0.3533733764534873,-0.15829694036350908,-0.06348269187755114,-0.07148707355207336
BERNARDO JARAMILLO,-0.2655138134544219,-0.7752245589445843,-0.12354500710297985,-0.08566288641758271,-0.08226730446689755
BLAS DE LEZO,-0.07351075873708167,-0.4226205851933258,-0.08895359510470714,-0.04235653334171851,-0.03605876127776913
BOCA CHICA ISLA,-0.1279334084240179,-0.5411647729681651,-0.49709265978146183,-0.07991609865850133,-0.10195537949239784
BOCAGRANDE,-0.039723496556843464,-0.5400873823234057,-0.14521226611316074,-0.039531364873027865,-0.021940385405175986
BOSQUE,-0.09129562431161964,-0.4226995201140624,-0.11420568533229028,-0.06454693193353361,-0.08402332035202568
BOSQUE DE LA CIRCUNVALAR,-0.10397743792580738,-0.49336931114306964,-0.21296101887315458,-0.04171496343601366,-0.04325408321257402
BOSQUE INDUSTRIAL,-0.05837146943435417,-0.09129612652653253,-0.17373138867175014,-0.04765129945409109,-0.046324643162069676
BOSQUECITO,-0.1796287229926595,-0.11730763482160861,-0.14712819725484655,-0.047406405003442696,-0.058127566674026195
BOSTON,-0.08403926824066782,-0.5376321738264128,-0.15825562648622218,-0.03812989680966549,-0.04537531974361394
BRUSELAS,-0.07454238250859285,-0.4147175105413853,-0.15682451826059607,-0.05446017030441128,-0.07491024238223176
BUENA VISTA,-0.20086444691279562,0.10564699918460527,-0.3276384677779116,-0.13227393009724875,-0.08279135305835836
BUENOS AIRES,-0.07706289746667519,-0.5274886920274866,-0.2075446940389124,-0.08532373985729876,-0.07029972990050194
C.C. LA CASTELLANA (E-1),-0.09834975847366606,-1.0195449970804813,-0.14036864101575347,-0.050137777401614354,-0.04666500742005244
C/GENA DE INDIAS I,-0.18235033526603345,-0.9774931470472632,-0.1578821357833166,-0.12752090653130943,-0.023140274644944933
C/GENA DE INDIAS II,-0.17438909985696163,-0.8661476855246577,-0.5525000282800161,-0.02784900085626309,-0.0707920160172895
CALAMARI,-0.21457713191464264,-0.402735757927947,-0.17105472180902065,-0.04287683897743186,-0.05981835178650093
CAMAGUEY,-0.14498938741678455,-1.2523008958213402,-0.13846301434244102,-0.07140273956129221,-0.034996943327429614
CAMILO TORRES,-0.14994417070469557,-0.5218212523026254,-0.25961129822949,-0.0659541559289399,-0.053035043463141994
CANAPOTE,-0.084759377016796,-0.6722067874263485,-0.14729056249537287,-0.045056403735278805,-0.061056438292532975
CARCEL TERNERA,-1.6677553305804615,-7.490110191921661,-1.7566775749729509,-2.7733396488105937,0.7948730044350436
CARTAGENITA,-0.1422090766823873,-0.8707383509575723,-0.2296261082629621,-0.06599610541145007,-0.08723810999004086
CASTILLETE,-0.12544611457878235,-0.7664250917742534,-0.4475482704594238,-0.07419567637526145,-0.06956645606387508
CASTILLO GRANDE,-0.1053249043133086,-0.6473620946382842,-0.1511817001975406,-0.05354529195543599,-0.032080637142297905
CEBALLOS,-0.07657092779460352,-0.16294704563890072,-0.16563326223816857,-0.042797808912524986,-0.05150288074638248
CENTRO,-0.03543961265313316,-0.7358996460964168,-0.07689467631454638,-0.030393607997107934,-0.018411405637485216
CEREZOS,-0.07361009117126313,-1.0714431690073356,-0.17232873680598979,-0.09172207665225861,-0.08934596410980865
CERRO DE LA POPA,-0.2041715113999251,-2.245617453270246,-0.053602267733274145,-0.05940014117808311,-0.09549265769449962
CESAR FLORES,-0.05438736454404838,-18.713244676633824,0.3601385407493488,-6.101169875039142,-0.13089555010729123
CHAMBACU,-0.07930058963270382,-0.7742835337808431,-0.14954082890605072,-0.0415139564417431,-0.03190505189942573
CHAPACUA,-0.13677227220605978,-0.6539610887847397,-0.08252486279459512,-0.0663996486569578,-0.09034654083384744
CHIPRE,-0.09631692453818878,-0.8639369312201568,-0.15356454545084117,-0.05717181985599636,-0.0691045168215195
CHIQUINQUIRA,-0.09680977697524885,-0.2212227420005967,-0.1428726517367976,-0.040637399955225244,-0.04932757339270121
CIELO MAR,-0.33291051957857437,-0.8059872655832305,-0.10894860053481499,-0.060682228697698425,-0.013172034924150816
CIUDAD BICENTENARIO,-0.12448769352351392,-0.6545244857714579,-0.1456629640769506,-0.059350174970601854,-0.06581501013551849
CIUDAD SEVILLA,-0.17556836140849075,-0.9938450882599481,-0.12028795520731597,-0.09240404148656897,-0.0322236958833101
COLOMBIATON  E-10,-0.09935714241452233,-0.24219852082688492,-0.20897021583853373,-0.06021740065858053,-0.04896344116200493
CONJ. ALTOS DE LOS ALPES,-0.22300376244317954,-1.1543852831624521,-0.03598268754371593,-0.08379398567689834,-0.07676642565803676
CONTADORA,-0.11180320955294562,-1.2227561771262474,-0.20253245239544926,-0.04765491959125954,-0.10891618789249437
CORREGIMIENTO AGUAS PRIETA,-0.06420524204998838,-21.371192957831173,-1.6050663311245297,-0.03863138725368559,-14.82987137247351
CRESPITO,-0.13105227306952938,-0.5326268410959178,-0.21703392388456266,-0.05024153355945619,-0.060645566300965535
CRESPO,-0.06180694453255818,-0.46530891037230176,-0.14789837789544205,-0.04220151643588059,-0.03816563302390493
CTO. ARROYO DE PIEDRA,0.054158793052668804,11.696197852663087,-21.30961689840971,-0.022053961890400084,0.05193279290308952
CTO. BARU,-0.08963588369962491,-0.16317957540084008,-0.3307266650702423,-0.06182536482668235,-0.08515008323587663
CTO. BOCACHICA,-0.14582110418433314,-1.3499819749032234,-0.2482666868365168,-0.06787895430600319,-0.05383976761592075
CTO. SANTA ANA,-0.14450561880162474,-0.5452547289384232,-0.20802008430597757,-0.07291391656921364,-0.11061859263411189
Cto PASACABALLOS,-0.10434126674335929,-0.07319752028326065,-0.19776003563109962,-0.056891630180862816,-0.05927098553452425
D. LEMAITRE II ETAPA,-0.248168996656506,-1.2844820341563237,-0.08938788401039768,-0.041827807029961875,-0.15573475771584233
DANIEL LEMAITRE,-0.07450126894531715,-0.67655355022999,-0.13415155823693606,-0.04060989289559918,-0.04137058501605373
EL BIFFI,-0.12076319408831168,-1.3407337415912974,-0.27204852300900384,-0.20365647985322524,-0.08713232237432245
EL BOSQUE,-0.09220303808811033,-0.3388934323391595,-0.1061786523835449,-0.06070214786711295,-0.08321690973690858
EL CABRERO,-0.09401655752049992,-0.8515585532908031,-0.12165827806173544,-0.046133092534364276,-0.038471313504760504
EL CAIRO,-0.15007737878493008,-0.5907669426374165,-0.13689038356121594,-0.042330225175484064,-0.055092038047017906
