Barrio,Edad,Sexo,Mes,Dia,Hora
AEROPUERTO CAMILO DAZA,-0.05123754595516906,-1.5939785075916328,-0.07661892625112442,-0.07240633252161192,-0.10504447783945275
AGUA CLARA,0.08704140658175961,-11.678697865141288,-0.2722735383002851,0.0676701545629179,-0.0573313626131428
AGUA LINDA,-0.0018050920523147596,-4.890965443089865,-0.14454715444531072,-0.04249201132436608,-0.20360963960071757
ANILLO VIAL (JURD VILLA DEL ROSARIO),0.04448783173835948,-239.61068311732393,0.3521411012962282,0.015469304465378081,10.0328698008598
ATALAYA SEGUNDA ETAPA,-0.055812374357412396,-1.4772507244508981,-0.0464525691951197,-0.06371037462497196,-0.1029944699445537
AVENIDA GRAN COLOMBIA,-0.05346838825294805,-1.5710133387210408,-0.22691610984987004,-0.025793824089400254,-0.09489739050643177
BARIO LA RIVIERA,-0.05524765277779124,-0.978462974517231,-0.08594536028081473,-0.024202067106192583,-0.03339807769181536
BARRIO,-0.12226789190022704,-3.073842259517696,-0.04190310361868102,-0.0151422241772646,-0.08231944623052397
BARRIO  VILLA DE LAS AMERICAS,-0.1577574449206522,-0.5919263998774837,-0.06043440731829078,-0.02548592026792168,-0.1108648316868961
BARRIO 13 DE MARZO,-0.04498532030555095,-1.8856889200657718,-0.20123592246335908,-0.12394231925462074,-0.09521816108765778
BARRIO 13 DE MAYO,-0.029440550145388104,-3.2181939526318115,-0.057820366400442524,-0.15861898314866546,-0.13636794678865316
BARRIO 28 DE FEBRERO,-0.06854436865293985,-0.8529111530382387,-0.16052586533910493,-0.054527696206089014,-0.10613303628448162
BARRIO AEROPUERTO,-0.049911316927657934,-0.5829004242283017,-0.08881410085056597,-0.03255850982930468,-0.06964602718956411
BARRIO AGUAS CALIENTES,-0.050530247337345256,-1.2048639420609906,-0.11569288014145014,-0.04476652750230612,-0.05028811985816361
BARRIO ALCALA,-0.03096412077385928,-3.1387288185103173,-0.5433087062082472,-0.06309346625072446,-0.05371983049206444
BARRIO ALFONSO LOPEZ,-0.07426034036015904,-0.5974412350691191,-0.15259439133195662,-0.03181379697682422,-0.060466126657198006
BARRIO ALONSI,-0.18767737608502905,-0.3763584596804662,-0.2510407641783888,-0.03215117996845921,-0.11164211818758121
BARRIO ALONSITO,-0.07777516020222894,-5.45531408582327,-0.13612784193078237,0.05406813134173088,0.026019490291577786
BARRIO ALTO PAMPLONITA,-0.06600199863453368,-1.177390240830587,-0.15277271069467127,-0.08468309420229171,-0.05266780849130934
BARRIO ANIVERSARIO l,-0.06520496546691495,-1.6539927937994805,-0.14071506663354996,-0.025194092211786385,-0.03065156142567079
BARRIO ANIVERSARIO ll,-0.05300342540029907,-1.799765733819775,-0.06350580247144455,-0.047224013939479705,-0.07043445960031253
BARRIO ANTONIA SANTOS,-0.045265993609119544,-1.1040226883949409,-0.0873055476069973,-0.02983352406109363,-0.04759845352372532
BARRIO ARNULFO BRICEÑO,-0.07384304027946764,-1.2348358439593936,-0.24481170923165782,-0.058875898102154496,-0.04446223941326634
BARRIO ATALAYA 1 ETAPA,-0.04854642965853837,-0.9227941135491855,-0.06265678154208316,-0.04582696684611789,-0.025754082049416576
BARRIO BAJO PAMPLONITA,-0.04358056990398943,-2.985047562117163,-0.032665678996449586,-0.01973734903752689,-0.11283457541784007
BARRIO BELEN,-0.049672477678604984,-0.9030097338270104,-0.12178803810231319,-0.02727130258648377,-0.06206658592241939
BARRIO BELISARIO,-0.04959226563915316,-1.3945979616842292,-0.09239987549261362,-0.032579008137864775,-0.06838769834898975
BARRIO BELLA VILLA,-0.086641169361708,-2.0534604382353883,-0.1704845214538307,-0.004585427724425315,-0.19352332212934722
BARRIO BELLA VISTA,-0.05847312880182644,-0.9049012900756075,-0.2986708882338407,-0.47787353385185594,-0.18208895599036373
BARRIO BELLAVISTA,-0.045581252457325645,-1.4473100092460678,-0.15294467879132756,-0.03925761369373382,-0.06385039230513559
BARRIO BENJAMIN HERRERA,-0.0563798656493506,-4.896285458712894,0.024204047840395943,-0.06796755851817951,0.018995773999831024
BARRIO BETEL,-0.2676126849472477,-0.10336596691674589,-0.5499224239220316,-0.025020483092152723,0.03253073311694191
BARRIO BLAN,-0.04472731088827113,-0.9694821785580207,-0.1743029592675249,-0.03630476137242046,-0.05963325320415864
BARRIO BLANCO,-0.028831266366994235,-1.5844383280486027,-0.08721283535204785,-0.040535443167711814,-0.09838246453537938
BARRIO BOCONO,-0.10784401854533565,-0.9270619975027358,-0.14691489888084033,-0.04851492470303532,-0.04325983327239833
BARRIO BOGOTA,-0.052112834141279166,-0.7388869553694454,-0.23922858953838547,-0.09111028799737556,-0.086798704841109
BARRIO BOSQUES DE PAMPLONITA,-0.11670197633077946,-1.8636821943325015,-0.18380889773953846,0.009052328699091134,-0.056348177968247044
BARRIO BRISAS DE LOS ANDES,0.013310715682992552,-5.685362732093374,0.12469775128126387,-0.15852846742847682,-0.39239499001732037
BARRIO BRISAS DE LOS MOLINOS,-0.3636320206646622,-0.3907565259607587,0.07786158189825627,0.029524506178965612,-0.17845843944405526
BARRIO BRISAS DE MOLINO,-0.058542092246508345,-2.2300987614485512,-0.20082886470778966,-0.09113893114399717,-0.29907579144035484
BARRIO BRISAS DEL AEROPUERTO,-0.11086421213219062,-1.0595800977136207,-0.03304220116847392,-0.082204146414151,-0.0856967252578921
BARRIO BRISAS DEL PARAISO,-0.021293900136336842,-4.066679373248788,-0.22159662877201305,0.013530829754150294,-0.13713406553850016
BARRIO BRISAS DEL PORVENIR,-0.19916927962907618,-1.0064797687780866,-0.14027820863330914,-0.01493063245793992,-0.04464198227599286
BARRIO BRISAS DEL TRIGAL,-0.09224482361453562,-1.2253547164472736,-0.1668632302117714,-0.03623044274674081,-0.08637437877664152
BARRIO BUENA ESPERANZA,-0.012217106407057593,-3.8063122401574345,-0.36822517281935685,-0.00932608787892772,-0.1930628406013615
BARRIO BUENOS AIRES,-0.09056024747656388,-0.9388621617556736,-0.12978737722889583,-0.040262437416634794,-0.08340053286879588
BARRIO CALLEJON,-0.03250239790281265,-0.6432892531246968,-0.08934566168895483,-0.03509934577231283,-0.04555177952926248
BARRIO CAMILO DAZA,-0.03909479032895705,-0.9999675837401775,0.09235581808469723,-0.02751603386284096,-0.20510425905868787
BARRIO CAMILO TORRES,-0.031239686555462484,-2.498166903455886,-0.17011719218105292,-0.031026183959082423,-0.05478570764897803
BARRIO CAOB,-0.04216152580319011,-0.9783281455073418,-0.10424034976388774,-0.03549622000248389,-0.0004072102676050535
BARRIO CAOBOS,-0.029425361124465164,-1.2819856821343034,-0.11319299457065998,-0.01939663202724994,-0.05828103053024323
BARRIO CARCEL MODELO,0.03101623151513894,-12.841751608006707,-0.14177841182040712,-0.14639899362318318,0.3215447885645446
BARRIO CARLOS GARCIA LOZADA,-0.05565777232105272,-2.106329870669131,-0.22775735008954462,-0.043707956285326525,-0.12087812659418874
BARRIO CARLOS PIZARRO,-0.08437284100847621,-0.8521067149068229,-0.10736958401343029,-0.0428891828495101,-0.07234407413681387
BARRIO CARLOS RAMIREZ PARIS,-0.057004536058404366,-1.4790461657430674,-0.10662873962792663,-0.03203953978831424,-0.06541661025083714
BARRIO CARORA,-0.047521667920916194,-0.5874184419392916,-0.1302096852861875,-0.053576139926354065,-0.07070571737411996
BARRIO CAÑO FISTOLO,-0.027811018023828873,-2.4483885749706613,-0.42497503067712095,-0.05112510898686482,-0.07656890448471727
BARRIO CAÑO LIMON,-0.07767419687025262,-3.871915984009281,0.05552361688472159,-0.06971324103307494,-0.024554554241631714
BARRIO CEC,-0.03667073259749851,-1.771947753516199,-0.09036935020950972,-0.04956483702695203,-0.09619350373694754
BARRIO CECI,-0.05859870236379858,-1.1590348135733404,-0.0510718761170025,-0.04255105971828513,-0.10157076974245198
BARRIO CECILIA CASTRO,-0.04708717689436892,-1.2372456948277917,-0.18129324021544427,-0.060280479974756,-0.11121818067649278
BARRIO CEI,-0.07569521044159618,-2.480352252791096,-0.03491969723590684,-0.03551143836872219,-0.07210748620526813
BARRIO CEIB,-0.06351207777288777,-1.0877916908455358,-0.11693205012968916,-0.042835440991441036,-0.02278757638941037
BARRIO CEIBA,-0.05582946094472984,-0.9452515545851968,-0.17090542282713933,-0.03768662080313656,-0.015695630401346135
BARRIO CEIBA II,-0.036021561444885816,-1.530792264411012,-0.062096722855057435,-0.07490619847097832,-0.08311307868986356
BARRIO CENABASTOS,-0.06087328360907948,-0.886713540363104,-0.08514206086519446,-0.035513747549621125,-0.10090597534882578
BARRIO CENTRO,0.0002955008334113769,-0.8991424057089108,-0.012752235461878139,-0.012904473263356387,-0.03794403293809098
BARRIO CERRO LA CRUZ,-0.04783630715838874,-1.8871256929616893,-0.17380680229502699,-0.08718431689580043,-0.08970637625774931
BARRIO CERRO NORTE,-0.11273337650592627,-0.5251602492950103,-0.12122817023221284,-0.07805885515204534,-0.08077506276478116
BARRIO CERRO PICO,-0.08802449231605133,-0.903661077946439,-0.24680686190005285,-0.09883991857148543,-0.09566942973208067
BARRIO CHAPINERO,-0.0533272154278591,-0.6619835921087749,-0.09505719878062843,-0.0199863295036959,-0.05311469329138309
BARRIO CIRCUNVALACION,-0.08580962600976495,-1.1118212744049099,-0.10997377612598169,-0.08010597246294911,-0.035776679682652315
