Barrio,Edad,Sexo,Mes,Dia,Hora
12 DE OCTUBRE,-0.0989217608045001,-1.316338892569323,-0.1977870525384914,-0.06842209035459386,-0.10681453917224079
2 DE JUNIO,-0.0888233063758958,-1.586343600066518,-0.17272304565236063,-0.04583537686721293,-0.10933711753850457
20 DE JULIO,-0.046698018250082685,-1.418524409463613,-0.0878366612149673,-0.031187320399739555,-0.09625158066574178
AGUA MARINA,-0.06034790971004029,-1.6040644844471406,-0.11550549790032122,-0.10566432470761859,-0.04922171158285225
AIMA,-0.060475357211806115,-5.117581452023165,-0.05005642505839112,-0.01779964260233846,-0.05135735476551333
AIMARA,-0.04673415947248174,-4.351660961213463,-0.11550012063055956,-0.00988418306291989,-0.22637456131213823
ALAMEDA,-0.04953601571221316,-1.9245479701005388,-0.19598902032916996,-0.06129342915088885,-0.07129219552291881
ALASKA,-0.054944763793001346,-1.4501607742711304,-0.10310805102815132,-0.0621861082241197,-0.09464508476397311
ALASKITA,-0.16072129544570327,-1.3975056030676378,-0.2075853525049945,-0.004024942657035584,-0.10749975374507446
ALBANIA,-0.18066036770597246,-1.9064380763244533,0.07119060230486228,-0.07554723225373863,-0.04984720498792764
ALBERTO LLERAS,-0.09857913202941326,-2.2830113199308784,-0.12753465790070254,-0.05899330869454145,-0.14365049614303815
ALFONSO LOPEZ,-0.06213950691462447,-1.725376950328956,-0.20566133848016427,-0.04391911595605959,-0.08244232424465266
ALFONSO URIBE BADILLO,0.026147281611433038,-5.612564285973958,-0.10990490874329388,-0.16841240863156182,-0.07658924826846834
ALMERIA,-0.2691399947165247,-1.2268864983274446,0.05096405665076942,-0.00262703272335894,-0.2900991514943108
ALTAGRACIA CONJUNTO RESIDENCIAL (8),-0.0796939717394719,-1.4789768246281079,-0.12424953104918525,-0.02492214976947134,-0.09700058077118104
ALTAMIRA,-0.07088249750025945,-2.5665094327682128,-0.11451408970514243,-0.0019041092363839619,-0.14625964671168518
ALTAMIRA (9),-0.09322488505557629,-1.5114108312032593,-0.24550232510928474,-0.03179205102353122,-0.054497818654661585
ALTO DE LA CRUZ,0.08019739493548071,-13.65166714281965,-0.1893313894612924,0.09038844523935359,0.06688518040527595
