Barrio,Edad,Sexo,Mes,Dia,Hora
5 DE DICIEMBRE,-0.05920655978738368,-2.0821660358212566,-0.12153229724348294,-0.08054090062322794,0.030219142111536333
AEROPUERTO,-0.0774976060030556,0.29551354388090545,-0.15123980675984586,-0.14709931731275805,-0.12467268129275239
AMERICAS,-0.2725745420529217,2.1242279747132016,-0.4332508168674087,0.03418226508311116,0.03974419264576834
BARRANCO MINA,-0.04484261009002024,-0.6302943672077348,-0.3377938190162352,-0.042363470901845314,-0.13797619692721608
BERLIN,-0.0550975938632222,0.02446179648603708,-0.03860059721351604,-0.05101586271936272,-0.0020261360348217037
BRISAS DEL PALMAR,-0.10372818997461405,-0.4646432872516666,-0.14624488625247659,-0.0424553273502704,0.058033737219482684
CAÑO MINICIARE,-0.038498716034389105,-1.2668000811078046,-0.22354095566765542,-0.0689148520174167,-0.07020545735235773
COMUNEROS,-0.035606145853168625,-0.6803518656744217,-0.11588265087507468,-0.03259617930442838,-0.010644363652709252
COMUNIDAD CAÑO VITINA,0.03445592062388937,-1.0116228016821405,-0.24827606569526917,-0.6913838118652385,-0.07473264959883805
COMUNIDAD CUCURITAL,0.3293604389131237,1.2918937467573857,-19.55393434808473,-7.013959124773276,1.7506779561092736
COMUNIDAD DE CAÑO VITINA,-0.21001288288799744,0.9170019208737242,0.05476831280921838,-0.05509042659874478,-0.008109290590965728
COMUNIDAD DE SABANITAS,-0.06209029577974677,-0.4276426371393836,-0.18060390339812077,-0.03548660594848129,-0.08342838101618191
COMUNIDAD EL COCO,-0.03794684007303446,-0.4317199027212166,-0.2838160041799522,-0.01220902496661023,-0.054837672370686756
COMUNIDAD EL PAUJIL,-0.0411525137339612,-0.47752121655945046,-0.07743181056642762,0.0010477273483771095,-0.06776060336847421
COMUNIDAD GUAMAL,-0.04024479768416366,-0.16498390746609512,-0.1691411631652376,-0.09072725079772853,-0.07035033254127834
COMUNIDAD GUARIBEN,-0.1422967336807973,1.04860251381054,-0.3535512841199318,-0.003843552259489689,-0.0981352376821904
COMUNIDAD LA CEIBA,-0.3210336750654987,3.5703343962940672,-0.6831684027005542,-0.5662467602161855,0.37605719340988264
COMUNIDAD LA FUGA,-0.08340013355831657,-0.22115751667013747,-0.5732689733618155,-0.04218435300702342,0.021480322365068673
COMUNIDAD SABANITAS,-0.060762698820270244,0.6170587928680976,-0.5467967648170026,-0.044420891709968525,-0.006743008209571039
COMUNIDAD VENADO,-0.07807317824327087,0.8760568421670976,0.2168126882044448,-3.231532018001357,0.17340498823734843
CORREGIMIENTO AMANAVEN,-0.08358403386692796,-0.01646088703017306,-0.17151702643037556,-0.012760593427979694,-0.11417394326414275
EL CENTRO,-0.014178770243855037,-0.5004192340984523,-0.10083156259997181,-0.025337193385295866,0.007164327760199142
EL GALAN,-0.09020000961142392,0.00168087736106305,-0.06545521799565396,-0.06450988023302671,0.03198791789878026
EL LIMONAR,1.8605900996243396,-35.071479667353024,-9.469701475113098,-7.7052104065263665,-18.27687213439774
EL PUERTO,-0.023926269076537506,0.7102779760893491,-0.2739310025345056,-0.03156581428833713,-0.031017422715073874
INVASION CASA BLANCA,-0.12765359614560934,1.8112065769450563,-0.1317135972574447,-0.26777121124359743,0.014252580156492873
JARDIN,-0.08042456877155886,2.251380427922391,-1.219435649317232,0.08641177749674206,-31.82797302919099
LA ESPERANZA,-0.02929336123584616,-0.2127279809656817,-0.15018331855588837,-0.060727891653847996,-0.025450760018343208
LA PRIMAVERA I,-0.06665932130250037,-0.5160088105115722,-0.12359046797575107,-0.024004058900064025,0.046099638067800604
LA PRIMAVERA II,-0.03319322582076972,-0.6928868374526811,-0.0911313617774487,-0.0499032081766267,0.04077732894060522
LA VORAGINE,-0.002742446950237996,-1.8999442866420313,-0.1438497284083273,-0.09850914725749328,-0.2645301595965778
LAGUNA MATRACA,-0.07218706204359716,-163.3609216028495,-0.3522624749809298,-0.01246521661126036,-0.06788319113086315
LIBERTADORES,-0.028256322624828103,-0.45636207829035635,-0.18091885562533377,-0.018728447822187088,-0.0108954990743991
NUEVO HORIZONTE,-0.30551123203729275,-0.5339794099949635,-0.26739516015610926,0.056372795680654064,0.1935872226039929
PLATANILLAL,-0.046631244343346895,-0.1843434702678899,-0.908239395898764,-0.034455183245947096,-0.019841225283187977
POBLADO,-0.0977660106417406,-1.3128441694328192,-0.11630725012967146,-0.03608633359928863,0.010710599445895882
PORVENIR,-0.08566190625405891,-0.3229521066757457,0.040306225242874874,-0.09850493289571316,-0.013031295320315928
VEREDA LA ROMPIDA,-0.10686878534001786,-0.07312724832219399,-0.10995834903075151,-0.004942885260270749,-0.3345273485591557
VIA AL AEROPUERTO,-0.15419302414345812,1.6936875218953888,-0.15349006737652512,-0.015450332578685614,-0.004239379948359703
VIA AL COCO,-0.0498330513992981,0.8340473635933988,-0.08238590959935624,-0.04332019229094727,-0.05055409289823099
ZONA INDIGENA,-0.011895351610634928,-0.5256002083976024,0.06504101140785215,0.01581671615926188,-0.20943444625406318
