Barrio,Edad,Sexo,Mes,Dia,Hora
AFASINTE,-0.11006497860159162,-0.27576405503234663,-0.01454370960869671,0.030021819773946135,-0.13459722647921613
AGUILA,-0.014998013558484532,-0.04246263373390318,-0.15746253079448957,-0.04590746507599281,-0.10702959409603609
ARARA,-0.055588961607218136,1.4022656100326423,-0.15926410006535607,-0.42344762338032804,-0.3647173599437503
BARRIO NUEVO,-0.07385324785967681,-1.4846271712611794,-0.30623029711560634,-0.032497551353038855,-0.022269585477326687
BUENOS AIRES (Tarapaca),-0.34550228988667875,-17.380351917584342,0.5426850263819217,-0.162781872772338,-0.11855502011063046
CASTAÑAL,-0.0066369187915127715,-0.013458861862906808,-0.5980448666740248,0.04067803774040843,-0.9350910471570524
CENTRO (Leticia),-0.002195224394054794,-0.3432781141264815,-0.02981837449650309,-0.005503340290742166,-0.03035645426874211
COLOMBIA,-0.05553184188062637,-0.2284061419622123,-0.06379928687185592,-0.02318447847536808,-0.0778843131554089
COMUNIDAD DE MACEDONIA,-0.06820182329003523,-0.351938411536648,-0.22635615186783645,-0.01769405718873822,-0.26924478183529116
COSTA RICA,-0.06711874650621245,-0.48063670870693,-0.19293790795261234,-0.08350603296672285,-0.05157321897592827
ESPERANZA,-0.06225629952328535,-0.14794095207259567,-0.08703347482754514,-0.03846730146254233,-0.007653189299092698
FLORIDA,-0.032439656846131176,-1.8702915775805307,-0.05439931266706242,-0.010011626171916352,-0.08052217300925996
GAITAN,-0.0377644677790699,-0.9202867573864598,-0.1015539760907491,-0.0590396807674696,-0.009777490802505057
IANE,-0.047810970665413184,-0.2646341006455154,-0.20103654347216057,-0.01579760422094995,-0.061328680639585416
ISLA DE LA FANTASIA,-0.21378620334606832,0.13793823106708242,0.07232629167817402,-0.0035169030844135825,-0.05399620803499926
JARDIN,-0.042343593830921476,-0.6694039409201733,-0.1472715247326672,-0.03558132206652507,-0.14826499061428436
JESUS MARIA FAJARDO,-0.04611772079731132,-1.0965345696418056,-0.046100304707938244,-0.1876606125746649,-0.044298025227614245
JOSE MARIA HERNANDEZ,-0.03299850515241487,-0.8067105505518822,-0.06616791380942959,-0.034582001099940626,-0.036453754870489005
KILOMETRO 1,-0.09988578816842916,-0.10652995052152021,0.012343830457006016,-0.029352434269104225,-0.05328059337172893
KILOMETRO 11,-0.06982678191260147,-0.0495171222974367,-0.21153964886928583,-0.010990645935793646,-0.0931910640233256
KILOMETRO 17,-0.06814430620648755,-0.017126266932784597,0.013621538532310821,-0.5596840913362396,-0.0783729868609398
KILOMETRO 18,-0.04590463524243558,-0.5630024857664532,-0.08662838940044627,-0.1452716093062045,-0.2762084676900267
KILOMETRO 2,-0.03920629725782467,-1.0437820071101043,-0.07243880967435162,-0.02451794769164728,-0.20739586630809018
KILOMETRO 3,-0.07586123778293732,-0.19555662854896846,-0.07221170760556378,-0.26254085401303184,-0.008697217968334581
KILOMETRO 4,-0.23029576339743013,0.16033524204878086,0.00033769390640512014,0.065427506730376,-0.15965743981192232
KILOMETRO 6,-0.11447256734303712,1.2673728603622252,0.22593045280963472,-0.6162508146499925,-0.31177458929504603
KILOMETRO 7,-0.13534980758940346,1.7096661160091788,-0.3184389753567589,0.03503565843159424,-0.22824415689769986
KILOMETRO 8,-0.07809122596514417,-1.4933828808360716,-0.27710931009157086,-0.046547348597926204,-0.0032056837827523204
KILOMETROS,-0.023929719824754263,-0.1282960313951801,-0.14734026788177257,-0.032576444538832926,-0.0824472468995823
LA CEIBA,-0.053426382991441826,-0.5846320338689405,-0.1459547122373557,-0.05175545146112941,-0.15902171123354122
LA CHORRERA,0.024545619713510776,-24.827943143625195,-0.1551138076238335,-0.22072017180282874,-0.30519670543148203
LA PEDRERA,-0.053393054984882504,-0.8355917949682778,-0.15731344169140732,-0.055139933384264074,-0.1028126567449868
LA PLAYA,-0.03557786855570629,-0.6147619654076695,-0.06255348836607504,-0.14736178366314778,-0.1900082447558602
LA SARITA,-0.10730540334560261,-0.7612819484477321,-0.36746831880649256,0.05825975147575359,-0.12088409929804736
LOS AMIGOS (Tarapaca),-0.10952291525269785,0.6657852793559123,-0.45689172336403866,-0.03478118929606356,-0.08195011097356063
LOS LAGOS,-0.04723953996142917,-0.5289423857691454,-0.10778662816199544,-0.09560610199475464,-0.022465079866143302
MARCELIANO CANYES,-0.020730488661094625,-0.9783808693545739,-0.16890463268967498,-0.03625988141016234,-0.02839132361411431
MIRITI-PARANA,-0.027835687757017967,19.715763136852395,0.22346221045778725,-26.61183115454794,0.23674548959825883
NO REPORTADO,-0.0861226915838332,-1.4234668338938161,-0.023410397088919187,0.002431794826040824,-0.1119372105380339
ONCE DE NOVIEMBRE,-0.049939463069983946,-0.5713364037083707,-0.07973841636146785,-0.01765733777399379,-0.10163557838118488
PORVENIR,-0.029607456492773725,-0.6279390120156362,-0.0561593322581918,-0.011216830279705358,-0.05881561052350534
PUERTO ALEGRIA,-0.05662915556466533,0.11092681197329002,-1.460075438484028,0.04425478872835416,-0.11042638298286303
PUERTO CIVIL,-0.01135317181684512,-0.6453122514838396,-0.3819093241459056,0.03692146155066113,-0.18218486628089753
PUERTO DE KAPAX,-0.09791143519815527,0.3360994296055565,-0.28450964113716376,0.008692363817288527,-0.13647032954255214
PUERTO SANTANDER,-0.12092482675282253,-1.0477355933463535,0.042497207431217446,-0.0487375343212227,-0.12540820129172914
PUNTA BRAVA,-0.05356360083021829,-0.802441315303861,-0.09913385240279261,-0.03796974442070945,-0.04252826186976828
REYES DEL SUR (Tarapaca),-0.11920338941630564,1.6984254541303634,0.07244342548417039,-0.16550379123931203,-22.490004835238
RONDA,-0.0014237398374713185,-1.6480238559126879,-0.2567074407998015,-0.18100031490686866,-0.18034871561159788
SAN ANTONIO,-0.056039474387544475,-0.358452760189889,-0.1964084475056836,-0.020762990780316272,-0.03924622870272141
SAN JOSE (Leticia),-0.0755087078678462,-0.5890194547181414,-0.16384521254752624,-0.05132085820249794,-0.06496914867699358
SAN JOSE DEL RIO,-0.084423117864573,0.33018965430727043,-0.05356560873985044,-0.07198041826729819,-0.10447601070121798
SAN MARTIN,-0.039251124436815214,-0.6022918486235769,-0.11202974131763901,-0.029921767354618514,-0.050493585078900054
SAN SEBASTIAN,-0.09916776060124326,-0.1864559552377496,-0.20630549784871097,0.021830450632106042,-0.08733058814226295
SANTA SOFIA,-0.3769546490325155,1.616888927117093,-0.413985206747953,-0.0724247321213125,0.20589249267363832
SIMON BOLIVAR,-0.030975187310235963,-0.5854509954232645,-0.08780491530435232,-0.07909886572398628,-0.11211359068697696
SUEÑOS DE NAVIDAD,-0.20576245631874165,-24.35150414589441,-0.16918714560077772,-0.03772002960649379,0.06344630586300803
TAUCHI,-0.06818841756857712,-1.4586151576866415,-0.22513953983130813,-0.019327290130329643,-0.08047250926210589
TRES FRONTERAS (Tarapaca),-0.04232067508102159,-0.19793781005948877,-0.07995513157994637,-0.5429244569256465,-0.0745484677760527
UNION,-0.08758619860183076,0.7476961667542134,-0.12669301125677684,-0.06804613632190559,-0.04427513014234044
URIBE URIBE,-0.06630153824989544,-0.7492354569163693,-0.22988693288682374,-0.044059698778216395,0.008154714261604079
VICTORIA REGIA,-0.0599806062131673,0.37436478072786866,-0.04690871066784899,-0.0076697961643017,-0.03418600215318997
