Barrio,Edad,Sexo,Mes,Dia,Hora
13 DE NOVIIEMBRE C-8,-0.07540206045068786,-1.6418101404605427,-0.20972588017748253,-0.05060486334914239,-0.11156604142568516
ACEVEDO,-0.2921719583833035,-1.8342807630768123,-0.04817142423629165,-0.002671716411925987,-0.03615757909656264
AGUAS FRIAS C-16,-0.09777401744545768,-2.085496033175867,-0.10228342372378764,-0.06075448938675376,-0.10624250398826951
ALCONES  S.A.P.,-0.128636190448295,-1.2424062381418093,-0.21037553474881712,-0.06411610784720732,-0.07950121722709354
ALDEA PABLO VI C-1,-0.07915401120663507,-2.970468953784289,-0.14579247577489265,-0.08746969363438441,-0.09602866705235841
ALEJANDRIA C-14,-0.05371012172194871,-1.6101342101665157,-0.117030156704775,-0.06521084724254549,-0.05510808660741554
ALEJANDRIA C-7,-0.0669527797425367,-2.579266532854026,-0.32439421962731807,-0.03577010813472055,-0.14528938017194445
ALEJANDRO ECHAVARRIA  C-9,-0.07529909343213716,-1.5106205469932867,-0.11457697979374022,-0.04413996694170472,-0.04950061330272121
ALFONSO LOPEZ C-5,-0.054918243374139336,-1.2220074209449516,-0.16687896140956154,-0.04301709269432784,-0.06644114572773152
ALTAMIRA C-7,-0.05731418857288137,-1.8128240461142873,-0.12853975621227556,-0.036572966791439634,-0.04747643317611918
ALTAVISTA,-0.03413977387574171,-2.86078466080352,-0.3253878995347732,-0.17128747382521695,-0.09915218771890635
ALTAVISTA C-16,-0.06431763968280671,-1.3496041259783935,-0.15411313577980984,-0.049703114986913946,-0.08945455674767687
ALTO DE BOQUERON,-0.20368515263670284,-1.011902357665657,0.009047679461537094,-0.6795844210168054,-0.10272364835896951
ALTO DE LAS FLORES,0.09510279375170269,-16.019117744819482,0.35405387354581497,-0.006580361738605737,-0.269674922577781
ALTOS DEL POBLADO C-14,-0.07221845994919406,-1.5091333886663827,-0.09086875210028635,-0.060795797838688125,-0.08821888933321481
ANDALUCIA,-0.07716772732599578,-1.8708776128004634,-0.3142986919800745,-0.4178152655934903,-0.18971791994215495
ANDALUCIA  C-2,-0.06782512431364193,-1.3871196664122607,-0.13759982947051191,-0.04661179668165793,-0.10301730842563828
ANTONIO NARIÑO C-13,-0.08170692178058071,-1.0097487853585783,-0.2498597793934712,-0.06354182785516758,-0.09182441556471808
ARAGON  S.A.P.,-0.14434857935549267,-1.752691419532671,-0.14788893283455615,-0.03518699736135812,-0.08393977526451687
ARANJUEZ  C-4,-0.05172199593932311,-1.078279925543579,-0.1029247445770916,-0.03084165133214363,-0.051690566068778185
ASTORGA C-14,-0.061515013741729824,-1.0424479233989445,-0.11708092922274375,-0.04100631713317674,-0.06342172871616474
AURES 1 C-7,-0.04677822255891233,-1.2614338342399725,-0.18390058395521663,-0.03976459351672182,-0.09048110196926706
AURES 2 C-7,-0.06665133044003162,-1.940034650429684,-0.11937492613436022,-0.05930894853430199,-0.10096357977180638
BALMORAL S.C.,-0.10525639198122257,-1.5920322383885301,-0.25789767595993557,-0.07851300223650703,-0.06503645780446651
BARCELONA S.C.,-0.004657753892751675,-8.534602474004622,-0.009876979808828113,-0.002714709817653139,0.041565820147346944
BARICHARA  S.A.P.,-0.13165212720822222,-1.3980364776234149,-0.13919746812170125,-0.018907161757632653,-0.07600039234514902
BARILOCHE,-0.2089371796357597,-1.6902859477250618,-0.1575824699463872,-0.0657234627318044,-0.14850808246391436
BARRIO CAYCEDO C-9,-0.05591792648805698,-1.274082362783776,-0.14067287672649356,-0.042720052198720444,-0.07118522441121201
BARRIO COLOMBIA C-14,-0.05106303018475629,-0.7621451803324861,-0.09131148032031267,-0.028037068017750324,-0.04801893967083456
BARRIO COLON C-10,-0.030837547087851903,-1.1405343793806744,-0.10076913279376985,-0.024019762750324202,-0.027807181679086725
BARRIO CRISTOBAL C-12,-0.07386148460686695,-1.6267516302960086,-0.08857261930416499,-0.03615661070090061,-0.0765654169940725
BARRIO NUEVO C-10,-0.2338256099815716,-1.7296997635598697,-0.028394038611651424,-0.04700658945675315,-0.05019847232375319
BARRIO NUEVO S.C.,-0.0734705952300461,-2.767065419128707,-0.12150516837883552,-0.09464328900795736,-0.0740364933560837
BARRIOS DE JESUS  C-9,-0.0720483279253041,-1.703433886810186,-0.1373774693010755,-0.0533410179977444,-0.11410232496282076
BATALLON GIRARDOT C-8,-0.0883333915587917,-1.360449918941225,-0.22380165910203725,-0.05386750874079611,-0.09264457798008609
BELALCAZAR C-5,-0.06073746148409066,-1.3209983654600137,-0.19491976832603028,-0.05402033617043709,-0.0981930310941813
BELEN C-16,-0.03228180803407719,-0.9461591114373206,-0.06921815015917938,-0.027178497704975556,-0.039215328531348334
BELENCITO C-13,-0.052081817317928894,-1.763436055172028,-0.17223608246767147,-0.059268806003154546,-0.10193763054314607
BELLO HORIZONTE C-7,-0.06924329382961615,-1.5703339890593377,-0.11346587542332318,-0.025051615361914897,-0.07586234538735293
BEMEJAL - LOS ALAMOS  C-4,-0.11526900389293364,-1.0335857268637838,-0.4708510380132772,-0.04916055641557476,-0.15586557914860297
