Barrio,Edad,Sexo,Mes,Dia,Hora
BARRIO HUMBERTO SOLANO,-0.0075253281621883075,-1.5140362231340123,-0.2218703263778623,0.0503687638194407,-0.16965429645488783
BARRIO LA UNION,-0.024956958070101298,-1.0134329133854743,-0.13336108180824247,0.006100059891983217,-0.05701408920864298
BARRIO LAS PALMERAS,-0.1051961420203743,-0.22925223832673536,-0.18921744024777798,-0.006115083826486964,0.0714569921104944
BARRIO SAN FRANCISCO,-0.11799704904316399,-0.48843874600442244,0.34751928522091685,-0.11216926014096927,-0.2216766159802251
BELARMINO CORREA,-0.05336807703024313,-0.6002069963661322,0.09495636000413991,-0.050479656082856164,-0.04088139573538471
BRISAS,-0.019585030732370615,-1.1000166799417714,-0.023956616179820093,-0.015704742314210672,-17.0899604901468
CENTRO,-0.014576965242756548,-0.0023904316543118397,-0.013471161909254606,-0.002628992669532196,0.03378983986076895
CENTRO B,0.05714546608509566,-1.6393324318761033,-0.40859829051238716,-0.07606701611311437,-0.17777271522747254
CUERVO ARAOZ,0.0017677226161427022,-1.3524566435890655,-0.33671467623438195,-0.0022886382450942096,-0.04397988524179832
EL GUAMAL,-0.029002224816087933,-1.264613455355596,0.05037395188135287,0.014416930573305196,-0.14730444488313305
INAYA,-0.14325007958053276,-0.5778538892502106,-0.21546955357805264,0.08571543926317592,-0.030894220983076613
LA ESPERANZA,0.02013193869628506,0.010931251297164457,-0.2534291927972965,-0.16675501244806895,-0.06053509145335939
PUERTO COLOMBIA,-0.10644706404820231,2.241418146403585,-1.2469176304818812,0.050898462887458674,-0.029604736940490258
SAN JOSE,-0.05578471544989552,-1.9719241413031725,-0.10206290434216173,0.02334436009448136,-0.032260898975841695
SIETE DE AGOSTO,-0.13676563251584842,1.6118903586155295,-0.024668558614933406,-0.013750629891356638,0.0569351108699144
URANIA,0.2540862595576714,1.9565286289585007,-1.8247524547732958,-0.6824296783743419,-0.4932800324283034
VEREDA ARARA,-0.026698279299301665,-20.02829288152928,0.0680541246349137,-0.014568256656753702,-0.24064120722088733
