Barrio,Edad,Sexo,Mes,Dia,Hora
20 DE JULIO,-0.08764401864787058,-0.8652074290011612,-0.28911993482336384,-0.05487658380167651,-0.1237021974624395
7 DE AGOSTO,-0.1198154392613322,-0.7976258865776277,-0.052863328143731084,-0.06220561946145642,-0.08165128484807802
ACACIAS ETAPA I,-0.08895967887177107,-0.31632702999480433,-0.11918372480487319,-0.06913935091389313,-0.08878431706341679
ACACIAS ETAPA II,-0.09973044130138796,-0.45834284501372274,-0.2128801497836603,-0.04788908915175366,-0.08322286959272845
ACACIAS ETAPA III,-0.1328569304404411,-0.21146392865522975,-0.06036147161801784,-0.08833718743955993,-0.11075617156961322
ACHURIA,-0.1866090191639025,-15.678999958499071,-1.4974337362273964,0.046827309016124315,-0.053009444638815455
AEROPUERTO,-0.08928618483185251,-0.6804636062538673,-0.1844124035805103,-0.043248924287595386,-0.0807572168380047
ALAMEDA MONTERREY,-0.1268879228664468,-12.997252749216559,-0.3806561290495268,-0.07225584098969111,-0.26743467855626196
ALAMOS NORTE,-0.08533056643322426,-0.6219204832800451,-0.10267323176932798,-0.0499229103700624,-0.03349757073080876
ALBERTO GALINDO,-0.08460714453892287,-0.20667429883855631,-0.09865072460210184,-0.05195898953547142,-0.08138253490137172
ALBERTO YEPES,-0.23039305725546916,-0.8884098217919071,-0.05779072824155274,-0.09842699969302442,-0.01712224066858587
ALFONSO LOPEZ,-0.09396568747847103,-0.2462443163822087,-0.17285490421149416,-0.03788880902430005,-0.06449444742541957
ALMACEN EXITO,-0.003974208104547028,13.194496782993838,-18.38117087862041,-0.0992097422698772,-0.0035990420719761327
ALTICO,-0.03475011923612441,-0.6576371019950623,-0.0907465617710219,-0.026982182791734876,-0.05307352648328689
ALTO DE LA PAVA,-0.20427779251473135,-0.40299021780893046,-0.11200871984581204,-0.13004501962998838,-0.1341646630663814
ALTO EMAYA,-0.10873492086094877,-1.0213618666489113,-0.1056525579576004,-0.05434219203142242,-0.07899950607459374
ALTO LLANO,-0.09586613947750881,-0.7364238631569369,-0.32212035739517675,-0.06378329486635097,-0.1402410856496749
ALTOS DE ORIENTE,-0.19783775101782966,-1.2725839207048544,-0.04221406065611601,-0.06741876165227928,-0.17136319645620787
ALTOS DEL LIMONAR ETAPA I,-0.12997310637312215,-1.1311242420755996,-0.10995522732897985,-0.04809879592020146,-0.12172580979686848
ALTOS DEL LIMONAR ETAPA II,-0.09827258905073018,-0.8285296665283408,-0.3151912452583945,-0.04982742375451166,-0.11967871110634139
ALVARO LEIVA,-0.1860855572778636,-0.07591972845671065,-0.34702418597354856,-0.017268417392242514,-0.0718532229520704
ALVARO SANCHEZ SILVA,-0.18219065408424556,-0.10461565881218252,-0.2588493386497933,-0.06358077013924085,-0.03171782144061138
ANDALUCIA I ETAPA,-0.08709236932803364,-0.7082600992372827,-0.16855079960593264,-0.053599223743204236,-0.08286467593425262
ANDALUCIA II ETAPA,-0.1252763245818362,-1.2228722442929778,-0.1754355918687433,-0.04709702384887177,-0.13708012470406397
ANDALUCIA III ETAPA,-0.19684673152535645,-1.337184813558276,-0.04686056050581333,-0.13571093553454874,-0.0772091050098143
ANDALUCIA IV  ETAPA,-0.10137609977616736,-1.2366628971596458,-0.34730970692039753,-0.03973586596031837,-0.07942658220478996
ANTONIO BARAYA,-0.16245793224476449,-0.865764215262081,-0.29274029245924416,-0.03359538137777871,-0.12276130421183123
ANTONIO NARIÑO,-0.21714733089869342,0.5164707398377149,-0.06762285239234003,-0.045161524694356706,-0.11816074316246535
ARBOLEDA REAL,-0.24245696823868126,-1.104529622297792,-0.10247312840521557,-0.04617696815261224,-0.008680715289748883
ARISMENDI MORA PERDOMO,-0.1136899455976993,-0.34565445921200166,-0.09354850204751611,-0.052068689684629306,-0.06602227598595684
ASENTA. BRISAS DE AVICHENTE,-0.17770422167866562,-0.31937522126418344,-0.13789136756322423,-0.1021047140140002,-0.08689373408800359
ASENTAMIENTO 20 DE MAYO,-0.14576349996703175,-1.2607781265996716,-0.2751189050430467,-0.04938513622241138,-0.10041011689162227
ASENTAMIENTO ALVARO URIBE VELEZ,-0.12232453910687213,-1.3885051915669897,-0.14404232207610163,-0.06794977214977498,-0.08338490226953586
ASENTAMIENTO BARREIRO,-0.1604208793816838,-0.19452810046100796,-0.2498880021884186,-0.07476969285093035,-0.18621370824498484
ASENTAMIENTO BRISAS DE JAMAICA,-0.13361156274927558,-0.3578612937842832,-0.35902605490775524,-0.0966561016606395,-0.1519027921136341
ASENTAMIENTO BRISAS DEL MAGDALENA,-0.04951852631462844,-0.6053803823854426,-1.7347847655447495,-0.14739090699872084,-0.13659328930969425
ASENTAMIENTO BRISAS DEL RIO,-0.13032429159887232,-16.31611068167174,-0.22199080473625246,-0.07364569970329021,-0.2338707109050353
ASENTAMIENTO DOLCEY ANDRADE,-0.13934015705296154,-0.6829730345547735,-0.17283169246241,-0.6069669625692999,-0.03655802616526658
ASENTAMIENTO EL EDEN,-0.24140048656755667,-0.7312071837432829,-0.35644330118965456,-0.1363525922819517,0.051274063474582354
ASENTAMIENTO ISLA LIMONAR,-0.12662912295156653,0.26568976747117823,-0.262763493666749,-0.43398739048956075,-0.09751821716737162
ASENTAMIENTO LA PAZ,0.11377428309517344,-15.271402394296006,-5.538405000243396,-0.2972620019971335,-10.045166290189835
ASENTAMIENTO LA PROVINCIA,-0.19834770901823395,-0.24022914212004348,-0.10156111027729826,-0.07007916703861906,-0.16317795688747078
ASENTAMIENTO LOS ANDESITOS,-0.10055963585073091,-0.629827024951369,-0.25896681233704805,-0.11070391586271365,-0.23076583697397918
ASENTAMIENTO MONTEBELLO,-0.124755588507443,-23.011501503456966,-0.27325988122316125,-0.04946384535114875,-0.4682194815354443
ASENTAMIENTO SIGLO XXI,-0.12728408414621556,-1.0501045002544844,-0.17803987739755137,-0.045273889258173286,-0.08302247466766327
ASENTAMIENTO TRANSBAVARIA,-0.17482308664029314,-0.2197228733568472,-0.6772263514479062,-0.035259045684340413,-0.13239217676182255
ASENTAMIENTO VERSALLES,-0.23552844966534292,-17.736082069379485,-0.496874888310139,-0.12848818764399383,0.08254715052881081
BAJO CHICALA,-0.16270233623731076,0.1666163590781645,-0.4192837762979547,-0.06049759122400218,-0.3283284988317851
BAJO EMAYA,-0.14061059690986757,-1.271323214600827,-0.08705248138257053,-0.06256141920126301,-0.08950049110233392
BAJO PEDREGAL,-0.13316694914534022,-0.6841754461989853,-0.22951740802920406,-0.1521413090515745,-0.11810806767094569
BALCONES DE RIVERA I,-0.14901270015518092,-0.5447109863258801,-0.27505232038720046,-0.08461301742008523,-0.0314844197600166
BALCONES DE RIVERA III,-0.07891079053563597,-0.07772713348922515,-0.6071087897065701,-0.11810919676282038,-0.4591414707685744
BALCONES DEL NORTE.,-0.23719512730346579,-0.9904223527516903,0.017731460995009378,-0.09409173951544923,-0.03816894999170923
BELLA SUIZA E-1,-0.3286246612317106,0.8863394526856045,-0.05132421459366301,-0.0773479809908497,-0.12305776319031353
BELLA VISTA,-0.09842431654062432,-0.9797326867845363,-0.3027725264923468,-0.04917755159469818,-0.06601243529538726
BELLAVISTA,-0.12505707293702345,-0.5982991737624237,-0.2703014287549015,-0.326623952373672,-0.11713303294561805
BOGOTA,-0.07865504351901204,-0.03130797729078572,-0.15309374998483932,-0.0752405120934838,-0.07577857105131637
BONILLA,-0.08549423520464944,-0.682357074477473,-0.11902990509974296,-0.04351106276574103,-0.09411194023216886
BOSQUES DE SAN LUIS,-0.11048475382152372,-0.7156665333371449,-0.11179273267466427,-0.04163000009376005,-0.10110648607566754
BOSQUES DE TAMARINDO,-0.11254950642266584,-0.7399821848940791,-0.2017880325862249,-0.050784392824478705,-0.07563499575087995
BRISAS DEL SENA,-0.20996493225875104,-23.26495238158357,0.020814258161751805,-0.24064864975785094,-0.06356947018355195
BRISAS EL VENADO,-0.10437098629484766,-0.14090241443983162,-0.19989279285439746,-0.041518831410575885,-0.15215524945033065
BUENA VISTA,-0.09994016583691916,-1.6947852850798608,-0.12094041614632654,-0.04594069005787662,-0.14202719720681925
BUENOS AIRES,-0.07657920262325997,-0.5707792366466473,-0.2123085122365409,-0.08287795040761245,-0.11005061816407115
BUGANVILES,-0.08181429573909445,-0.661599446009773,-0.13755853034914808,-0.04712630543195634,-0.06133039179786867
CALAMARI,-0.09008962274824023,-0.287738241616381,-0.27349246835937313,-0.05810285707007358,-0.09749424074615029
CALIFORNIA,-0.1403133889323658,-0.499694981566782,-0.20996202399797675,-0.061410578619570985,-0.08911844276621918
CALIXTO LEYVA,-0.04907338316689004,-1.0074366013028555,-0.12101961294343289,-0.049936107657471494,-0.056468819678880657
CAMILO TORRES,-0.11981656033278378,-0.47880683282347847,-0.10914639043977978,-0.04444118277144129,-0.10707300543965767
CAMINO REAL,-0.2137759703341292,-1.3831070703492283,-0.06611453301618779,-0.0011241303915973495,-0.12166282242779224
CAMPIÑAS DE SAN LUIS,-0.12657663849310327,-0.06602415131838661,-0.5461655776374202,-0.06779347501206695,-0.1296174832636846
CAMPO NUÑEZ,-0.06806632061187447,-1.0730238840323996,-0.10441149640151742,-0.042201835176624174,-0.08216420892903464
CANAIMA,-0.06659165959880219,-0.5342089674221385,-0.11024016595438996,-0.0324909366034836,-0.049809022957637235
CANDIDO LEGUIZAMO,-0.05855782656897318,-0.48132659994538557,-0.06884461300480768,-0.03929587058005167,-0.04670472752249411
CAPITAN JAIRO VERA,-0.12223813869576633,-16.22659388249779,-0.31519821932519154,-0.11301548210051283,-0.19569292408734537
CARACOLI,-0.1096273172004499,-0.36350579700272506,-0.16380972581067976,-0.04519733199702838,-0.0852696769777641
CARLOS PIZARRO,-0.10270921492611984,-0.9339374895485038,-0.14541761892684732,-0.06427774252827398,-0.05668975690573977
CASA LOMA,-0.30251819350782344,-16.64492154120271,0.05105421621934227,0.004047161318482313,-0.20483629931972092
CASTILLA C-5,-0.16515559442389988,-0.5152900045297206,-0.30422843800906046,-0.13577578631518303,-0.11074485318646429
CEMENTERIO CENTRAL,-0.12989309520351722,-0.9051675008555793,-0.2954065562452172,-0.031247871169035556,-0.1720172200714054
CENTRO,-0.005329213503891417,-0.2938254614715125,-0.06247748340191135,-0.01815392863440653,-0.0567988125006613
CHAPINERO,-0.07488768613784862,-0.8175025397019221,-0.14156734747334782,-0.03988219096205419,-0.06953073380486213
CHICALA,-0.0907938949036096,-0.8138060463173397,-0.17101337082191848,-0.03916332261092844,-0.06575266271075461
CIPRECES,-0.1598099742783037,-1.3271839586593048,-0.08141830104912005,-0.06325914214357997,-0.06408961018538036
CIUDAD SALITRE,-0.09214783391310079,-0.24084018468466892,-0.2541784686619693,-0.09137554900996162,-0.09285274458207217
CIUDADELA ACROPOLIS,-0.0990179521043185,-0.5032433380738901,-0.16133449911363248,-0.06230687700663763,-0.08345719107817122
CIUDADELA CONFAMILIAR,-0.1074111302060339,-1.2988169085628476,-0.21785198883502724,-0.0487718422526302,-0.08413070268190462
CIUDADELA LA VORAGINE COMBEIMA,-0.3848261803891011,0.675056839116906,0.1469958641445165,-0.1988334029587818,-0.04849561819999877
COLEPATO,-0.23927578731331003,0.003413903596516084,-0.10558499416799012,-0.023799071545520897,-0.17711000378352298
COLMENAR ETAPA I,-0.11681710640561803,-0.3124936665511068,-0.14120068087987006,-0.0195516310733659,-0.08280298316799403
COLMENAR ETAPA II,-0.2113812972882684,-1.2451688352707162,-0.15223169147803997,-0.030603137080372836,-0.12026782458686568
COLMENAR ETAPA III,-0.23512029314057553,-1.3038673695814218,0.0066177873000934405,-0.11404638559242093,-0.05771726729569123
COMUNEROS,-0.10328504930462845,-0.8842245169151215,-0.27019085656077496,-0.06568813028823706,-0.25168232800187096
CONCHA ACUSTINA,-0.13274137954471704,-0.469090898491755,-0.3319129121095432,-0.06868616950021951,-0.051977518141252795
CONDOMINIO ALTA VISTA,-0.0043381371626327984,-455.3766708755432,-5.365350625880507,0.031994413962083086,-0.16022065272281968
CONDOMINIO ALTOS DE LA PRADERA,-0.12365448962137901,-0.2629715163662552,-0.17187002547312155,-0.24652296383333527,-0.07953645684661766
CONDOMINIO ALTOS DE MANZANILLOS,-0.14088602350257828,-1.1734888539563972,-0.3812802858266847,-0.12086188405555418,-0.07722041403447373
CONDOMINIO ALTOS DE TIBOLI,-0.3128078362151965,0.21991577401805057,-0.13536611261359396,0.019367444739856486,-0.17341609053285761
CONDOMINIO CAMINOS DE ORIENTE,-0.19215342661516105,-21.888908761963627,-0.228721979480363,-0.09656835966984266,-0.07680443881721043
CONDOMINIO CAPRI,-0.1720427105541471,-1.2139848911856073,-0.20476113376559735,-0.09690250066688223,-0.026628871092733254
CONDOMINIO CASA DE CAMPO,-0.19878206280911603,-0.13722195710451243,-0.17768564814090693,-0.06830359455372918,-0.2400668229673876
CONDOMINIO MEDIA LUNA,-0.1681952795936377,-0.3962825459080041,-0.26204381157618084,-0.016981357798589652,-9.91973406586618
CONDOMINIO RESERVA DE LOS TULIPANES,-0.20253160926383404,-0.3948783713631986,-0.9285592896179374,-0.09031884246040602,0.04086285789715404
CONJ. CAMPESTRE YUMANA,-0.2300216279669685,0.19710768825044758,-0.03688259326665439,-0.09178894628747344,-0.09667912113255377
CONJ. CERRADO LA MAGDALENA,-0.21181078696462396,1.1058377279927,-0.43874151434558406,-0.06549555060801365,-0.3494158849548711
CONJ. RES. TORRES DE IPACARAI,-0.14980829229558357,-1.2526362505565583,-0.18832460931285203,-0.04280831480316395,-0.14767919531450302
CONJ. RES. TORRES DE MIRAFLORES,-0.3910937877904681,-0.06464471023219809,0.3009926012883853,-0.032363997917766396,-0.5856327653649926
CONJ. RESID. AMARANTO,-0.11876743030738393,-0.7894825123993485,-0.24607525198654034,-0.10043803441371046,-0.07204373221669086
CONJ. RESID. BRISAS DE CAÑABRAVA,-0.19105432849695533,-1.4446435188323556,-0.0830368637696193,-0.013900799940744871,-0.13348192859521857
CONJ. RESID. BRISAS DEL MAGDALENA,-0.18565779516077668,-0.04873739856884975,-0.21926570085284575,-0.045731062720528445,-0.12741330761820974
CONJ. RESID. EL CAIMO,-0.27738913793309616,0.4650670213189519,-0.07856008040032782,-0.09950440138306822,-0.12411130749402392
CONJ. RESID. LA UNION,-0.23133614106340566,-0.821445075598072,-0.029178638576946376,-0.1248717528441025,-0.07775227293046978
CONJ. RESID. LOS ARRAYANES,-0.14588778252323187,-0.9715466064156596,-0.08620621815880479,-0.049639046938906126,-0.07492150204782118
CONJ. RESID. LOS ROSALES,-0.18182434891318727,-1.1052861141802601,-0.2959889945326165,-0.0509813268304461,-0.1005763091207152
CONJ. RESID. PORTAL DEL COCLI,-0.07395594691343613,-20.707120802944026,-0.22649196866015325,-0.4259773093071193,-0.13164478538848515
CONJ. RESID. SAN JUAN PLAZA,-0.1740832380570417,-11.669981124105803,-0.13962610718698631,-0.05705649676428729,-0.11747830276288082
CONJ. RESID. VERSALLES,-0.07972912217984016,-0.304736477057166,-1.4033433100981185,-0.1898026595076243,-0.08158857588682063
CONJ. RESID.TORRES DE VAREGAL,-0.11105536151565362,-0.8287918142172918,-0.25036456386033434,-0.5402845084133205,-0.07302044849881334
CONJ.RESID. CAMINO REAL,-0.18067301279774553,-1.2902040746517716,-0.15333732042403792,-0.06140211381727864,-0.1384638875370845
CONJUNTO BOSQUES DE CANTABRIA,-0.05937086768995734,0.8610384335610463,-2.7820799540937826,-0.20673702482548614,-0.006476121167745874
CONJUNTO BOSQUES DE SANTANA,-0.1954339405952124,-0.5665504643954924,0.011946573369445466,-0.0760289400133573,-0.15448601533213369
CONJUNTO LOS NOGALES,-0.2780132281593763,-0.0834999532027676,-0.11774778242467594,-0.058405726923200424,-0.08029079077043351
CONJUNTO MESOPOTAMIA,-0.24742253450176238,-23.30831661687779,-0.3603157784032638,-0.022307297796039585,0.015744445000890665
CONJUNTO PAYANDE,-0.170411987974116,-0.5117519908617922,-0.04443194268875119,-0.24495392687590195,-0.0907346719270098
CONJUNTO RESIDENCIAL ENCENILLO,-0.24208036001728664,-0.4152517863779561,-0.2310108548678085,-0.0565909900873509,-0.06939419593434903
CONJUNTO RESIDENCIAL JACARANDA,-0.05612380561427107,-0.9788054932890854,-1.9140396344997042,-0.14393357095822465,-0.041393544146971765
CONJUNTO RESIDENCIAL TORRES DEL OASIS,-0.178633431097747,-43.304163154832445,-0.10166407310004505,-0.06116618458484782,-0.34233957579069607
CONJUNTO TORRES DE ALEJANDRIA,-0.15388587632274892,-0.6658826976911156,-0.12152238090093707,-0.0373542332879409,-0.10160319480334193
CUARTO CENTENARIO,-0.11189383467474431,-0.31277096598018717,-0.09447317772739598,-0.03087718489638008,-0.0815190702260478
DARIO ECHANDIA,-0.10039642157234002,-0.1495688820414494,-0.1373450054200357,-0.04191772406874744,-0.07708186879135231
DIEGO DE OSPINA,-0.06623610662872217,-0.3711705077578138,-0.1275247112960453,-0.05084177929098249,-0.06618087841522623
DIVINO NIÑO,-0.2390050008719317,-1.34631384848806,-0.1325042912697105,-0.02188013200160423,-0.07060563440590781
EDIFICIO EL CARMEN 2,-0.1464505066661826,-20.379622150979557,-0.2078464968163223,-0.3808775512400137,-0.1346349993189581
EDUARDO SANTOS,-0.09743007733108684,-0.38071640897281267,-0.18172511214477227,-0.059630637540466165,-0.06632575574591179
EFRAIN ROJAS TRUJILLO,-0.0882474359044069,-0.36139489093022525,-0.1167428762613216,-0.04510773366321958,-0.06697545747517687
EL ALTO QUIRINAL,-0.10419392504893299,-1.1337607709697894,-0.5839531621463415,-0.09770617186475164,-0.06297614511577457
EL BOSQUE,-0.1308984616148182,-1.201285402649893,-0.12505646072755833,-0.02918369471314211,-0.11004795055622489
EL BOTE,-0.18248969775436885,-0.3375173976072212,-0.38308028387190346,-0.024386216851468755,-0.11638631071689517
EL CANELO II,-0.15659588706711838,0.006045422235104894,-0.8365527567682891,-0.033892892035442976,-0.19475801996464973
EL CARACOL,-0.17191276623244037,-1.1981383959205538,-0.3067987021610028,-0.016398715868626595,-0.18844419589845
EL CEDRAL,-0.18649381956600544,-0.6415820203400514,-0.05012331548965988,-0.09713673056342026,-0.14014365456259192
EL COCLI,-0.1193406561084649,-0.7474293101426263,-0.18353060595615048,-0.03335790913148641,-0.14692099561478447
EL CORTIJO,-0.10701632912965006,-0.47059417829285466,-0.15784650203815898,-0.06069023519146792,-0.05519959360392639
EL DORADO,-0.22664641041988207,-0.43492243872837494,0.04205478063547346,-0.03657507399564439,-0.13979862797290765
EL DORADO 9,-0.215399583606197,0.3993793609679276,-0.3102983997880229,-0.13735207241581643,-0.020047486734808884
