Barrio,Edad,Sexo,Mes,Dia,Hora
.,-0.1662941054439678,0.05116117538591021,-0.42634097210071487,-0.18951008223650997,-0.08789440670915656
2500 LOTES (NO UTILIZAR),-0.12041105827687727,-0.1001063399758573,-0.15215189014767422,-0.11147576653312634,-0.14906134428518925
ACROPOLIS,-0.2185223744221175,0.2797259187342719,-0.20288341769788487,-0.04789833301169047,-0.141371042778391
AEROPUERTO MATECAÑA,-0.07617210724987113,-0.40219674715812964,-0.14040961813146025,-0.08313627704563424,-0.10498069428102276
AGUAS CLARAS,-0.18442357927633907,-0.47186260055932683,-0.031655018764900025,-0.058541413641677816,-0.25737315583792725
ALAMEDA,-0.159951075036424,-1.0597810154784855,-0.0742888214023821,-0.04109179714790096,-0.1294165939999146
ALAMEDA DEL CAFÉ,-0.21103399146550447,-1.869219434025453,-0.010547704989163948,-0.029346304178670023,-0.13907435211431377
ALAMOS,-0.07043175859320285,-0.46807160397145015,-0.07727147322165852,-0.03574980267026506,-0.06988303298189537
ALBANIA,-0.09659279063837505,-0.974786423735685,-0.15793662371012587,-0.06695356065482053,-0.16274957145502064
ALBURQUERQUE,-0.16858384426744547,-1.152499384875098,-0.3378686723376606,-0.07584610887634805,-0.08044717515235376
ALCAZARES CUBA V-3,-0.08834830222861126,-0.9197391845831591,-0.4748306870787359,-0.07450419610853341,-0.11591114409461466
ALCAZAREZ - PEREIRA V-10,-0.07328294847630275,-0.46925738504471376,-0.23574003976144176,-0.06317820855390545,-0.11479802930621243
ALEGRIAS DE LA VILLA,-0.09077946514868736,-18.420730036993785,-0.9150881801800669,-0.05936962650064341,-0.12054216014640197
ALEJANDRIA,-0.16895615092735577,-1.2065092880115096,-0.051527434788006594,-0.06932972521487221,-0.14805627533588187
ALFA,-0.15217945953023684,-0.2163565906072549,-0.3179475212996974,-0.30021840292833063,-0.01751643769616344
ALFONSO LOPEZ,-0.05143178195641081,-0.2344449742896074,-0.19326452296114827,-0.0631465639054807,-0.12728469935477235
ALQUITRABE,-0.13467781375941704,-0.3596164621604413,-0.33310691764920014,-0.0340821522441968,-0.7341225771570898
