Barrio,Edad,Sexo,Mes,Dia,Hora
ACACIAS,-0.036734673433376115,-0.27507898170903516,-0.10326382544836235,-0.06527513468899791,0.0007785874529550182
ACEITICO,-0.09798437288291542,2.2458111835352783,-0.5327773011168146,-0.18859395401807627,0.0071699359721249245
ALCARAVAN,-0.02250820190689042,-1.4038388692934058,-0.22222390390389432,-0.03019104882536084,-0.11811999175104337
ANTONIO NARIÑO,-0.10029069603850549,1.5896547009556568,-0.18914967922167356,-0.07693408323325211,-0.06542191980285834
ARTURO BUENO,-0.027881782841502004,-1.8528018281561167,-0.11269594829863731,-0.037585432483188845,-0.008990449015830466
CALARCA,-0.010009252331961583,-0.36595292998671036,0.015335239267557086,0.011390637268513581,-0.13171848167887207
CAMILO CORTEZ,-0.03661529260028583,-0.23689646079636956,-0.11033466107077511,-0.09967441257351634,0.0443713251237699
CASUARITO,-0.010753062301972167,-0.5091103160149293,-0.2331245304534882,-0.3228856393287705,-0.0239764782980378
CENTRO,-0.13179891656468973,2.151082884998731,-1.2134900468912666,0.04159537148273186,-0.011311145955450724
EL CENTRO,-0.01801253272529112,0.2691603746967269,-0.13492266026904629,-0.008290528997878863,-0.058741786183474656
EL ESTADIO,-0.12296480044014595,-0.2750353872859036,-0.1146466441662436,0.02001319083910459,0.02727985257748237
EL PUERTO,-0.03533788292905417,0.38382961351247347,-0.06913855867690401,-0.023566601522588417,-0.04542808913231412
EL RECREO,-0.062118394048390424,-1.2147509048241056,0.03966704787004302,-0.12835757513950752,-0.030446734703375552
EL SAMPER,-0.09773502850278687,0.7577066859618485,-0.8574616586775796,0.0138176931491532,0.011796376500106396
EL TRIANGULO,-0.8238959345105984,3.345748758464567,0.5336965008309181,0.011956619540647018,0.2526407444360473
ESCUDILLAS,-0.020274297430946997,-1.2420542232431107,-0.07854999105045422,-0.11165003984110762,-0.035015338730045004
ESPERANZA,-0.12152311982878178,-22.381222382115343,-0.6100748556266758,-0.07513498892467169,0.17926959077410862
GAITAN,-0.02540403302662716,-0.40757920964693717,-0.2442080732222975,-0.07351392580489005,-0.06226306961858522
LA FLORIDA,-0.028108886685806193,-0.4142729364854468,-0.016512981618861586,-0.11012371536120598,-0.10349117451049779
LA PLAZUELA,-0.10849269213547447,-0.3064079852538626,0.1717244297781953,-0.061285875465091996,-0.02689488618617531
LAS GRANJAS,-0.11658262968201108,0.3835796401879561,0.00261082750385128,-0.02731369795979118,0.047825389187418244
MATEO,-0.037740722190983046,-0.084950116529362,-0.09366248400570412,-0.032808350403578546,-0.009981237951831553
PRIMAVERA,-0.04835734016537433,-0.5590498988743987,-0.1816680790921874,0.03174295267960795,-1.5918248026616304e-05
PUNTA DE LAJA,-0.14128456859956817,-1.3034613966405342,-0.15941688806243734,0.03392179397504233,0.0504575165227716
SANTA HELENITA,-0.06319470212307081,-1.6282563657518516,-0.030960332576943073,-0.09124549274568804,0.013180516608681447
SANTA TERESITA,-0.022295701791877336,-2.0390423911788678,-0.1588323940348587,-0.05696527884226789,-0.03790040191854506
SIMON BOLIVAR,0.010342024633132866,-0.5197794950998988,-0.24190700879411484,-0.03445898324570216,-0.11489095335897431
TAMARINDO,-0.019605956411839237,-1.391344286842546,-1.1428855193363185,0.05610611484670581,-0.0037876043999105183
VENTUROSA,-0.05184965001446951,-0.2472952171944289,-0.19511855565728828,-0.08963407534221249,-0.0820448748973852
VILLA ORINOCO,-0.04030082284098558,-0.23024352708363854,-0.31818290406025146,-0.009485349855170692,-0.26949339651186344
VIRGILIO BARCO,-0.013379090210787429,-0.8260639098959762,-0.44582022694063966,-0.01749225788405815,-0.04994065711926332
