Barrio,Edad,Sexo,Mes,Dia,Hora
AEROPARQUE,-0.1975443607909448,0.29684508162347456,-0.26076694269541095,-0.05956397179913118,0.022185074630124497
ALAMEDA REYES,-0.04628059125245828,-0.3034310611049928,-0.05402295764468238,-0.04208981466525333,-0.04611977666455582
ALFONSO LOPEZ,-0.07431056718533186,-1.2909992667888013,-0.12667343411485532,-0.05787322972461743,-0.06670010357029475
AMERICAS,-0.06613828047480431,-0.6992215063640755,-0.11949301935919258,-0.041313118286142106,-0.022040901651994776
ANGELES,-0.08291405802982024,-0.8154013376175846,-0.0829119132125592,-0.03617124250403659,-0.03551384608667012
AURORA,-0.0953988360444527,-0.19110036424621665,-0.12302966173736636,-0.04123156820622635,-0.03823835141607711
BAHIA SOLANO,-0.08220669951441521,-0.018467367162121787,-0.3270003446044313,-0.05284831610883524,-0.1448205794285413
BONANZA,-0.11884522392640698,-0.01749625957268722,-0.1375059974349056,-0.028245369386524256,-0.023736806856697868
BOSQUES DE LA PLATINA,-0.24101596916543566,-0.0813990799295366,0.09176107502664278,-0.027226464098761654,-0.04335781808146158
BUENOS AIRES,-0.05430781746905623,-0.8481718288666311,-0.17655556047334164,-0.03499466270607783,-0.050530347943284405
CABI,-0.044241710626606985,-0.11305628021101598,-0.14458646121533378,-0.0549628643930591,-0.058111870925908714
CALLE REAL,-0.14377155169010258,-1.405673598319771,-0.03768565554415612,-0.11221246348530071,-0.11006929012126777
CARAÑO,-0.060699363300813484,-0.1638867599857821,-0.11943257985155363,-0.051846760550293684,-0.034534469486577894
CASA BLANCA,-0.1552464686291684,-0.5926351630804974,-0.10961846762777229,-0.06292756538100057,-0.09469693215814591
CASCORVA,-0.12580275519541503,-0.40653315425537273,-0.12090574402693648,-0.041969781563207784,-0.0015234791672529694
CENTRAL,-0.1826531840726962,-0.5158295661387485,-0.24927620031690104,0.014541638451642925,-0.07333940040239324
CENTRO,-0.07108236455799416,-0.1037924110188812,-0.1190556363287431,-0.04320402886550837,-0.004278722255525213
CESAR CONTO,-0.06146773713645801,-0.45660289762192674,-0.06941464396305426,-0.03188183852745235,-0.040833599726924186
CHAMBACU,-0.10513233142982847,-0.8529722902774975,-0.01713374219598026,-0.10964292867304026,-0.0520646839405073
CHAMBLUN,-0.08220900389356117,-0.17353782760067926,-0.2964183789283994,-0.019323219582755555,-0.07250985658615165
CIUDADELA MIA,-0.11963983584360154,-0.08125951530095764,-0.21911057235183337,-0.061263902692711564,-0.02279262689772022
COHIMBRA,-0.17651564461885555,-0.9485591208879124,-0.024508070660566088,-0.06152748296854974,-0.04483461242188527
COLISEO DE LAS MARGARITAS,-0.08300538454194552,-0.5158677582367026,-0.3589301019082672,-0.13413216007689857,-0.1440844470877075
CONDOTO,-0.1286871641450934,0.2229855286289632,-0.10032943680710202,-0.29348065255464856,-0.10066091238555835
CRISTO REY,-0.051101380024443935,-0.474050796652185,-0.08154345267568858,-0.03771017346513763,-0.04172412419410062
CUBIS,-0.2651968911640219,0.8866447028862374,-1.0927340697373409,0.03869363999264501,0.024288314962797368
EL BASURERO,-0.10018488773423757,-0.26649833064129724,-0.3580720967838321,-0.0356972907487465,-0.05063129080848185
EL BOSQUE,-0.07237890133878754,-1.4946971494053019,-0.16705510427577114,-0.09627640551399895,-0.10992179875502996
EL JARDIN,-0.0428366072059244,-0.8161089829437785,-0.11447239576728525,-0.03560225471880174,-0.006214801280381192
EL PINAL DE MEDRANO,-0.1462903412756656,-0.7642138855897952,-0.08282378490578515,-0.06664754173751418,0.01738605568790225
EL PIÑAL,-0.09097335164538967,0.0024961628138192023,-0.2181600353973311,-0.06766279609431232,-0.085479683508335
EL POBLADO 1,-0.11387299876943255,0.2770717358106875,-0.20234566333760517,-0.05472639364249139,-0.0401741803775102
EL POBLADO 2,-0.05798041096160511,-1.6465599350045554,-0.4514786276372884,-0.14700834478203942,-0.11033757999211154
EL REPOSO 01,-0.0991470895447582,0.024131914212991035,-0.17438502933278377,-0.05002385945084324,-0.08333847787143327
EL REPOSO 02,-0.15280332843210287,-0.0013845218814691957,-0.20525198931283753,-0.04707182760593412,-0.05319884569933969
EL ROCIO,-0.11134943929416907,-0.41715007072455496,-0.25275015544098395,-0.08054681955387338,-0.1754174007298254
ENTRADA AL ACUEDUCTO,-0.05901808621111121,-26.0523491549826,-0.9318123457768729,-0.029228394307425104,-212.03623039452552
ENTRADA LA AURORA,0.025163111741517797,14.624720801239695,-20.657366270060486,-0.0738726870688148,0.061523412102967676
ESMERALDA,-0.08948026715330203,-0.5488182214108461,-0.1208972850699313,-0.03254204766227415,-0.0205883838746804
FLOREZ DE BUENAÑOS,-0.10195493830453269,-0.995208654263557,-0.2586701635977931,-0.05153997440233857,-0.043828334138822325
FUTURO,-0.0826931891288528,0.10832571325079479,-0.24183510069439992,-0.09179809489751377,-0.04968717195493453
GARCIA GOMEZ,-0.1336400719697098,-2.2448267862204596,0.03899424917674651,-0.09749110668631583,-0.10637643313264902
GUAYABAL,-0.1701527724072563,0.18412923048151952,-0.2854896456143525,-0.007738347003418299,-0.05182628425198619
HORIZONTE,-0.11968502654010067,-0.2507416618877502,-0.15479184436917942,-0.040310342337464965,-0.03585307379269112
HUAPANGO,-0.05308537719060123,-0.7236313181679271,-0.13868016334294997,-0.06209837000995332,-0.05080592832166414
JAZMIN,-0.08505189963807909,-2.0272087048214504,-0.22162575985929284,-0.07913952787872128,-0.03538758476437577
JULIO FIGUEROA VILLA,-0.07622387857710321,-1.5314171914978147,-0.14493336868310255,-0.03688623594782464,-0.014635468462583805
KENNEDY,-0.018882276189883473,0.047909750783496644,0.06809936569645474,-0.017008249190456376,-0.15073321917793994
LA GLORIA,-0.12423500024808926,0.1671085560075342,-0.13152323409420436,-0.06781823050332916,-0.12555393891586894
LA INVASIÓN CABI,-0.24736258872567002,0.8737391951727849,-0.008703193030735525,-0.05019918974755682,-0.06893330189840538
LA PLATINA,-0.0773465467161757,-0.6551478708090774,-0.19881248322751355,-0.05889009831960434,-0.09919059698166682
LA SOLEDAD,-0.0958333976005415,0.03178639215422195,-2.372897769238209,0.008876421319832786,-0.04347855878614553
LA TROJE,-0.08764843754510164,-0.3536126888134705,-0.5542737412038713,-0.06418651860871895,-0.1476752871855602
LA UNIO,-0.25296911564142677,0.05905204171535225,0.010909775475459186,-0.05637233065630024,-0.09823982323970971
LA UNION,-0.10764079548381691,0.16363276005971736,-0.2820372858820424,-0.10705294068265239,-0.06679953319346492
LA VICTORIA,-0.08913503969533987,-0.24808539412024022,-0.1609806272951103,-0.11344296641160169,-0.08557746283692166
LA VICTORIA ZONA MINERA,-0.1851200249900718,-60.25455927700848,0.07243860916754093,-0.03837038723193982,-0.0978729277994678
LAS BEGONIAS,-0.16822643649520522,-13.247236011425061,-0.10319939878174535,-0.08059892269672995,-0.09976525887926728
LAS DALIAS,-0.36004710372885806,-17.978782864126668,0.11454844459311542,0.025385178998546205,-0.005936158333102712
LAS MARGARITAS,-0.05431006086902187,-1.0403624984221613,-0.11267465033075674,-0.03195456227897369,-0.013398515626762935
LAS MERCEDES,-0.054489154238238934,-1.1507432019792618,-0.1784445535948914,-0.02900339910884751,-0.08795701675094834
LAS PALMAS,-0.12811553977138435,-0.2921999877327991,-0.1977655396409449,-0.007808947360236809,-0.06385518998995261
LAS TERRAZAS,-0.153368874513702,-0.9342895161524817,-0.07889411481775306,-0.04378997860346292,0.007345076379572183
LOS ALAMOS,-0.06787543184467819,-0.5438683266700077,-0.13107375622136686,-0.07586679466384753,-0.08898002647645042
LOS CASTILLOS,-0.13299835781551547,-0.37382646785065987,-0.037983804068944166,-0.06884881212491897,0.013144627139500226
LOS CLAVELES,-6.3266485368342735,57.24073420450171,-68.8820289642241,-5.881271294159934,8.482408333509253
LOS DESPLAZADOS,-0.1820949086079168,-0.18602603940974363,-0.11385204335663161,-0.09565973873519336,-0.02780892780104498
LOS ROSALES,-0.1109657795747097,-0.5421183705370372,-0.13659967899809056,-0.03460050204873156,-0.033893107756424345
MARGARITAS SECTOR FLORIDA,-0.1848602403930757,0.9862992112534676,-0.13932358237518822,-0.11415145377683769,-0.08235803267640263
