Barrio,Edad,Sexo,Mes,Dia,Hora
12 DE OCTUBRE,-0.1615475688578234,-1.0247339463213083,-0.4072019148491448,-0.00660002167442192,-0.08082235044587946
13 DE JUNIO,-0.06724359801562298,-0.852135039221385,-0.12694060211291913,-0.07145444806921739,-0.06378363528145373
17 DE DICIEMBRE,-0.11139569192551789,-0.009667939116265982,-0.13026230775987427,-0.07356859643513546,-0.08894042777573216
19 DE ABRIL,-0.19746261061201956,-0.8638585057966273,0.04042295879345761,-0.0890313651922061,-0.13206901958855038
20 DE ENERO,-0.11163798522953149,-1.7101891890605871,-0.11115511436057833,-0.14074419666902394,-0.1058276894726872
20 DE JULIO,-0.07098801671969404,-0.4916955428051388,-0.13283132243646492,-0.033909836913926635,-0.0809672967874421
20 DE OCTUBRE,-0.12668158663069204,-0.719350913967041,-0.12605771259826146,-0.057526154262470056,-0.13497431995555975
7 DE AGOSTO,-0.0941753937375732,-0.6952900310720572,-0.11775984388177713,-0.07059839523167939,-0.10309123373934
8 DE DICIEMBRE,-0.36912351418343664,0.3594800888022389,-0.007325868348523611,0.018950070904044235,-0.11955784236583249
8 DE FEBRERO,-0.20822439507580823,0.12841217207120045,-0.10143524371225981,-0.01332672446877022,-0.061401304545439135
ACACIAS,-0.08526403642695939,-0.8232668557528137,-0.40670929296778163,-0.07022797670470686,-0.10358704048112545
ACODIS,-0.12175235675761664,-0.3379026779002836,-0.23297110837602475,-0.05008753104042299,-0.07320627918037913
AEROMAR,-0.09026929256849735,-0.41108938311303556,-0.17078443970133492,-0.052562186404264015,-0.04713762201139898
AEROPUERTO,-0.0627107976761352,-0.31532510234874167,-0.16350036912546104,-0.07439368029808945,-0.08885727810519771
AGUA LINDA,-0.07971769160340844,-1.4703901899196081,-0.8441654251304131,-0.0755657286984691,-0.14682858847503438
ALAMBIQUE,-0.1399363120502084,-0.5327807412165451,-0.20553299544980638,-0.06964402327096286,-0.1045171742557976
ALCATRACES,-0.0885551135471197,-0.572829563242372,-0.26336714017823215,-0.1220148692843688,-0.08746251379879469
ALCAZARES,-0.05596593968722951,-0.570400040773527,-0.09388708229359655,-0.03107517414350855,-0.03781600333899746
ALFONSO LOPEZ,-0.09549769275257101,0.009073234598608437,-0.11939684177684588,-0.07110403040603815,-0.11047316349927712
ALMENDROS,-0.05408440246419706,-0.39017162746507905,-0.11331170789515242,-0.037345997372936555,-0.055554482485359685
ALONSO RAMIREZ GAIRA,-0.11972788979254265,-1.672956142393148,-0.5189431962088633,-0.08580333933969264,-0.060240350386142796
ALTO 11 DE NOVIEMBRE,-0.14818311235374004,-0.21174452741589037,-0.3171353878447513,-0.040115136829897105,-0.06285359871435303
ALTO DE JARDIN,-0.18524170911415827,-0.5710037688513255,-0.16436212492479044,-0.043917660770623104,-0.04081114258684848
ALTO DELICIAS,-0.13269365809592137,-0.9951721447848986,-0.14619380663868772,-0.08216392156000286,-0.044624846820288507
ALTOS DE BAHIA CONCHA,-0.11382577946330834,-0.09804595463117512,-0.1678445837192119,-0.040263843803981424,-0.10759697955478449
ALTOS DEL YUCAL,-0.13930430182843684,-0.742613025730857,-0.26848705238046977,-0.0358614303878971,-0.09914407718863588
ANDREA DORIA,-0.18196414775405134,-0.118477068384556,-0.29392470671814275,-0.14424914490349947,-0.08705517244748379
ASOCOM,-0.16949238676179965,-0.836921625069733,-0.11307966199656777,-0.05809297914514708,-0.1415154316840653
ASOVIAS 1 ETAPA- ATRÁS DE DOLEX,-0.1523830385922651,-16.80133923065557,-0.14655540098200867,-1.882325639351371,0.09291773388735884
AV. EL LIBERTADOR P. MAMATOCO,-0.08093293029315349,-0.9132026552483865,-0.13627337718864174,-0.06591866987529686,-0.08772931782653887
BACHICHA,0.034591737528776346,-0.6568615938309498,-4.182140247365065,-0.1302389358754879,-0.2166728809013984
BALCONES DEL LIBERTADOR,-0.09993560911249814,-1.1521336812084781,-0.14066764363955597,-0.04931957506676032,-0.11565641301379086
BARRIO LA LINEA,-0.21229901789123673,0.4338610202685161,-0.12277167465560361,-0.12673194657002163,-0.18965145334340275
BARRIO MODELO,-0.11420971380871663,-1.2920366730325836,-0.4619298017852468,-0.06538513304704874,-0.17495022986957803
BASTIDAS,-0.11677962965306114,-0.29855666952710247,-0.06133926975016619,-0.040997641461170437,-0.031163819758733106
BAVARIA,-0.050773006512095896,-0.8010651280387364,-0.14707170098141994,-0.049585219422606346,-0.03805671582444131
