Barrio,Edad,Sexo,Mes,Dia,Hora
16 DE ABRIL,0.013934476335743006,-0.3228365699542656,-8.687680433134814,0.0448771146780902,0.12320925781654393
17 DE SEPTIEMBRE,-0.1232556662505167,0.04022752761072583,-0.13198427229691334,-0.052267917795089824,-0.06878090355904708
2 DE SEPTIEMBRE,-0.14922945482751582,-0.07563309613214532,-0.18014597796124213,-0.0228796034693391,-0.07565132028777125
20 DE ENERO,-0.09594765078489952,-0.39599681686693383,-0.08682131901479738,-0.05939624155706423,-0.07917169325982167
20 DE JULIO,-0.073086075792802,-0.7349854968470665,-0.10320027032102097,-0.03460168360391544,-0.04151609308338396
20 DE JUNIO,-0.21064614164062953,0.19385623657669507,-0.2197521739463245,-0.01705974217463172,-0.15971829895855758
20 DE NOVIEMBRE,-0.21599317305929636,-25.53840775634153,-0.04083670335807565,-0.03213137946918164,-0.11543031943334446
28 DE MAYO,-0.12549790863777588,-0.12043871873459401,-0.23258596865788203,-0.09495929251315577,-0.09522849915708113
6 DE ENERO,-0.11534561109548981,-0.26121564142563086,-0.09498619881659603,-0.07209752235508729,-0.0806598061103378
6 DE FEBRERO,-0.15525256650758246,-1.6211612293919981,-0.20579650351176848,-0.031463966762915074,-0.06667470813845754
7 DE AGOSTO,-0.08217063043960764,-0.46619792414000566,-0.13387233127801854,-0.03665424291479333,-0.07062011834704346
ALCALDIA NUEVA,-0.16500678983049444,-0.8289964281568478,-0.19517533641635815,-0.048451050158016436,-0.11385792111362278
ALFONSO LOPEZ,-0.07542357506442635,-0.5045154670386572,-0.09361722580592342,-0.039572675514081355,-0.06726073671368502
ALMACENES ARA CENTRO CLL 23,-0.1246226221798682,-0.9918201384011748,-0.19414057189058537,-0.07620631298819756,-0.1942643262645077
ALTO DEL ROSARIO,-0.07985093200857549,-0.30389658291178856,-0.0941811137541071,-0.08061952341235475,-0.08862122140999516
ALTO FORD,-0.086276979119397,-0.7386785479269945,-0.09533830259768936,-0.07107232329584035,-0.12375336713748078
ALTOS DE LA SABANA,-0.10805459996479092,-0.3595269483922602,-0.07253758983364426,-0.030406897222567144,-0.08074679682707422
ALTOS DE SAN REMO,-0.11548002641632003,-1.2146415224260045,-0.13204961060512402,-0.09959263937518009,-0.1290535888873847
ANTONIO NARIÑO,-0.07014105075946822,-1.1133833050339266,-0.21210366174336154,-0.12790330167477637,-0.16442050321035898
ARGELIA,-0.06933281550374717,-0.5425435284361095,-0.13801379664006388,-0.03813405024158611,-0.050240181115039396
ATENA,-0.19563265885532677,-0.37871733089549486,-0.3792563544816158,-0.06320819009028776,-0.0752308327838472
AV OKALA SECTOR TRANSPORTE PUEBLOS,-0.06434044712958324,-1.1358730567840825,-0.1984837545642419,-0.10141704967952475,-0.09661275623307634
AV. LA PAZ CALLE 33,-0.10060858463048276,-0.05878462046516345,-0.12868553142616437,-0.0692174714435429,-0.07125198292412525
AV. LAS PEÑITAS,-0.05224945714414398,-0.0779741251981574,-0.10355447738646688,-0.038553788347362374,-0.03605192237483442
AV. LOS ESTUDIANTES,-0.05277440508452234,-6.012530502753854,-0.44914740821906207,-0.2707021130697471,-0.38625650176068393
