Barrio,Edad,Sexo,Mes,Dia,Hora
ALTOS DE ALEJANDRIA,-0.46646252351121154,0.8344623808092267,-0.011663089088914504,0.02851848071840478,-0.025385819742996026
ALTOS DE CANAPRO,-0.11005173982968611,-0.773336083070554,-0.38981115602667366,-0.030892546150657584,-0.1942792455818593
ALTOS DE SAN RAFAEL,-0.08299408864406964,-1.24217666476085,-0.23350317908822943,-0.0625814855899011,-0.19838825851029035
BALCON DE LA VILLA,-0.09277612344643343,-0.9116500448773857,-0.2880564412882576,-0.0931205060546899,-0.18470941431351495
BALCONES DEL NORTE,-0.1392581032399896,-34.94320034579751,-0.17636745662903833,-0.08957852264122297,-0.2347675999983874
BARRIO  VILLA LUZ,-0.09979137911932641,-0.03708376593293021,-0.18402210784429987,-0.033387044007545094,-0.06065856297942168
BARRIO 15 DE MAYO,-0.10798383629914422,-0.09965912964765601,-0.16938489756733582,-0.08785503246000394,-0.08829390842184194
BARRIO 20 DE JULIO,-0.04844358987313888,-0.4253666762938493,-0.14749871496538122,-0.05200758146033213,-0.08866798882600786
BARRIO ALAMEDA DEL BOSQUE,-0.11962200773515114,-0.8750687488783604,-0.04168603903272992,-0.6514599959445312,-0.07052516187873765
BARRIO ALAMEDA DEL NORTE,-0.08742856497890122,-1.3971530401616525,-0.5199679730518201,-0.03782894613513469,-0.21499181597312006
BARRIO ALCALA REAL,-0.062344488518033085,-0.2422927420409975,-0.5591076182426443,-0.10305958903525296,-0.11217331051459105
BARRIO ALTAGRACIA,-0.13238238126925977,0.5169344049523513,-0.37099031960695344,-0.06633224310136579,-0.06710448943871207
BARRIO ALTAMIRA,-0.06934862005351958,-0.8225738276394226,-0.14859659360958408,-0.05308615809939093,-0.0941240236716315
BARRIO ALTOS DE COOSERVICIOS,-0.10721288401045838,-1.8521524205559226,-0.21240929909629508,-0.037334434227130994,-0.12203569135627003
BARRIO ALTOS DE LA MARIA,-0.10586628455086486,-1.6744981628155833,-0.1794520514962629,-0.01624808536099784,-0.15659463170034577
BARRIO AMERICAS,-0.05696876957798867,-0.6140926173104676,-0.18845063918732333,-0.07715640574078704,-0.08202076556754558
BARRIO AQUIMIN,-0.06292769784333965,-0.6294469302713593,-0.1932034694590969,-0.030325322157865077,-0.08668861769056799
BARRIO ASIS,-0.06960981874549221,-0.43874407324182685,-0.15385855136763746,-0.047711237858826624,-0.06672462196752785
BARRIO BACHUE,-0.07772810414588743,-1.1092323069878158,-0.2342453202295603,-0.09024563087913604,-0.06149237814210234
BARRIO BELALCAZAR,-0.0970188117153282,-0.7110603891259298,-0.13418615372404744,-0.0866434240375752,-0.06566891335575564
BARRIO BELLO HORIZONTE,-0.07142174466774404,-0.5494742314863468,-0.16482745351630027,-0.05210219179752706,-0.06937468903374647
BARRIO BOCHICA,-0.08879330765476186,-0.9943851702114257,-0.26130180590049146,-0.09958921313134333,-0.08335343919030133
BARRIO BOLIVAR,-0.056522864458953624,-0.3725477851850307,-0.2326373716679283,-0.07524977925988527,-0.09844977234595274
