Barrio,Edad,Sexo,Mes,Dia,Hora
1 DE MAYO,-0.1415241873700377,-1.129537095444486,-0.21270949102426095,-0.0684356426343204,-0.1649080153822523
12 DE OCTUBRE,-0.09184693594958547,-1.1467134708284517,-0.1812778501428493,-0.07146108578163275,-0.10661666033670286
13 DE MAYO,-0.09726699303676173,-0.547727200272441,-0.17889820838675022,-0.07597795750420668,-0.11650659806072537
20 DE JULIO,-0.06661931922437263,-0.5618134011220326,-0.1451527469334466,-0.03843955708462872,-0.08055574957114403
6 DE ABRIL,-0.11089430297743769,-0.5155550574316476,-0.11046682986192387,-0.06159652083046443,-0.1022464431786666
7 DE AGOSTO,-0.036448444282445584,-0.24222344019977624,-0.13249797274070108,-0.03457944302644545,-0.09261088761195037
7 DE AGOSTO BAJO,-0.09113961200002006,-0.8801276475647731,-0.28189983638288707,-0.07525384201149236,-0.10208137923407329
ACACIAS,-0.0843437750248521,-0.7371962096525042,-0.1856769369447849,-0.05099458600988503,-0.09718069965432592
ACAPULCO,-0.13650240314988482,-0.5251062491767985,-0.2649038994994785,-0.04492383885607498,-0.10536507396333632
ACAPULCO ASOCIACION,-0.16107048543302663,-0.1549602913620936,-0.9465647714397383,0.02112313780024416,-0.5090467914870102
AGUAS CLARAS,-0.1318392514738959,-0.5460196707866986,-0.2587276714428249,-0.06309980332257126,-0.09435990805412407
ALAMEDA,-0.1439987613284728,-0.9587779524373741,-0.26130434805588026,-0.06172303469093342,-0.09760118694809353
ALAMEDA DEL BOSQUE,-0.14001399867551945,-0.4252834661973948,-0.20206997945309074,-0.0815725101132916,-0.10425218195491531
ALAMOS STA ROSA,-0.1644582931944158,-0.7743315643355619,-0.4462549738491244,-0.018174695495737022,-0.17773131295275058
ALAMOS SUR,-0.12574912133219943,-0.9320447282439915,-0.16092945684979387,-0.0778754869578471,-0.14255302907770515
ALBORADA,-0.058709285978879276,-0.8201460099813844,-0.14060363385240415,-0.044370765239609054,-0.053907820199510265
ALCALA,-0.09598048012323422,-1.3759751428165412,-0.2572658221470196,-0.055527219620954596,-0.06187563384074288
ALDEA LA AURORA,-0.16550711591697487,-15.481524769486791,-0.24389242848369969,-0.08336296271439773,-0.14229798156178114
ALTOS TRAPICHE,-0.12936359433317898,-0.6980591772588045,-0.16270420417398535,-0.10475796352387641,-0.11110777470914888
AMARAL,-0.08608352065568411,-1.2627468368689354,-0.41557292623152836,-0.13052895274693743,-0.11081439440686504
AMARILO,-0.13232296936626284,-1.3924344504583932,-0.12462001494274012,-0.15580396752746006,-0.17388237835412146
ANILLO VIAL,-0.07578580360241936,-0.3044082176337206,-0.1758499010805184,-0.0647648648759003,-0.0995279439459364
ANTONIO PINILLA,-0.07097430242321238,-0.11278575563769754,-0.14909874389750521,-0.060192167757363906,-0.07440792860911559
ANTONIO RICAUTE,-0.0835695486281282,-0.6789778745968634,-0.25343505855631976,-0.06690745722902491,-0.11284319732935168
ANTONIO V/CIO,-0.09790665749863942,-1.1547193069686879,-0.13142769736146953,-0.07269891284025838,-0.07053697841316323
ARAGUANEY,-0.12956377086219859,-0.39354623057188115,-0.21762019684404751,-0.07601041971763897,-0.10014537265281112
ARANJUEZ,-0.127925983069063,-0.3566250817571971,-0.2678703606145271,-0.09161029613200002,-0.11415284688209885
ARIGUANI,-0.10684162445303819,-1.0709243292150405,-0.15870082143916112,-0.06880901961226296,-0.06185312321984865
AV. LOS MARACOS,-0.0672267228164549,-0.6937917573846669,-0.17598102040906602,-0.10837375610311527,-0.13264686152521887
AY MI LLANURA,-0.08521689012544165,-0.430033459331935,-0.16171135680950438,-0.04184030430660104,-0.07491841411104115
BACHUE,-0.1582255173030794,-12.48215230125645,-0.2818945727294992,-0.08284215458591979,-0.22690759684409986
BALATA,-0.05830881960215148,-0.47192135715683015,-0.14014480561256765,-0.05112879122715851,-0.0623335621536332
BALCONES,-0.7969385439162486,-1.9486208746420808,-4.590776473189142,0.016116336948921717,-0.8523411130634317
BALCONES DE TOLEDO,-0.0634608419725141,-1.4559731991919174,-0.5632116045073373,-0.10216504830421909,-0.2796996173620296
BALMORAL,-0.07604003238102326,-0.4144378409902893,-0.3271922673846475,-0.28925668241332847,-0.19162820590569005
BAMBU,-0.11003210366902534,-0.6752749443775069,-0.1829830027153024,-0.08873480382618242,-0.09743778846296208
BARZAL ALTO,-0.03316600232371434,-0.9109275084967726,-0.10269209050185053,-0.037794964395085145,-0.07925374311928819
BARZAL BAJO,-0.03925302527131254,-0.6136974520149006,-0.119930693882629,-0.04812025646900298,-0.0709728781456941
BARZAL SUR,-0.1035737058182577,-0.9354634199890401,-0.3067487639833915,-0.07022179702699408,-0.13854694095655695
BASTILLA,-0.1074932035548404,-1.3025014188911515,-0.18155644041332614,-0.069694918402398,-0.08139293710382837
BELLA SUIZA,-0.10396057803063866,-33.959935264683864,-0.5095509395857022,-0.12435921329323145,-0.26072435632924956
BELLO HORIZONTE,-0.11707687698014758,-0.8482902241111498,-0.17182516747561233,-0.06494529317223281,-0.05804464016219739
BETTY CAMACHO,-0.12340837033122465,-0.5095212459912568,-0.24688033948232949,-0.07814317699722913,-0.13636250692330504
BOCHICA,-0.09149820676223878,-0.920965920404879,-0.1611050436932995,-0.05586293459697953,-0.05949052155854245
BONANZA,-0.1430705966526455,0.06853274749206874,-0.5441427366192025,-0.0825135053309149,-0.22548171745533174
BOSQUE,-0.08872150052260785,-0.7303091281475197,-0.19407971471430327,-0.06483732476958716,-0.07337542916675803
BOSQUE ALTO,-0.11471937866262284,-1.1208040875428693,-0.17987028248688913,-0.04722706342828058,-0.08567969173820635
BOSQUE DE VISCAYA,-0.17407933349192983,-0.8873852838848555,-0.20919635293739586,-0.0584931698229873,-0.06275570064601503
BOSQUES DE ABAJAM*,-0.0904196012769125,-1.0611283181078874,-0.1802943194717449,-0.0650828572054064,-0.098201457210384
BOSQUES DE MORELIA,-0.15364660415447692,-0.39916402510636495,-0.2624989172355492,-0.07069772630066079,-0.06032448568061158
BOSQUES DE ROSA BLANCA,-0.07931519920522272,-0.8730733835326869,-0.16941701885147906,-0.06352074073631504,-0.10669232389504668
BOSQUES DE SANTA ANA,-0.07260527911639261,-49.18470932165573,-0.35487237920716025,-0.11103971459537926,-0.2862155930363275
BRASILIA,-0.11800986644897127,-0.308738249643364,-0.23668691500728872,-0.044762663081324615,-0.1264257373353787
BRISAS DEL BUQUE,-0.21023864880630905,0.3984837086170783,-1.0172639062519886,-0.026949403232187818,-0.04907056840154753
BRISAS DEL CANEY,-0.14125121075325203,-0.2585098446685558,-0.23980671914417356,-0.09130790725879744,-0.09170397656293072
BRISAS DEL GUATIQUIA,-0.049093549192249716,-0.4569948217610356,-0.2028588863897537,-0.05592622302545728,-0.09164933046715372
BRISAS DEL OCOA,-0.1649429995754865,-0.41937076094349934,-0.21974620518107074,-0.0639256683566761,-0.12274969109776754
BRISAS ESPERANZA,-0.18734004647058808,-0.7481772318848794,-0.4080189260655303,-0.014421947363433803,-0.08467317187887116
BUENOS AIRES,-0.14267522511605515,-0.6336890129442895,-0.29433024605384606,-0.0593850581914918,-0.08672879113157139
C.C  ALAMBRA,-1.752873155729974,-1.6484276204337713,-2.999410271616682,-1.2282953805714305,0.2479318481099581
C.C ALMEIRA,-0.10113656807666453,-19.84526066595879,-0.5832749429045014,-0.273383722901554,-0.14271757985146813
C.C ALTAGRACIA,-0.10457023005692485,0.7086549331184021,-0.5286274934481675,-0.318084226194009,-0.18543864670905133
C.C BUGANBILES,-0.1453484805946969,-1.1927939395735596,-0.3304614942771966,-0.07529894698866575,-0.12642574551890798
C.C CERRO CAMPESTRE,-0.10521760102111945,-0.9136233261710986,-0.439855461289193,-0.08185032909431285,-0.13538189280597443
C.C HACIENDA EL TRAPICHE,-0.11555659538795117,-2.1204950424908175,-0.19880467680526687,-0.16772435149440082,-0.16300181804280814
C.C LOS CEREZOS,-0.09002739288167065,-0.8349519686950153,-0.7510566219314745,-0.08534401550869887,-0.07728130049497878
C.C MANAURE,-0.12135179479217512,-0.3321351326521455,-1.2168248441857485,-0.10407939298321639,-0.12225228312888654
C.C MARGARITA REAL,-0.10883683031201304,-1.392879330914957,-0.7377341540300202,-0.05284741541788771,-0.20541276410364245
C.C RESERVAS DEL BOSQUE,-0.24625347035558584,-20.398911882228916,-2.4218192665729226,-0.0233966878465913,0.10939710735947387
C.C RINCON DE LOS ROSALES,-0.1931718110713353,-0.024947390796393975,-0.389850274844589,-0.06659430102688782,-0.13055830633127083
C.C SANTA CECILIA,-0.08724785120577025,-0.14145380437485622,-2.687172742365819,-0.032540761424287294,-0.12640562687439158
C.C SANTA ISABEL,-0.05815533213242532,-15.080317552504903,-1.1607795425862892,-0.34053203269212845,-0.10179647318080633
C.C SINDAMANOY II,-0.11135512553659713,-1.3334175541036029,-0.32442063013899697,-0.10529587631251904,-0.12171798642666738
C.C VILLA VENTO,-0.16380692092925694,-177.654720260999,-0.5290726094869053,-0.05012625287660441,-0.18844678998132702
C.C. MONTECARLO REAL,-0.14206788724333955,-0.40820177751694614,-0.43984917379303734,-0.09788837424591809,-0.08109837243782382
C.C. RINCON DE LAS MARGARITAS,-0.1654262736854465,-0.2547428358928033,-0.2203092339435013,-0.11606953844168949,-0.22242417535799497
C.CERRADO  LLANO HERMOSO,-0.11462323366953403,-0.8710688024621731,-0.2656688456208518,-0.15761271109367486,-0.14906301268432992
CALAMAR,-0.12044464286855691,0.01728798965310228,-0.16583182523942844,-0.04984765839123893,-0.08744571759809312
CAMBULOS,-0.10147061307218015,-1.426275570324987,-0.2451800893025283,-0.13018421228197358,-0.1161830813337997
CAMILO TORRES,-0.10253307077353027,-1.2469566840673831,-0.20287474768997596,-0.052303071658128336,-0.1131454007163525
CAMINO REAL,-0.08511260073753527,-0.8106920796311157,-0.16330613268670438,-0.049352359263173065,-0.052778249147962655
CAMINOS DE SEVILLA,-0.15060469247031658,-0.2547689056212181,-0.2963994867139627,-0.06636288282664628,-0.09997267401947771
CAMOA,-0.09363975358418275,-0.6409926362815277,-0.19711375362687258,-0.05458942480856855,-0.07404248331214905
CAMPIÑA,-0.07894708592552167,-0.9505435925393745,-0.25299058611761716,-0.06448346021215205,-0.11014275020222848
CANAAN,-0.11370173886136128,-1.000516168502161,-0.15832767810203943,-0.05344897704259008,-0.1070721209922422
CANAGUAY,-0.09611443405444801,-0.483394531950547,-0.3442666875888956,-0.11252760096646537,-0.07885797934658359
CANAIMA,-0.0947342577950646,-0.8288722246112306,-0.1502445550020007,-0.06564604844860981,-0.06534427676490337
CANEY,-0.1348173793429588,-1.7279314147254075,-0.3077780490648308,-0.048801969337690376,-0.0889666525652964
CANTARRANA I,-0.08599558047348917,-0.7371558667809882,-0.12504048941163212,-0.050073421767706204,-0.055715053743231976
CANTARRANA II,-0.13437955855482134,-1.2133836930026143,-0.271095675976215,-0.04145046401265281,-0.09288207811433143
CANTARRANA III,-0.1773916369667671,-1.1984018172366648,-0.1477903755351969,-0.18561731870613216,-0.11741740578714524
CANTARRANA IV,-0.14407202506040026,-1.0909674286509934,-0.19919271684164516,-0.09800784631504164,-0.05395345979832056
CARACOLES,-0.14556539283522368,-1.03089254034641,-0.19199535906917853,-0.09162721123115103,-0.1456274066919099
CAROLINA,-0.10573753142358878,-0.5414563513582267,-0.20116607332314815,-0.044149053806584376,-0.11690108652758234
