Barrio,Edad,Sexo,Mes,Dia,Hora
20 DE JULIO,-0.04420478331236349,-0.5650120171913676,-0.09805548371699419,-0.02511537791083713,-0.035498416827124436
26 DE MAYO,-0.16466132934503136,-0.6302119876814835,0.07299403105802399,-0.11668670493579544,-0.18580625195782777
AEROCIVIL,-0.06860236371720962,-0.5403644278055937,-0.07491846714490057,-0.047325482236818414,-0.04890487750391434
ALTOS DE MANARE,-0.08557170600475339,-1.225786256703628,-0.1783052627523293,-0.07104577741773287,-0.061691411944352244
ARAGUANEY,-0.08555093137436681,-0.4512082749461024,-0.14394280876195437,-0.03531090357815852,-0.048200886218051124
ARRAYANES,-0.1480477227462979,-1.3405601266938858,-0.28645434962218747,-0.016840803419558657,-0.10216673392880625
BALCONCITOS,-0.12143706196855275,-0.3446116050691188,-0.22810319119872016,-0.042107903109909195,-0.11063822086118727
BARBILLAL,-0.22265704746434048,-17.098533180536045,-1.4459199735171768,0.18137558870478626,-14.499101579875598
BELLA VISTA,-0.10695960505596347,-0.21989688301170418,-0.22807092900275236,-0.01757383711308635,-0.07765500643010964
BELLO HORIZONTE,-0.034701906042462725,-0.3257494782893849,-0.09290148850823973,-0.023057015079982753,-0.05233047169326075
BICENTENARIO,-0.07593277006075651,-1.0136316683729838,-0.059650693567635325,-0.01953894907855845,-0.0382927162742613
BOSQUES DE SAN MARTIN,-0.13735006716261067,-0.6187916422857367,-0.1655952720873118,-0.010044126836328458,-0.15915248699569245
BRISAS DEL CRAVO,-0.035876375416234646,-0.6322326159477812,-0.2045154865472024,-0.09037435175468828,-0.119938063693287
BRISAS DEL LLANO,-0.08694418064250514,-0.6609246648266274,-0.1938014573781851,-0.042893897205253294,-0.05204905249723667
BRISAS DEL ORIENTE,-0.21265096182953783,-19.323612370505096,-0.7384537114669463,0.01659566255106424,0.03598443621547032
BUENA VISTA,-0.1575969278934134,0.1661570874634876,-0.16847805832892407,-0.09633465441113545,0.04141030066239534
CAGUI ESPERANZA,-0.17948808823280546,-1.1753587224588538,0.04021147520654793,-0.1063680600005961,-0.13178983090094368
CAMORUCO,-0.07050610535370716,-20.37524546030521,-0.1671645618822917,-0.5016231657122692,-0.06098602106708256
CAMPIÑA,-0.06871262307338383,-0.7157874401276502,-0.12877708941605479,-0.04627557476933865,-0.0452237144190065
CANACABARE,-0.5262867305994918,0.8341420807438559,0.38066441633647097,0.0384444156997142,-0.27031634109195324
CARIBABARE,-0.05842992488772814,-1.2951971788591714,-0.17193791510740233,-0.06267421565999845,-0.02147265438493572
CASIMENA,-0.06636790024915035,-0.6761962767551245,-0.08499266065341121,-0.02954797463777395,-0.04706517912070572
CASIQUIARE,-0.07325121836443643,-0.5995294194942986,-0.12092964715485606,-0.031954731072268795,-0.07256033687739136
CENTRO,-0.13471033047327038,-0.9155534329875512,-0.12913602815199285,-0.05220183097415989,-0.07965791470242477
CHAPARRERA CRAVO,-0.10389290918012375,-0.17178676735652426,-0.2694263560298334,-0.24237537108964358,-0.05704802798985671
CIUDAD BERLIN,-0.08177986534872976,-1.8622563342823197,-0.3291417371487077,-0.04697691880825672,-0.1705824564830163
CIUDAD JARDIN,-0.1353155009454619,-0.7503382999189838,-0.12046723130546433,-0.044582661395534844,-0.07776799160849457
CIUDAD SALITRE,-0.13272675603073408,-1.0834464670067125,-0.05141760396486817,-0.06606032391467934,-0.042172801767529584
CIUDADELA EL CARMEN,-0.06370538079810177,-0.8396056117611308,-0.1800317016612983,-0.04125206242902003,-0.09135915930804946
CIUDADELA LA BENDICION,-0.11268491724558101,-0.3543707337783672,-0.140758792125207,-0.006946906283091709,-0.09878764110168288
COMCAJA,-0.09650034000626374,-1.4567540116633695,-0.11225768467498792,-0.05085503388012969,-0.09646851819992422
COMFABOY,-0.09271577564380391,-1.424343455888731,-0.1320221307106417,-0.0589142249536395,-0.0626942263523929
COMFACASANARE,-0.04910479105008888,-0.5519641970763491,-0.1414464793743331,-0.05948335426264211,-0.03829215334510543
