,Departamento,Capital,Barrio,long,lat
0,ATLÁNTICO,BARRANQUILLA (CT),MONTES,-74.78141690000002,10.9616438
1,ATLÁNTICO,BARRANQUILLA (CT),LAS MALVINAS,-74.8309689280194,10.95307515
2,ATLÁNTICO,BARRANQUILLA (CT),EL SANTUARIO,-74.80397495667856,10.9450502
3,ATLÁNTICO,BARRANQUILLA (CT),BARLOVENTO,-74.77701479999998,10.989415800000002
4,ATLÁNTICO,BARRANQUILLA (CT),EL ROSARIO,-74.82467203269997,10.98186665
5,ATLÁNTICO,BARRANQUILLA (CT),LA CONCEPCION,-74.79857640142255,10.9990803
6,ATLÁNTICO,BARRANQUILLA (CT),UNIVERSAL,-74.78943243830355,10.97909765
7,ATLÁNTICO,BARRANQUILLA (CT),SAN JOSE,-74.78245795943386,10.97887575
8,ATLÁNTICO,BARRANQUILLA (CT),CHIQUINQUIRA,-74.78780605,10.977313550000002
9,ATLÁNTICO,BARRANQUILLA (CT),LAS AMERICAS,-74.81305845196448,10.9417198
10,ATLÁNTICO,BARRANQUILLA (CT),ROMANCE,-74.82458970184472,10.9467489
11,ATLÁNTICO,BARRANQUILLA (CT),LOS PINOS,-74.79928322134884,10.97447645
12,ATLÁNTICO,BARRANQUILLA (CT),LAS NIEVES,-74.7791765,10.9525695
13,ATLÁNTICO,BARRANQUILLA (CT),RIOMAR,-74.81618620222108,11.02122625
14,ATLÁNTICO,BARRANQUILLA (CT),BOSTON,-74.7995632,10.9871821
15,ATLÁNTICO,BARRANQUILLA (CT),EL CARMEN,-74.79773265187939,10.9653566
16,ATLÁNTICO,BARRANQUILLA (CT),CIUDADELA 20 DE JULIO,-74.80423564958045,10.9299823
17,ATLÁNTICO,BARRANQUILLA (CT),SAN FRANCISCO,-74.80130849999998,10.9799669
18,ATLÁNTICO,BARRANQUILLA (CT),SAN ISIDRO,-74.79444190971418,10.97021385
19,ATLÁNTICO,BARRANQUILLA (CT),LA LUZ,-74.76871390000002,10.9558283
20,ATLÁNTICO,BARRANQUILLA (CT),CARRIZAL,-74.80628061092975,10.9382913
21,ATLÁNTICO,BARRANQUILLA (CT),VILLA SANTOS,-74.83423499999998,11.0100171
22,ATLÁNTICO,BARRANQUILLA (CT),BUENAVISTA,-74.82792090000002,11.0127269
23,ATLÁNTICO,BARRANQUILLA (CT),SIMON BOLIVAR,-74.77759920000003,10.9460158
24,ATLÁNTICO,BARRANQUILLA (CT),REBOLO,-74.7746882,10.9630745
25,ATLÁNTICO,BARRANQUILLA (CT),LA MANGA,-74.82624477061951,10.97175885
26,ATLÁNTICO,BARRANQUILLA (CT),SIAPE,-74.8021916,11.0261427
27,ATLÁNTICO,BARRANQUILLA (CT),SANTO DOMINGO DE GUZMAN,-74.82005204272845,10.9390185
28,ATLÁNTICO,BARRANQUILLA (CT),PRADO,-74.80130849999998,10.9799669
29,ATLÁNTICO,BARRANQUILLA (CT),LOS OLIVOS I,-74.83421684873244,10.971781
30,ATLÁNTICO,BARRANQUILLA (CT),VILLA COUNTRY,-74.80625037964609,11.00414755
31,ATLÁNTICO,BARRANQUILLA (CT),LIPAYA,-74.82036725683865,10.9620463
32,ATLÁNTICO,BARRANQUILLA (CT),OLAYA,-74.81087464687052,10.98173415
33,ATLÁNTICO,BARRANQUILLA (CT),VILLA SAN PEDRO II,-74.83201357680615,10.93950505
34,ATLÁNTICO,BARRANQUILLA (CT),JUAN MINA,-74.8926441,10.9563545
35,ATLÁNTICO,BARRANQUILLA (CT),LAS DELICIAS,-74.80130849999998,10.9799669
36,ATLÁNTICO,BARRANQUILLA (CT),EL PORVENIR,-74.80460134796652,11.0016563
37,ATLÁNTICO,BARRANQUILLA (CT),SAN FELIPE,-74.80974833787364,10.97298505
38,ATLÁNTICO,BARRANQUILLA (CT),BETANIA,-74.81415105871152,10.9874245
39,ATLÁNTICO,BARRANQUILLA (CT),LUCERO,-74.7945347244405,10.976268300000001
40,ATLÁNTICO,BARRANQUILLA (CT),LOS ANDES,-74.80345788679426,10.972302699999998
41,ATLÁNTICO,BARRANQUILLA (CT),LA CHINITA,-74.7711271,10.9520058
42,ATLÁNTICO,BARRANQUILLA (CT),VILLATE,-74.80875179430515,10.96042145
43,ATLÁNTICO,BARRANQUILLA (CT),BARRANQUILLITA,-74.7729975,10.9849829
44,ATLÁNTICO,BARRANQUILLA (CT),PUEBLO,-74.84052530964959,10.961033
45,ATLÁNTICO,BARRANQUILLA (CT),EL BOSQUE,-74.81797163770838,10.95316905
46,ATLÁNTICO,BARRANQUILLA (CT),SAN NICOLAS,-74.7779577403596,10.980144500000002
47,ATLÁNTICO,BARRANQUILLA (CT),VILLA SAN CARLOS,-74.83188216336708,10.935047
48,ATLÁNTICO,BARRANQUILLA (CT),CUCHILLA DE VILLATE,-74.81377708640014,10.9620697
49,ATLÁNTICO,BARRANQUILLA (CT),EL GOLFO,-74.84394133810073,10.9743233
50,ATLÁNTICO,BARRANQUILLA (CT),LA SIERRITA,-74.81156106135417,10.94807865
51,ATLÁNTICO,BARRANQUILLA (CT),LAS PALMAS,-74.81712667267507,10.9715215
52,ATLÁNTICO,BARRANQUILLA (CT),CEVILLAR,-74.80051846807524,10.9590173
53,ATLÁNTICO,BARRANQUILLA (CT),SAN MARTIN,-74.87106690000002,10.9447682
54,ATLÁNTICO,BARRANQUILLA (CT),EL RECREO,-74.79861204374895,10.986518199999999
55,ATLÁNTICO,BARRANQUILLA (CT),BUENA ESPERANZA,-74.80551304907806,10.96464025
56,ATLÁNTICO,BARRANQUILLA (CT),PUMAREJO,-74.80368663771046,10.96662155
57,ATLÁNTICO,BARRANQUILLA (CT),SILENCIO,-74.81686759605606,10.97931345
58,ATLÁNTICO,BARRANQUILLA (CT),EL GOLF,-74.81036423641578,11.01122755
59,ATLÁNTICO,BARRANQUILLA (CT),ALFONSO LOPEZ,-74.79213362032378,10.966683
60,ATLÁNTICO,BARRANQUILLA (CT),NUEVA GRANADA,-74.8041572297707,10.979153
61,ATLÁNTICO,BARRANQUILLA (CT),ABAJO,-74.78400200706473,10.9870576
62,ATLÁNTICO,BARRANQUILLA (CT),MEQUEJO,-74.82290503836978,10.97808615
63,ATLÁNTICO,BARRANQUILLA (CT),LOS NOGALES,-74.80130849999998,10.9799669
64,ATLÁNTICO,BARRANQUILLA (CT),EL KENNEDY,-74.8064092861133,10.9505615
65,ATLÁNTICO,BARRANQUILLA (CT),LA SIERRA,-74.80363544448008,10.95589435
66,ATLÁNTICO,BARRANQUILLA (CT),LA PAZ,-74.83383224171936,10.96732355
67,ATLÁNTICO,BARRANQUILLA (CT),LA PRADERA,-74.84264264968517,10.97871365
68,ATLÁNTICO,BARRANQUILLA (CT),LOS ROSALES,-74.8351969659221,10.96043795
69,ATLÁNTICO,BARRANQUILLA (CT),BUENOS AIRES,-74.79945942478858,10.94103185
70,ATLÁNTICO,BARRANQUILLA (CT),LA VICTORIA,-74.79882873900041,10.95229105
71,ATLÁNTICO,BARRANQUILLA (CT),LA UNION,-74.78916197282709,10.951948800000002
72,ATLÁNTICO,BARRANQUILLA (CT),7 DE ABRIL,-74.81701527678294,10.92752695
73,ATLÁNTICO,BARRANQUILLA (CT),LAS ESTRELLAS,-74.83373396691381,10.9815366
74,ATLÁNTICO,BARRANQUILLA (CT),COLOMBIA,-74.81712667267507,10.9715215
75,ATLÁNTICO,BARRANQUILLA (CT),20 DE JULIO,-74.83006239282693,10.93151155
76,ATLÁNTICO,BARRANQUILLA (CT),LAS COLINAS,-74.81843252980958,10.9847354
77,ATLÁNTICO,BARRANQUILLA (CT),LA PLAYA,-74.8674855,11.0360218
78,ATLÁNTICO,BARRANQUILLA (CT),SANTA MARIA,-74.82273118331774,10.9316475
79,ATLÁNTICO,BARRANQUILLA (CT),EL VALLE,-74.81023941287296,10.96626545
80,ATLÁNTICO,BARRANQUILLA (CT),VILLA FLOR,-74.82770041563799,10.948138199999999
81,ATLÁNTICO,BARRANQUILLA (CT),VILLANUEVA,-74.79623520000001,10.9349933
82,ATLÁNTICO,BARRANQUILLA (CT),BOYACA,-74.78802637383305,10.956843849999998
83,ATLÁNTICO,BARRANQUILLA (CT),LA CUMBRE,-74.82632696652823,10.9974956
84,ATLÁNTICO,BARRANQUILLA (CT),MONTECRISTO,-74.78483589593958,10.99439395
85,ATLÁNTICO,BARRANQUILLA (CT),SAN LUIS,-74.82635006685702,10.94032215
86,ATLÁNTICO,BARRANQUILLA (CT),ATLANTICO,-74.79027170738726,10.96884535
87,ATLÁNTICO,BARRANQUILLA (CT),CALIFORNIA,-74.82613499409717,10.94592975
88,ATLÁNTICO,BARRANQUILLA (CT),LOS GIRASOLES,-74.80486534319542,10.92479105
89,ATLÁNTICO,BARRANQUILLA (CT),LA CEIBA,-74.80654869024576,10.95882975
90,ATLÁNTICO,BARRANQUILLA (CT),LIMONCITO,-74.81146544974227,11.02027585
91,ATLÁNTICO,BARRANQUILLA (CT),LA FLORESTA,-74.80939354106488,11.02154645
92,ATLÁNTICO,BARRANQUILLA (CT),LA FLORIDA,-74.82064034713528,10.98546825
93,ATLÁNTICO,BARRANQUILLA (CT),PASADENA,-74.76827709999998,10.9463032
94,ATLÁNTICO,BARRANQUILLA (CT),LOS OLIVOS II,-74.83899219371402,10.971136999999999
95,ATLÁNTICO,BARRANQUILLA (CT),CARLOS MEISEL,-74.81693064499117,10.974317849999998
96,ATLÁNTICO,BARRANQUILLA (CT),NUEVA COLOMBIA,-74.81712667267507,10.9715215
97,ATLÁNTICO,BARRANQUILLA (CT),VILLA SAN PEDRO III,-74.83542153904165,10.94808515
98,ATLÁNTICO,BARRANQUILLA (CT),SANTA ANA,-74.80130849999998,10.9799669
99,ATLÁNTICO,BARRANQUILLA (CT),CIUDAD MODESTO,-74.82775721861245,10.96504015
100,ATLÁNTICO,BARRANQUILLA (CT),LOS CONTINENTES,-74.80342965376525,10.9509023
101,ATLÁNTICO,BARRANQUILLA (CT),7 DE AGOSTO,-74.83084195171537,10.96124705
102,ATLÁNTICO,BARRANQUILLA (CT),POR FIN,-74.8280144486148,10.97462815
103,ATLÁNTICO,BARRANQUILLA (CT),CORDIALIDAD,-74.8305625118806,10.94618645
104,ATLÁNTICO,BARRANQUILLA (CT),MODERNO,-74.78286299999998,10.9633262
105,ATLÁNTICO,BARRANQUILLA (CT),ANDALUCIA,-74.81183585071574,11.01674185
106,ATLÁNTICO,BARRANQUILLA (CT),LA LIBERTAD,-74.81522752194948,10.97641865
107,ATLÁNTICO,BARRANQUILLA (CT),LOS LAURELES,-74.82397777645457,11.00961335
108,ATLÁNTICO,BARRANQUILLA (CT),MERCEDES SUR,-74.81728018294739,10.98456955
109,ATLÁNTICO,BARRANQUILLA (CT),CISNEROS,-74.79127243351064,11.001298599999998
110,ATLÁNTICO,BARRANQUILLA (CT),MIRAMAR,-74.82678945328985,11.0108262
111,ATLÁNTICO,BARRANQUILLA (CT),CALAMARY,-74.829947,10.977389800000001
112,ATLÁNTICO,BARRANQUILLA (CT),LA GLORIA,-74.83060688411328,10.9494459
113,ATLÁNTICO,BARRANQUILLA (CT),LAS GRANJAS,-74.82556733079494,10.92364425
114,ATLÁNTICO,BARRANQUILLA (CT),EDEN 2000,-74.82735078686005,10.9811017
115,ATLÁNTICO,BARRANQUILLA (CT),LOMA FRESCA,-74.79426116154625,10.9726935
116,ATLÁNTICO,BARRANQUILLA (CT),SIERRA,-74.80363544448008,10.95589435
117,ATLÁNTICO,BARRANQUILLA (CT),GARDENIAS,-74.82902358386448,10.93929305
118,ATLÁNTICO,BARRANQUILLA (CT),OASIS,-74.80130849999998,10.9799669
119,ATLÁNTICO,BARRANQUILLA (CT),BOULEVARD DE SIMON BOLIVAR,-74.7768801765281,10.94417935
120,ATLÁNTICO,BARRANQUILLA (CT),VILLA OLIMPICA,-74.86584222085071,10.9210535
121,ATLÁNTICO,BARRANQUILLA (CT),EL HIPODROMO,-74.78635279999997,10.9309032
122,ATLÁNTICO,BARRANQUILLA (CT),LA INMACULADA,-74.79818114986702,10.99881205
123,ATLÁNTICO,BARRANQUILLA (CT),LOS ROBLES,-74.81111272744161,10.91921995
