,Departamento,Capital,Barrio,long,lat
0,CESAR,VALLEDUPAR (CT),LOPERENA,-73.2488254,10.4735083
1,CESAR,VALLEDUPAR (CT),BALNEARIO HURTADO,-73.2707954,10.5013281
2,CESAR,VALLEDUPAR (CT),CENTRO,-73.2528426,10.4650361
3,CESAR,VALLEDUPAR (CT),MANANTIAL,-73.2528426,10.4650361
4,CESAR,VALLEDUPAR (CT),RIO GUATAPURI,-73.2112796,10.4466011
5,CESAR,VALLEDUPAR (CT),EL CENTRO,-73.2528426,10.4650361
6,CESAR,VALLEDUPAR (CT),LA NEVADA,-73.2528426,10.4650361
7,CESAR,VALLEDUPAR (CT),LA POPA,-73.27174152052518,10.46612965
8,CESAR,VALLEDUPAR (CT),SIMON BOLIVAR,-73.25878771392037,10.4719636
9,CESAR,VALLEDUPAR (CT),PANAMA,-73.2690967,10.4766669
10,CESAR,VALLEDUPAR (CT),CENTRO COMERCIAL GUATAPURI,-73.2696913002147,10.49498145
11,CESAR,VALLEDUPAR (CT),EL PRADO,-73.2528426,10.4650361
12,CESAR,VALLEDUPAR (CT),EL CERRITO,-73.2528426,10.4650361
13,CESAR,VALLEDUPAR (CT),LOS MUSICOS,-73.252773,10.4650885
14,CESAR,VALLEDUPAR (CT),LAS PALMAS,-73.24875384606386,10.4506571
15,CESAR,VALLEDUPAR (CT),LOS MAYALES,-73.242511,10.4555517
16,CESAR,VALLEDUPAR (CT),SAN JORGE,-73.2528426,10.4650361
17,CESAR,VALLEDUPAR (CT),SAN ISIDRO,-73.2528426,10.4650361
18,CESAR,VALLEDUPAR (CT),INSPECAM,-73.26003783350485,10.47375105
19,CESAR,VALLEDUPAR (CT),ZONA INDUSTRIAL,-73.24167738904718,10.451944500000002
20,CESAR,VALLEDUPAR (CT),PARQUE LA VALLENATA,-73.2629858,10.448851199999998
21,CESAR,VALLEDUPAR (CT),HOSPITAL,-73.2528426,10.4650361
22,CESAR,VALLEDUPAR (CT),LA PEDREGOZA,-73.27815513951862,10.5006546
23,CESAR,VALLEDUPAR (CT),BELLA VISTA,-73.2528426,10.4650361
24,CESAR,VALLEDUPAR (CT),SAN ANTONIO,-73.2558968,10.5025036
25,CESAR,VALLEDUPAR (CT),SAN FRANCISCO,-73.2528426,10.4650361
26,CESAR,VALLEDUPAR (CT),LAS ACACIAS,-73.2528426,10.4650361
27,CESAR,VALLEDUPAR (CT),VILLA FUENTE,-73.255359,10.484554
28,CESAR,VALLEDUPAR (CT),LA CONCEPCION,-73.2460707,10.4769755
29,CESAR,VALLEDUPAR (CT),VEREDA,-73.2528426,10.4650361
30,CESAR,VALLEDUPAR (CT),HOMECENTER,-73.2675904,10.4937674
31,CESAR,VALLEDUPAR (CT),ESTADIO,-73.2528426,10.4650361
32,CESAR,VALLEDUPAR (CT),GALAN,-73.27663065796445,10.4560406
33,CESAR,VALLEDUPAR (CT),COLEGIO BILINGUE,-73.26931823837948,10.48876915
34,CESAR,VALLEDUPAR (CT),VILLA CONSUELO,-73.2528426,10.4650361
35,CESAR,VALLEDUPAR (CT),CONCEPCION,-73.2460707,10.4769755
36,CESAR,VALLEDUPAR (CT),BATALLON LA POPA,-73.27162294298627,10.46594605
37,CESAR,VALLEDUPAR (CT),LOS CEREZOS,-73.2528426,10.4650361
38,CESAR,VALLEDUPAR (CT),DPA,-73.25872653728584,10.4884438
39,CESAR,VALLEDUPAR (CT),RUEDA,-73.29306621753247,10.45464975
40,CESAR,VALLEDUPAR (CT),COCA COLA,-73.2561627628216,10.48633455
