,Departamento,Capital,Barrio,long,lat
3,CAQUETÁ,FLORENCIA (CT),EL CENTRO,-75.6143045,1.6158666000000002
8,CAQUETÁ,FLORENCIA (CT),ABBAS TURBAY,-75.5995352675842,1.62126615
30,CAQUETÁ,FLORENCIA (CT),VILLAMONICA,-75.6000866,1.6005568000000001
33,CAQUETÁ,FLORENCIA (CT),LA LIBERTAD,-75.6143045,1.6158666000000002
43,CAQUETÁ,FLORENCIA (CT),BELLAVISTA,-75.6143045,1.6158666000000002
47,CAQUETÁ,FLORENCIA (CT),EL CUNDUY,-75.6089615819528,1.6348638999999998
53,CAQUETÁ,FLORENCIA (CT),LA INMACULADA,-75.61107560134073,1.6196258999999997
62,CAQUETÁ,FLORENCIA (CT),LA AMAZONIA,-75.60431603704366,1.62040805
94,CAQUETÁ,FLORENCIA (CT),LOS PINOS,-75.6143045,1.6158666000000002
99,CAQUETÁ,FLORENCIA (CT),EL PRADO,-75.6143045,1.6158666000000002
101,CAQUETÁ,FLORENCIA (CT),LA PRIMAVERA,-75.6143045,1.6158666000000002
112,CAQUETÁ,FLORENCIA (CT),ATALAYA,-75.60657734968675,1.6265489
118,CAQUETÁ,FLORENCIA (CT),EL MANANTIAL,-75.6143045,1.6158666000000002
119,CAQUETÁ,FLORENCIA (CT),RICAURTE,-75.6143045,1.6158666000000002
144,CAQUETÁ,FLORENCIA (CT),COMFACA,-75.6118399,1.6125958
186,CAQUETÁ,FLORENCIA (CT),LA PRADERA,-75.60736303123932,1.61904175
207,CAQUETÁ,FLORENCIA (CT),NAPOLES,-75.6143045,1.6158666000000002
218,CAQUETÁ,FLORENCIA (CT),VDA.  LA ESPERANZA,-75.6143045,1.6158666000000002
222,CAQUETÁ,FLORENCIA (CT),BARRIO EL CENTRO,-75.6143045,1.6158666000000002
