,Departamento,Capital,Barrio,long,lat
0,MAGDALENA,SANTA MARTA (CT),OLIVO,-74.2055606,11.2422289
1,MAGDALENA,SANTA MARTA (CT),CENTRO,-74.2055606,11.2422289
2,MAGDALENA,SANTA MARTA (CT),TAGANGA,-74.1908151,11.268184
3,MAGDALENA,SANTA MARTA (CT),BAVARIA,-74.16381853254086,11.2261979
4,MAGDALENA,SANTA MARTA (CT),MAMATOCO,-74.1641125,11.2326854
5,MAGDALENA,SANTA MARTA (CT),BASTIDAS,-74.21643320000003,11.2381339
6,MAGDALENA,SANTA MARTA (CT),POSTOBON,-74.1902637449336,11.23377045
7,MAGDALENA,SANTA MARTA (CT),SANTA ANA,-74.2055606,11.2422289
8,MAGDALENA,SANTA MARTA (CT),CURINCA,-74.18867527444813,11.21206285
9,MAGDALENA,SANTA MARTA (CT),BELLA VISTA,-74.2055606,11.2422289
10,MAGDALENA,SANTA MARTA (CT),EL MANGO,-74.2055606,11.2422289
11,MAGDALENA,SANTA MARTA (CT),PARQUE TAIRONA,-74.1541046,11.2593024
12,MAGDALENA,SANTA MARTA (CT),BUENAVISTA,-74.1727569316625,11.22705525
13,MAGDALENA,SANTA MARTA (CT),UNIVERSIDAD DEL MAGDALENA,-74.18552489288409,11.223669300000001
14,MAGDALENA,SANTA MARTA (CT),VILLAS DE ALEJANDRIA,-74.20237406168074,11.22667135
15,MAGDALENA,SANTA MARTA (CT),EL PRADO,-74.2055606,11.2422289
16,MAGDALENA,SANTA MARTA (CT),SAN JORGE,-74.2122735,11.246978
17,MAGDALENA,SANTA MARTA (CT),SIMON BOLIVAR,-74.1787235,11.2278623
18,MAGDALENA,SANTA MARTA (CT),ZIRUMA,-74.21593349999998,11.213976
19,MAGDALENA,SANTA MARTA (CT),PORTAL DE LAS AVENIDAS,-74.17610814009836,11.22408775
20,MAGDALENA,SANTA MARTA (CT),SILVIA ROSA,-74.19906278778866,11.23312075
21,MAGDALENA,SANTA MARTA (CT),URBANIZACION EL RIO,-74.19698099418704,11.23188375
22,MAGDALENA,SANTA MARTA (CT),PORVENIR,-74.21377757587464,11.2434057
23,MAGDALENA,SANTA MARTA (CT),SAN PABLO,-74.21482501617984,11.2218514
24,MAGDALENA,SANTA MARTA (CT),VISTA DEL MAR,-74.2055606,11.2422289
25,MAGDALENA,SANTA MARTA (CT),RECREO,-74.2055606,11.2422289
26,MAGDALENA,SANTA MARTA (CT),TIMAYUI,-74.15109392940619,11.2342531
27,MAGDALENA,SANTA MARTA (CT),OASIS,-74.2055606,11.2422289
28,MAGDALENA,SANTA MARTA (CT),LOS NOGALES,-74.2055606,11.2422289
29,MAGDALENA,SANTA MARTA (CT),PORTAL UNIVERSITARIO,-74.18976440000002,11.225994300000002
30,MAGDALENA,SANTA MARTA (CT),EL RECREO,-74.2055606,11.2422289
31,MAGDALENA,SANTA MARTA (CT),CIUDAD LA EQUIDAD,-74.16683817029372,11.20455025
32,MAGDALENA,SANTA MARTA (CT),URBANIZACION CANARIAS,-74.17248504195099,11.22344595
33,MAGDALENA,SANTA MARTA (CT),URB.NEVADA,-74.17186740000002,11.2209041
34,MAGDALENA,SANTA MARTA (CT),CIUDAD CAMPESTRE EL NOGAL,-74.17101527444011,11.2180093
35,MAGDALENA,SANTA MARTA (CT),EL CARMEN,-74.2055606,11.2422289
36,MAGDALENA,SANTA MARTA (CT),EL PORVENIR,-74.21377757587464,11.2434057
