,Departamento,Capital,Barrio,long,lat
1,PUTUMAYO,MOCOA (CT),CENTRO,-76.64823270000001,1.1466295
6,PUTUMAYO,MOCOA (CT),AV. COLOMBIA,-76.6482231,1.1556101
8,PUTUMAYO,MOCOA (CT),INDEPENDENCIA,-76.64823270000001,1.1466295
9,PUTUMAYO,MOCOA (CT),AV. SAN FRANCISCO,-76.6503519,1.1528922
15,PUTUMAYO,MOCOA (CT),OLIMPICO,-76.6457735,1.151419
17,PUTUMAYO,MOCOA (CT),JARDIN,-76.64823270000001,1.1466295
44,PUTUMAYO,MOCOA (CT),LOS PINOS,-76.64823270000001,1.1466295
51,PUTUMAYO,MOCOA (CT),SAN MIGUEL,-76.64823270000001,1.1466295
54,PUTUMAYO,MOCOA (CT),BELLA VISTA,-76.64823270000001,1.1466295
59,PUTUMAYO,MOCOA (CT),MIRAFLORES,-76.65451900284309,1.14546065
60,PUTUMAYO,MOCOA (CT),EL CARMEN,-76.64823270000001,1.1466295
65,PUTUMAYO,MOCOA (CT),LOS ALAMOS,-76.64823270000001,1.1466295
68,PUTUMAYO,MOCOA (CT),SAN AGUSTIN,-76.64823270000001,1.1466295
89,PUTUMAYO,MOCOA (CT),LAS ACACIAS,-76.64823270000001,1.1466295
113,PUTUMAYO,MOCOA (CT),CENTRAL,-76.6466971,1.146252
116,PUTUMAYO,MOCOA (CT),EL JARDIN,-76.64823270000001,1.1466295
123,PUTUMAYO,MOCOA (CT),EL CENTRO,-76.64823270000001,1.1466295
128,PUTUMAYO,MOCOA (CT),TERMINAL,-76.64823270000001,1.1466295
