,Departamento,Capital,Barrio,long,lat
0,NARIÑO,PASTO (CT),VILLA LUCIA,-77.2837251,1.2069071000000002
1,NARIÑO,PASTO (CT),MARIDIAZ,-77.2848962,1.223018
2,NARIÑO,PASTO (CT),CATAMBUCO CENTRO,-77.2958731,1.1674443
3,NARIÑO,PASTO (CT),LA AURORA,-77.27825159999998,1.2146286
4,NARIÑO,PASTO (CT),CHAPAL,-77.2838559,1.1911645
5,NARIÑO,PASTO (CT),VILLA SOFIA,-77.2919902,1.2084052
6,NARIÑO,PASTO (CT),BOMBONA,-77.28350825158627,1.2170149
7,NARIÑO,PASTO (CT),PARQUE BOLIVAR,-77.27027936214589,1.2055842
8,NARIÑO,PASTO (CT),PALERMO,-77.2838512,1.2259066
9,NARIÑO,PASTO (CT),CENTRO,-77.27825159999998,1.2146286
10,NARIÑO,PASTO (CT),MIJITAYO ALTO,-77.296374,1.2048291000000002
11,NARIÑO,PASTO (CT),PARQUE INFANTIL,-77.28155830557566,1.21943055
12,NARIÑO,PASTO (CT),AV. LAS AMERICAS,-77.2776573,1.2077915
13,NARIÑO,PASTO (CT),GUALCALOMA,-77.2964838,1.2162625
14,NARIÑO,PASTO (CT),LAS CUADRAS,-77.27933459999998,1.2186612
15,NARIÑO,PASTO (CT),POTRERILLO,-77.27051396178015,1.1960091
16,NARIÑO,PASTO (CT),RECUERDO,-77.2714164,1.2027450000000002
17,NARIÑO,PASTO (CT),AVENIDA CHILE,-77.269789,1.2024816
18,NARIÑO,PASTO (CT),SAN JUAN DE DIOS,-77.29004090000002,1.2212412
19,NARIÑO,PASTO (CT),MERCEDARIO,-77.26122109999999,1.2042767
20,NARIÑO,PASTO (CT),EL ROSARIO,-77.2674849,1.1837486000000002
21,NARIÑO,PASTO (CT),CAICEDO ALTO,-77.2841655,1.201486
22,NARIÑO,PASTO (CT),NIZA II,-77.2818792,1.202086
23,NARIÑO,PASTO (CT),ARANDA,-77.27157640000001,1.2285718
24,NARIÑO,PASTO (CT),CHAMBU II,-77.2742327,1.1894207
25,NARIÑO,PASTO (CT),LA ROSA,-77.2750905,1.1921554
26,NARIÑO,PASTO (CT),TERMINAL,-77.27825159999998,1.2146286
27,NARIÑO,PASTO (CT),LA CASTELLANA,-77.2907522,1.218059
28,NARIÑO,PASTO (CT),TEJAR,-77.26291118909866,1.1979951000000002
29,NARIÑO,PASTO (CT),EL DORADO,-77.2872579,1.2248342
30,NARIÑO,PASTO (CT),SANTA ANA,-77.2870699,1.2232198
