,Departamento,Capital,Barrio,long,lat
2,NARIÑO,PASTO (CT),VILLA LUCIA,-77.2837251,1.2069071000000002
5,NARIÑO,PASTO (CT),MARIDIAZ,-77.2848962,1.223018
6,NARIÑO,PASTO (CT),CATAMBUCO CENTRO,-77.2958731,1.1674443
8,NARIÑO,PASTO (CT),LA AURORA,-77.27825159999999,1.2146286
11,NARIÑO,PASTO (CT),CHAPAL,-77.2838559,1.1911645
12,NARIÑO,PASTO (CT),VILLA SOFIA,-77.2919902,1.2084052
13,NARIÑO,PASTO (CT),BOMBONA,-77.28350825158627,1.2170149
15,NARIÑO,PASTO (CT),PARQUE BOLIVAR,-77.27027936214589,1.2055841999999999
18,NARIÑO,PASTO (CT),PALERMO,-77.2838512,1.2259066
20,NARIÑO,PASTO (CT),CENTRO,-77.27825159999999,1.2146286
23,NARIÑO,PASTO (CT),MIJITAYO ALTO,-77.296374,1.2048291000000002
24,NARIÑO,PASTO (CT),PARQUE INFANTIL,-77.28155830557566,1.21943055
27,NARIÑO,PASTO (CT),AV. LAS AMERICAS,-77.2776573,1.2077915000000001
29,NARIÑO,PASTO (CT),GUALCALOMA,-77.2964838,1.2162625
30,NARIÑO,PASTO (CT),LAS CUADRAS,-77.27933459999998,1.2186612
31,NARIÑO,PASTO (CT),POTRERILLO,-77.27051396178015,1.1960091
34,NARIÑO,PASTO (CT),RECUERDO,-77.2714164,1.2027450000000002
35,NARIÑO,PASTO (CT),AVENIDA CHILE,-77.269789,1.2024816
36,NARIÑO,PASTO (CT),SAN JUAN DE DIOS,-77.29004090000001,1.2212412
37,NARIÑO,PASTO (CT),MERCEDARIO,-77.26122109999999,1.2042767
38,NARIÑO,PASTO (CT),EL ROSARIO,-77.2674849,1.1837486000000002
39,NARIÑO,PASTO (CT),CAICEDO ALTO,-77.2841655,1.201486
43,NARIÑO,PASTO (CT),NIZA II,-77.2818792,1.202086
50,NARIÑO,PASTO (CT),ARANDA,-77.27157640000001,1.2285718
51,NARIÑO,PASTO (CT),CHAMBU II,-77.2742327,1.1894207
52,NARIÑO,PASTO (CT),LA ROSA,-77.2750905,1.1921553999999999
53,NARIÑO,PASTO (CT),TERMINAL,-77.27825159999999,1.2146286
58,NARIÑO,PASTO (CT),LA CASTELLANA,-77.2907522,1.218059
60,NARIÑO,PASTO (CT),TEJAR,-77.26291118909866,1.1979951000000002
65,NARIÑO,PASTO (CT),EL DORADO,-77.2872579,1.2248341999999999
66,NARIÑO,PASTO (CT),SANTA ANA,-77.2870699,1.2232198
68,NARIÑO,PASTO (CT),LAS MERCEDES,-77.27825159999999,1.2146286
69,NARIÑO,PASTO (CT),LA CAROLINA,-77.27825159999999,1.2146286
71,NARIÑO,PASTO (CT),POPULAR,-77.28550323102147,1.1951671999999998
