,Departamento,Capital,Barrio,long,lat
3,RISARALDA,PEREIRA (CT),JARDIN I,-75.71288740630057,4.81049815
4,RISARALDA,PEREIRA (CT),COROCITO,-75.68620016596441,4.81032265
6,RISARALDA,PEREIRA (CT),SECTOR PLAZA DE BOLIVAR,-75.69516953157725,4.8134852
8,RISARALDA,PEREIRA (CT),SANTA TERESITA,-75.69203812785396,4.818657699999998
9,RISARALDA,PEREIRA (CT),SECTOR PARQUE LA LIBERTAD,-75.68823136275687,4.8148973
11,RISARALDA,PEREIRA (CT),SAN JORGE,-75.69751617312764,4.81924705
12,RISARALDA,PEREIRA (CT),SANTAFE,-75.73711027575098,4.80017835
13,RISARALDA,PEREIRA (CT),SECTOR AVENIDA CIRCUNVALAR,-75.68185340000001,4.8066227
15,RISARALDA,PEREIRA (CT),BAVARIA,-75.68554604149989,4.8158959999999995
16,RISARALDA,PEREIRA (CT),CENTENARIO,-75.6985126585268,4.808202400000001
19,RISARALDA,PEREIRA (CT),PRIMERO DE FEBRERO 2,-75.7051631308758,4.81538325
20,RISARALDA,PEREIRA (CT),CORALES,-75.7463688,4.8011974
21,RISARALDA,PEREIRA (CT),LOS PINOS,-75.7344728321498,4.80271845
23,RISARALDA,PEREIRA (CT),CIRCUNVALAR,-75.6902365,4.808660400000001
24,RISARALDA,PEREIRA (CT),BOSTON,-75.69642639436711,4.79978455
25,RISARALDA,PEREIRA (CT),SAN ESTEBAN,-75.71137628839924,4.81658745
26,RISARALDA,PEREIRA (CT),TRAVESURAS-LA CHURRIA,-75.69305151639819,4.8041288
27,RISARALDA,PEREIRA (CT),LA INDEPENDENCIA,-75.73650611605309,4.80358455
30,RISARALDA,PEREIRA (CT),SAN JOAQUIN,-75.73998724502202,4.7928713
31,RISARALDA,PEREIRA (CT),OLAYA HERRERA,-75.69451561108716,4.808281900000001
34,RISARALDA,PEREIRA (CT),RESTREPO,-75.73183499284865,4.805291049999999
37,RISARALDA,PEREIRA (CT),POBLADO I,-75.70558989550693,4.803468349999998
39,RISARALDA,PEREIRA (CT),LOS ALAMOS,-75.68948606969212,4.79819235
40,RISARALDA,PEREIRA (CT),NACEDEROS I,-75.73376993339585,4.8165619500000005
42,RISARALDA,PEREIRA (CT),AMERICA,-75.6888480134081,4.81804095
43,RISARALDA,PEREIRA (CT),JOSE ANTONIO GALAN,-75.70684223841464,4.821117299999999
48,RISARALDA,PEREIRA (CT),MARAYA,-75.71681176117251,4.8139946
49,RISARALDA,PEREIRA (CT),CIUDAD BOQUIA,-75.73057855469804,4.82333165
51,RISARALDA,PEREIRA (CT),SAN MARCOS,-75.73849882155729,4.7901197500000015
52,RISARALDA,PEREIRA (CT),VILLAVICENCIO,-75.68466493832459,4.81259545
53,RISARALDA,PEREIRA (CT),PINARES DE SAN MARTIN,-75.68788429816465,4.803532
55,RISARALDA,PEREIRA (CT),EL ACUARIO,-75.7353848655872,4.80009685
61,RISARALDA,PEREIRA (CT),VILLA ELISA,-75.73148634460081,4.80053285
62,RISARALDA,PEREIRA (CT),QUINTAS DE PANORAMA II,-75.72560413460694,4.8002503500000016
