,Departamento,Capital,Barrio,long,lat
0,PUTUMAYO,MOCOA (CT),CENTRO,-76.64823270000002,1.1466295
1,PUTUMAYO,MOCOA (CT),AV. COLOMBIA,-76.6482231,1.1556101
2,PUTUMAYO,MOCOA (CT),INDEPENDENCIA,-76.64823270000002,1.1466295
3,PUTUMAYO,MOCOA (CT),AV. SAN FRANCISCO,-76.6503519,1.1528922
4,PUTUMAYO,MOCOA (CT),OLIMPICO,-76.6457735,1.151419
5,PUTUMAYO,MOCOA (CT),JARDIN,-76.64823270000002,1.1466295
6,PUTUMAYO,MOCOA (CT),LOS PINOS,-76.64823270000002,1.1466295
7,PUTUMAYO,MOCOA (CT),SAN MIGUEL,-76.64823270000002,1.1466295
8,PUTUMAYO,MOCOA (CT),BELLA VISTA,-76.64823270000002,1.1466295
9,PUTUMAYO,MOCOA (CT),MIRAFLORES,-76.65451900284309,1.14546065
10,PUTUMAYO,MOCOA (CT),EL CARMEN,-76.64823270000002,1.1466295
11,PUTUMAYO,MOCOA (CT),LOS ALAMOS,-76.64823270000002,1.1466295
12,PUTUMAYO,MOCOA (CT),SAN AGUSTIN,-76.64823270000002,1.1466295
13,PUTUMAYO,MOCOA (CT),LAS ACACIAS,-76.64823270000002,1.1466295
14,PUTUMAYO,MOCOA (CT),CENTRAL,-76.6466971,1.146252
15,PUTUMAYO,MOCOA (CT),EL JARDIN,-76.64823270000002,1.1466295
16,PUTUMAYO,MOCOA (CT),EL CENTRO,-76.64823270000002,1.1466295
17,PUTUMAYO,MOCOA (CT),TERMINAL,-76.64823270000002,1.1466295
