,Departamento,Capital,Barrio,long,lat
0,CHOCÓ,QUIBDÓ (CT),EL JARDIN,-76.6540463,5.684570900000001
4,CHOCÓ,QUIBDÓ (CT),SANTA ANA,-76.6540463,5.684570900000001
6,CHOCÓ,QUIBDÓ (CT),CENTRO,-76.6540463,5.684570900000001
7,CHOCÓ,QUIBDÓ (CT),ROMA,-76.6540463,5.684570900000001
10,CHOCÓ,QUIBDÓ (CT),SAN JOSE,-76.6540463,5.684570900000001
26,CHOCÓ,QUIBDÓ (CT),SAN MARTIN,-76.6540463,5.684570900000001
29,CHOCÓ,QUIBDÓ (CT),AURORA,-76.6540463,5.684570900000001
31,CHOCÓ,QUIBDÓ (CT),CARAÑO,-76.64390798082734,5.69096385
60,CHOCÓ,QUIBDÓ (CT),FUTURO,-76.65225240000001,5.7214434999999995
64,CHOCÓ,QUIBDÓ (CT),EL ROCIO,-76.6540463,5.684570900000001
71,CHOCÓ,QUIBDÓ (CT),LOS ALAMOS,-76.6540463,5.684570900000001
78,CHOCÓ,QUIBDÓ (CT),EL BASURERO,-76.6540463,5.684570900000001
102,CHOCÓ,QUIBDÓ (CT),CENTRAL,-76.6540463,5.684570900000001
107,CHOCÓ,QUIBDÓ (CT),AEROPARQUE,-76.64572131016618,5.69066895
110,CHOCÓ,QUIBDÓ (CT),CASA BLANCA,-76.6540463,5.684570900000001
