,Departamento,Capital,Barrio,long,lat
0,TOLIMA,IBAGUÉ (CT),CENTRO,-75.2366416,4.4419935
1,TOLIMA,IBAGUÉ (CT),TULIO VARON,-75.1790185197914,4.43752875
2,TOLIMA,IBAGUÉ (CT),SAN LUIS,-75.2095758,4.445957099999998
3,TOLIMA,IBAGUÉ (CT),EL LIMONAR,-75.2039921,4.4365652
4,TOLIMA,IBAGUÉ (CT),PICALEÑA,-75.1416042,4.399321700000002
5,TOLIMA,IBAGUÉ (CT),ESTACION,-75.23061659999998,4.4391565
6,TOLIMA,IBAGUÉ (CT),FEDERICO LLERAS,-75.20465543817414,4.4356257
7,TOLIMA,IBAGUÉ (CT),INTERLAKEN (1),-75.2342252,4.4444534
8,TOLIMA,IBAGUÉ (CT),AMBALA,-75.200602,4.4571909000000005
9,TOLIMA,IBAGUÉ (CT),MIROLINDO,-75.2108614,4.4299364
10,TOLIMA,IBAGUÉ (CT),JORDAN I ETAPA,-75.20052240000003,4.434915900000001
11,TOLIMA,IBAGUÉ (CT),PUEBLO NUEVO,-75.2377115,4.446080599999998
12,TOLIMA,IBAGUÉ (CT),LA CASTELLANA,-75.11816030749901,4.473050349999999
13,TOLIMA,IBAGUÉ (CT),LA FRANCIA,-75.2245272,4.43441185
14,TOLIMA,IBAGUÉ (CT),COMBEIMA,-75.24378279999998,4.441134099999998
15,TOLIMA,IBAGUÉ (CT),AMERICA,-75.23952918581945,4.4443135
16,TOLIMA,IBAGUÉ (CT),CADIZ,-75.2184787,4.4374289000000005
17,TOLIMA,IBAGUÉ (CT),JORDAN IX ETAPA,-75.2004382,4.443304
18,TOLIMA,IBAGUÉ (CT),ATOLSURE,-75.18122109999999,4.4389508
19,TOLIMA,IBAGUÉ (CT),LA GAVIOTA,-75.18049612883706,4.4531385000000006
20,TOLIMA,IBAGUÉ (CT),SIMON BOLIVAR,-75.244252,4.4461242
21,TOLIMA,IBAGUÉ (CT),AUGUSTO E. MEDINA,-75.246499,4.4538095
22,TOLIMA,IBAGUÉ (CT),VIA PICALEÑA,-75.1416042,4.399321700000002
23,TOLIMA,IBAGUÉ (CT),ESTADIO,-75.2430012,4.4446595
24,TOLIMA,IBAGUÉ (CT),CALAMBEO,-75.2247203,4.4585282
25,TOLIMA,IBAGUÉ (CT),EL SALADO,-75.1450389,4.4493609
26,TOLIMA,IBAGUÉ (CT),CANTABRIA,-75.16503349999998,4.4480025
27,TOLIMA,IBAGUÉ (CT),LA POLA,-75.24401800000003,4.4465587
28,TOLIMA,IBAGUÉ (CT),GAITAN PARTE ALTA (3),-75.21638320000002,4.4436519
29,TOLIMA,IBAGUÉ (CT),GRANADA,-75.2430012,4.4446595
30,TOLIMA,IBAGUÉ (CT),IRAZU,-75.2465876,4.4511335
31,TOLIMA,IBAGUÉ (CT),BALTAZAR,-75.24459209999998,4.4426403
32,TOLIMA,IBAGUÉ (CT),LA PRADERA,-75.2359441,4.4271639
33,TOLIMA,IBAGUÉ (CT),CHAPETON,-75.26015550000002,4.4577575
34,TOLIMA,IBAGUÉ (CT),LAS VEGAS,-75.23743309999998,4.433221400000001
35,TOLIMA,IBAGUÉ (CT),YULDAIMA,-75.24038829999998,4.435524299999999
36,TOLIMA,IBAGUÉ (CT),MAGISTERIO,-75.216628,4.4366427
37,TOLIMA,IBAGUÉ (CT),GAITAN,-75.21553442416166,4.44249625
38,TOLIMA,IBAGUÉ (CT),CASA CLUB,-75.2106339,4.430818799999999
39,TOLIMA,IBAGUÉ (CT),JORDAN II ETAPA,-75.19579420000002,4.4352634
40,TOLIMA,IBAGUÉ (CT),SAN DIEGO,-75.2416994,4.4522923
41,TOLIMA,IBAGUÉ (CT),DEPARTAMENTAL,-75.24226438429389,4.443846799999998
42,TOLIMA,IBAGUÉ (CT),LA GRANJA,-75.2246153,4.4429455
43,TOLIMA,IBAGUÉ (CT),NACIONAL,-75.21748559999997,4.434289499999998
44,TOLIMA,IBAGUÉ (CT),JORDAN III ETAPA,-75.1933816,4.4362554
45,TOLIMA,IBAGUÉ (CT),INEM,-75.2299436,4.4454392
46,TOLIMA,IBAGUÉ (CT),LAS AMERICAS,-75.14556303956456,4.4087094
47,TOLIMA,IBAGUÉ (CT),CIUDAD LUZ,-75.1872218,4.4328285
48,TOLIMA,IBAGUÉ (CT),LA ARBOLEDA,-75.14840903769974,4.3980182
