,Departamento,Municipio,Barrio,Edad,Sexo,Mes,Dia,Hora
6,ARAUCA,ARAUCA (CT),LAS AMERICAS,22.0,MASCULINO,01,01,22
7,ARAUCA,ARAUCA (CT),LAS AMERICAS,33.0,MASCULINO,01,01,23
334,ARAUCA,ARAUCA (CT),UNION,23.0,FEMENINO,01,04,14
1258,ARAUCA,ARAUCA (CT),SAN LUIS,31.0,MASCULINO,01,09,21
1556,ARAUCA,ARAUCA (CT),7 DE AGOSTO,18.0,FEMENINO,01,11,14
1683,ARAUCA,ARAUCA (CT),1 DE ENERO,74.0,MASCULINO,01,12,7
1684,ARAUCA,ARAUCA (CT),LAS AMERICAS,26.0,MASCULINO,01,12,7
2269,ARAUCA,ARAUCA (CT),LAS AMERICAS,30.0,MASCULINO,01,15,14
2695,ARAUCA,ARAUCA (CT),LOS FUNDADORES,30.0,FEMENINO,01,17,21
3749,ARAUCA,ARAUCA (CT),LOS GUARATAROS,43.0,FEMENINO,01,23,12
4400,ARAUCA,ARAUCA (CT),EL CENTRO,56.0,FEMENINO,01,27,16
4401,ARAUCA,ARAUCA (CT),EL CENTRO,27.0,MASCULINO,01,27,14
4805,ARAUCA,ARAUCA (CT),VEREDA  CLARINETERO,41.0,MASCULINO,01,29,8
5568,ARAUCA,ARAUCA (CT),MERIDIANO 70,33.0,MASCULINO,02,02,15
5772,ARAUCA,ARAUCA (CT),EL CENTRO,44.0,FEMENINO,02,03,14
6763,ARAUCA,ARAUCA (CT),7 DE AGOSTO,29.0,FEMENINO,02,08,18
6966,ARAUCA,ARAUCA (CT),CAÑO ARENAL,45.0,MASCULINO,02,09,15
7353,ARAUCA,ARAUCA (CT),VEREDA MAPORILLAL,43.0,FEMENINO,02,11,6
8432,ARAUCA,ARAUCA (CT),1 DE ENERO,16.0,MASCULINO,02,17,15
9066,ARAUCA,ARAUCA (CT),VEREDA MATEGALLINA,29.0,FEMENINO,02,20,8
9067,ARAUCA,ARAUCA (CT),MERIDIANO 70,49.0,FEMENINO,02,20,17
9549,ARAUCA,ARAUCA (CT),LAS CABAÑAS,32.0,FEMENINO,02,23,10
9550,ARAUCA,ARAUCA (CT),PORVENIR,16.0,FEMENINO,02,23,17
9924,ARAUCA,ARAUCA (CT),EL CENTRO,53.0,MASCULINO,02,25,10
9925,ARAUCA,ARAUCA (CT),MERIDIANO 70,29.0,FEMENINO,02,25,17
10833,ARAUCA,ARAUCA (CT),KILOMETRO 2 VIA CAÑO LIMON,37.0,FEMENINO,03,02,16
11149,ARAUCA,ARAUCA (CT),LAS AMERICAS,27.0,MASCULINO,03,04,5
12047,ARAUCA,ARAUCA (CT),COSTA HERMOSA,81.0,MASCULINO,03,09,16
12430,ARAUCA,ARAUCA (CT),LA ESPERANZA,21.0,FEMENINO,03,11,10
12820,ARAUCA,ARAUCA (CT),EL CENTRO,52.0,FEMENINO,03,13,10
13433,ARAUCA,ARAUCA (CT),VEREDA MATEGALLINA,41.0,MASCULINO,03,17,3
14334,ARAUCA,ARAUCA (CT),LAS COROCORAS,45.0,MASCULINO,03,23,1
14515,ARAUCA,ARAUCA (CT),VEREDA MAPORILLAL,43.0,FEMENINO,03,24,10
14848,ARAUCA,ARAUCA (CT),VEREDA LA COMUNIDAD,43.0,MASCULINO,03,26,0
15045,ARAUCA,ARAUCA (CT),EL CENTRO,54.0,MASCULINO,03,27,17
16506,ARAUCA,ARAUCA (CT),EL CENTRO,54.0,FEMENINO,04,06,14
17410,ARAUCA,ARAUCA (CT),FLOR DE MI LLANO,36.0,MASCULINO,04,11,9
19121,ARAUCA,ARAUCA (CT),EL CENTRO,19.0,MASCULINO,04,21,11
