,Departamento,Municipio,Barrio,Edad,Sexo,Mes,Dia,Hora
8,ATLÁNTICO,BARRANQUILLA (CT),MONTES,42.0,MASCULINO,01,01,11
9,ATLÁNTICO,BARRANQUILLA (CT),MONTES,22.0,MASCULINO,01,01,16
10,ATLÁNTICO,BARRANQUILLA (CT),LAS MALVINAS,38.0,MASCULINO,01,01,8
11,ATLÁNTICO,BARRANQUILLA (CT),EL SANTUARIO,17.0,MASCULINO,01,01,7
12,ATLÁNTICO,BARRANQUILLA (CT),BARLOVENTO,35.0,MASCULINO,01,01,8
13,ATLÁNTICO,BARRANQUILLA (CT),EL ROSARIO,30.0,NO REPORTA,01,01,9
122,ATLÁNTICO,BARRANQUILLA (CT),EL TABOR,67.0,MASCULINO,01,02,9
123,ATLÁNTICO,BARRANQUILLA (CT),VILLA ROSARIO,24.0,MASCULINO,01,02,10
124,ATLÁNTICO,BARRANQUILLA (CT),LA CONCEPCION,49.0,FEMENINO,01,02,23
212,ATLÁNTICO,BARRANQUILLA (CT),VILLA CAROLINA,54.0,MASCULINO,01,03,16
213,ATLÁNTICO,BARRANQUILLA (CT),CAMPO ALEGRE,38.0,MASCULINO,01,03,20
214,ATLÁNTICO,BARRANQUILLA (CT),UNIVERSAL,26.0,MASCULINO,01,03,21
215,ATLÁNTICO,BARRANQUILLA (CT),SAN JOSE,28.0,FEMENINO,01,03,7
216,ATLÁNTICO,BARRANQUILLA (CT),CHIQUINQUIRA,68.0,MASCULINO,01,03,9
217,ATLÁNTICO,BARRANQUILLA (CT),LAS AMERICAS,32.0,MASCULINO,01,03,12
336,ATLÁNTICO,BARRANQUILLA (CT),GRANADILLO,50.0,MASCULINO,01,04,10
337,ATLÁNTICO,BARRANQUILLA (CT),ROMANCE,30.0,FEMENINO,01,04,0
338,ATLÁNTICO,BARRANQUILLA (CT),LOS PINOS,45.0,FEMENINO,01,04,14
339,ATLÁNTICO,BARRANQUILLA (CT),EL PARAISO,40.0,FEMENINO,01,04,12
340,ATLÁNTICO,BARRANQUILLA (CT),CHIQUINQUIRA,24.0,MASCULINO,01,04,20
341,ATLÁNTICO,BARRANQUILLA (CT),LA CAMPIÑA,28.0,MASCULINO,01,04,2
