,Departamento,Municipio,Barrio,Edad,Sexo,Mes,Dia,Hora
70,SANTANDER,BUCARAMANGA (CT),VDA. LA SABANA,47.0,MASCULINO,01,01,8
71,SANTANDER,BUCARAMANGA (CT),CHAPINERO,43.0,MASCULINO,01,01,2
72,SANTANDER,BUCARAMANGA (CT),LA AURORA,47.0,MASCULINO,01,01,1
73,SANTANDER,BUCARAMANGA (CT),BALCONES DEL KENNEDY,42.0,MASCULINO,01,01,1
74,SANTANDER,BUCARAMANGA (CT),LA JUVENTUD,14.0,FEMENINO,01,01,17
178,SANTANDER,BUCARAMANGA (CT),VILLA DE LOS CONQUISTADORES,26.0,MASCULINO,01,02,10
179,SANTANDER,BUCARAMANGA (CT),ANTONIA SANTOS,24.0,FEMENINO,01,02,17
180,SANTANDER,BUCARAMANGA (CT),URB. HEROES,34.0,MASCULINO,01,02,18
296,SANTANDER,BUCARAMANGA (CT),LA CONCORDIA,39.0,MASCULINO,01,03,16
297,SANTANDER,BUCARAMANGA (CT),LA FLORESTA,37.0,FEMENINO,01,03,14
298,SANTANDER,BUCARAMANGA (CT),SAN FRANCISCO,28.0,FEMENINO,01,03,17
299,SANTANDER,BUCARAMANGA (CT),CENTRO,26.0,MASCULINO,01,03,3
469,SANTANDER,BUCARAMANGA (CT),CENTRO,68.0,MASCULINO,01,04,19
470,SANTANDER,BUCARAMANGA (CT),URB. ESTORAQUES I,56.0,FEMENINO,01,04,19
471,SANTANDER,BUCARAMANGA (CT),GARCIA ROVIRA,34.0,MASCULINO,01,04,14
472,SANTANDER,BUCARAMANGA (CT),COMUNEROS,28.0,MASCULINO,01,04,13
473,SANTANDER,BUCARAMANGA (CT),CENTRO,19.0,FEMENINO,01,04,16
474,SANTANDER,BUCARAMANGA (CT),ESPERANZA I,33.0,MASCULINO,01,04,12
627,SANTANDER,BUCARAMANGA (CT),ALFONSO LOPEZ,22.0,MASCULINO,01,05,18
628,SANTANDER,BUCARAMANGA (CT),DIAMANTE II,43.0,MASCULINO,01,05,16
629,SANTANDER,BUCARAMANGA (CT),URB. TORRES DE MONTERREY,42.0,MASCULINO,01,05,13
630,SANTANDER,BUCARAMANGA (CT),EL PRADO,51.0,FEMENINO,01,05,20
631,SANTANDER,BUCARAMANGA (CT),CABECERA DEL LLANO,25.0,MASCULINO,01,05,7
810,SANTANDER,BUCARAMANGA (CT),SAN FRANCISCO,25.0,MASCULINO,01,06,16
811,SANTANDER,BUCARAMANGA (CT),PROVENZA,31.0,FEMENINO,01,06,19
812,SANTANDER,BUCARAMANGA (CT),LA JUVENTUD,33.0,MASCULINO,01,06,8
813,SANTANDER,BUCARAMANGA (CT),ANTONIA SANTOS,32.0,MASCULINO,01,06,20
996,SANTANDER,BUCARAMANGA (CT),CABECERA DEL LLANO,32.0,FEMENINO,01,07,15
997,SANTANDER,BUCARAMANGA (CT),CENTRO,18.0,MASCULINO,01,07,14
998,SANTANDER,BUCARAMANGA (CT),GARCIA ROVIRA,47.0,MASCULINO,01,07,7
999,SANTANDER,BUCARAMANGA (CT),PIO XII,17.0,FEMENINO,01,07,16
1000,SANTANDER,BUCARAMANGA (CT),ALVAREZ,52.0,FEMENINO,01,07,19
1204,SANTANDER,BUCARAMANGA (CT),CABECERA DEL LLANO,54.0,FEMENINO,01,08,12
1205,SANTANDER,BUCARAMANGA (CT),CENTRO,31.0,MASCULINO,01,08,12
1206,SANTANDER,BUCARAMANGA (CT),CENTRO,40.0,FEMENINO,01,08,9
1207,SANTANDER,BUCARAMANGA (CT),CENTRO,42.0,MASCULINO,01,08,17
1208,SANTANDER,BUCARAMANGA (CT),ALARCON,44.0,MASCULINO,01,08,9
1209,SANTANDER,BUCARAMANGA (CT),SAN RAFAEL,39.0,MASCULINO,01,08,9
1210,SANTANDER,BUCARAMANGA (CT),LA JUVENTUD,39.0,MASCULINO,01,08,8
1211,SANTANDER,BUCARAMANGA (CT),LA UNIVERSIDAD,36.0,FEMENINO,01,08,10
1361,SANTANDER,BUCARAMANGA (CT),SAN ALONSO,48.0,FEMENINO,01,09,15
1362,SANTANDER,BUCARAMANGA (CT),SOTOMAYOR,37.0,MASCULINO,01,09,17
1363,SANTANDER,BUCARAMANGA (CT),CENTRO,33.0,FEMENINO,01,09,14
1364,SANTANDER,BUCARAMANGA (CT),ALFONSO LOPEZ,63.0,MASCULINO,01,09,1
1365,SANTANDER,BUCARAMANGA (CT),GARCIA ROVIRA,34.0,MASCULINO,01,09,10
1366,SANTANDER,BUCARAMANGA (CT),SAN ALONSO,19.0,MASCULINO,01,09,14
1503,SANTANDER,BUCARAMANGA (CT),13 DE JUNIO,35.0,MASCULINO,01,10,9
1504,SANTANDER,BUCARAMANGA (CT),URB. PRADOS DEL MUTIS,26.0,FEMENINO,01,10,22
