,Departamento,Municipio,Barrio,Edad,Sexo,Mes,Dia,Hora
287,NORTE DE SANTANDER,CÚCUTA (CT),BARRIO CENTRO,37.0,MASCULINO,01,03,10
288,NORTE DE SANTANDER,CÚCUTA (CT),BARRIO GUAIMARAL,40.0,MASCULINO,01,03,2
459,NORTE DE SANTANDER,CÚCUTA (CT),BARRIO CENTRO,44.0,MASCULINO,01,04,7
800,NORTE DE SANTANDER,CÚCUTA (CT),BARRIO LATINO,44.0,MASCULINO,01,06,1
801,NORTE DE SANTANDER,CÚCUTA (CT),BARRIO SIMON BOLIVAR,26.0,MASCULINO,01,06,12
986,NORTE DE SANTANDER,CÚCUTA (CT),BARRIO PRADOS DEL NORTE,46.0,FEMENINO,01,07,21
1355,NORTE DE SANTANDER,CÚCUTA (CT),BARRIO CENTRO,19.0,FEMENINO,01,09,18
1796,NORTE DE SANTANDER,CÚCUTA (CT),BARRIO LA LIBERTAD,32.0,MASCULINO,01,12,19
2416,NORTE DE SANTANDER,CÚCUTA (CT),BARRIO CARORA,25.0,MASCULINO,01,15,9
2771,NORTE DE SANTANDER,CÚCUTA (CT),BARRIO CEIBA,35.0,MASCULINO,01,17,18
2772,NORTE DE SANTANDER,CÚCUTA (CT),BARRIO SAN MATEO,26.0,MASCULINO,01,17,19
2939,NORTE DE SANTANDER,CÚCUTA (CT),BARRIO CAOB,26.0,MASCULINO,01,18,8
3488,NORTE DE SANTANDER,CÚCUTA (CT),BARRIO CARORA,30.0,FEMENINO,01,21,10
3489,NORTE DE SANTANDER,CÚCUTA (CT),BARRIO LATINO,34.0,FEMENINO,01,21,9
3670,NORTE DE SANTANDER,CÚCUTA (CT),BARRIO BELISARIO,33.0,MASCULINO,01,22,23
3671,NORTE DE SANTANDER,CÚCUTA (CT),CASERIO EL PORTICO,28.0,MASCULINO,01,22,6
3843,NORTE DE SANTANDER,CÚCUTA (CT),BARRIO CENABASTOS,18.0,FEMENINO,01,23,10
