,Departamento,Municipio,Barrio,Edad,Sexo,Mes,Dia,Hora
2257,AMAZONAS,LETICIA (CT),CENTRO (Leticia),54.0,MASCULINO,01,15,11
3005,AMAZONAS,LETICIA (CT),PUNTA BRAVA,43.0,FEMENINO,01,19,11
4796,AMAZONAS,LETICIA (CT),VICTORIA REGIA,30.0,MASCULINO,01,29,14
5028,AMAZONAS,LETICIA (CT),CENTRO (Leticia),21.0,MASCULINO,01,30,21
6627,AMAZONAS,LETICIA (CT),VICTORIA REGIA,18.0,MASCULINO,02,07,7
8423,AMAZONAS,LETICIA (CT),SAN MARTIN,30.0,MASCULINO,02,17,15
9056,AMAZONAS,LETICIA (CT),PUERTO CIVIL,40.0,FEMENINO,02,20,5
10824,AMAZONAS,LETICIA (CT),SAN ANTONIO,23.0,MASCULINO,03,02,19
11722,AMAZONAS,LETICIA (CT),ONCE DE NOVIEMBRE,44.0,MASCULINO,03,07,15
12226,AMAZONAS,LETICIA (CT),AGUILA,45.0,MASCULINO,03,10,4
15509,AMAZONAS,LETICIA (CT),PUERTO CIVIL,35.0,MASCULINO,03,30,10
15510,AMAZONAS,LETICIA (CT),COLOMBIA,24.0,FEMENINO,03,30,20
16041,AMAZONAS,LETICIA (CT),VICTORIA REGIA,19.0,MASCULINO,04,03,13
25381,AMAZONAS,LETICIA (CT),CENTRO (Leticia),83.0,MASCULINO,05,26,17
25690,AMAZONAS,LETICIA (CT),CENTRO (Leticia),65.0,MASCULINO,05,28,15
28620,AMAZONAS,LETICIA (CT),IANE,48.0,MASCULINO,06,15,16
32904,AMAZONAS,LETICIA (CT),VICTORIA REGIA,20.0,MASCULINO,07,10,14
33194,AMAZONAS,LETICIA (CT),CENTRO (Leticia),46.0,FEMENINO,07,12,11
34404,AMAZONAS,LETICIA (CT),CENTRO (Leticia),36.0,MASCULINO,07,19,12
34405,AMAZONAS,LETICIA (CT),CENTRO (Leticia),46.0,FEMENINO,07,19,9
34857,AMAZONAS,LETICIA (CT),VICTORIA REGIA,51.0,MASCULINO,07,22,9
35712,AMAZONAS,LETICIA (CT),SAN MARTIN,50.0,FEMENINO,07,27,22
35902,AMAZONAS,LETICIA (CT),PORVENIR,60.0,FEMENINO,07,28,12
38277,AMAZONAS,LETICIA (CT),CENTRO (Leticia),35.0,FEMENINO,08,11,15
44575,AMAZONAS,LETICIA (CT),CENTRO (Leticia),49.0,MASCULINO,09,17,17
44576,AMAZONAS,LETICIA (CT),VICTORIA REGIA,46.0,FEMENINO,09,17,21
45623,AMAZONAS,LETICIA (CT),CENTRO (Leticia),23.0,FEMENINO,09,23,9
46989,AMAZONAS,LETICIA (CT),VICTORIA REGIA,44.0,MASCULINO,10,01,9
48751,AMAZONAS,LETICIA (CT),VICTORIA REGIA,21.0,MASCULINO,10,11,5
51036,AMAZONAS,LETICIA (CT),VICTORIA REGIA,30.0,MASCULINO,10,25,10
52273,AMAZONAS,LETICIA (CT),GAITAN,24.0,MASCULINO,11,02,16
55303,AMAZONAS,LETICIA (CT),PORVENIR,26.0,FEMENINO,11,21,17
55410,AMAZONAS,LETICIA (CT),IANE,49.0,MASCULINO,11,22,10
60933,AMAZONAS,LETICIA (CT),AFASINTE,26.0,MASCULINO,12,28,21
67717,AMAZONAS,LETICIA (CT),CENTRO (Leticia),40,FEMENINO,01,01,12
67718,AMAZONAS,LETICIA (CT),PORVENIR,30,MASCULINO,01,07,8
67719,AMAZONAS,LETICIA (CT),ESPERANZA,30,FEMENINO,01,16,9
67720,AMAZONAS,LETICIA (CT),JOSE MARIA HERNANDEZ,29,FEMENINO,01,26,7
67721,AMAZONAS,LETICIA (CT),LOS LAGOS,35,MASCULINO,02,14,12
67722,AMAZONAS,LETICIA (CT),CENTRO (Leticia),47,MASCULINO,02,16,14
67723,AMAZONAS,LETICIA (CT),CENTRO (Leticia),17,MASCULINO,02,17,9
67724,AMAZONAS,LETICIA (CT),CENTRO (Leticia),40,FEMENINO,02,17,9
67725,AMAZONAS,LETICIA (CT),CENTRO (Leticia),55,FEMENINO,03,04,7
67726,AMAZONAS,LETICIA (CT),LOS LAGOS,30,FEMENINO,03,15,12
67728,AMAZONAS,LETICIA (CT),KILOMETROS,31,FEMENINO,03,20,6
67729,AMAZONAS,LETICIA (CT),CENTRO (Leticia),15,FEMENINO,03,25,16
67730,AMAZONAS,LETICIA (CT),COLOMBIA,19,MASCULINO,04,10,2
67731,AMAZONAS,LETICIA (CT),CENTRO (Leticia),31,FEMENINO,04,13,17
67733,AMAZONAS,LETICIA (CT),PUERTO CIVIL,61,MASCULINO,04,29,12
67735,AMAZONAS,LETICIA (CT),KILOMETROS,20,MASCULINO,05,10,22
67736,AMAZONAS,LETICIA (CT),ISLA DE LA FANTASIA,30,MASCULINO,05,18,2
67737,AMAZONAS,LETICIA (CT),CENTRO (Leticia),46,FEMENINO,05,20,17
67738,AMAZONAS,LETICIA (CT),PUERTO CIVIL,54,FEMENINO,05,21,18
67739,AMAZONAS,LETICIA (CT),VICTORIA REGIA,20,MASCULINO,06,30,6
67740,AMAZONAS,LETICIA (CT),PORVENIR,30,MASCULINO,07,02,13
67741,AMAZONAS,LETICIA (CT),SAN SEBASTIAN,34,MASCULINO,07,05,18
67742,AMAZONAS,LETICIA (CT),VICTORIA REGIA,18,MASCULINO,08,01,8
67743,AMAZONAS,LETICIA (CT),PUERTO CIVIL,38,FEMENINO,08,26,16
67744,AMAZONAS,LETICIA (CT),CENTRO (Leticia),40,FEMENINO,09,01,10
67745,AMAZONAS,LETICIA (CT),SAN MARTIN,39,MASCULINO,09,06,10
67746,AMAZONAS,LETICIA (CT),PORVENIR,30,MASCULINO,09,06,9
67747,AMAZONAS,LETICIA (CT),PUNTA BRAVA,21,FEMENINO,09,06,9
67748,AMAZONAS,LETICIA (CT),CENTRO (Leticia),27,FEMENINO,09,24,10
67749,AMAZONAS,LETICIA (CT),KILOMETROS,33,MASCULINO,09,30,17
67750,AMAZONAS,LETICIA (CT),CENTRO (Leticia),56,FEMENINO,10,08,8
67751,AMAZONAS,LETICIA (CT),VICTORIA REGIA,36,MASCULINO,10,20,21
67752,AMAZONAS,LETICIA (CT),UNION,16,MASCULINO,10,26,10
67753,AMAZONAS,LETICIA (CT),KILOMETROS,25,FEMENINO,11,02,14
67754,AMAZONAS,LETICIA (CT),VICTORIA REGIA,13,MASCULINO,11,03,16
67755,AMAZONAS,LETICIA (CT),LOS LAGOS,18,MASCULINO,11,05,19
67756,AMAZONAS,LETICIA (CT),AFASINTE,42,MASCULINO,11,29,8
67757,AMAZONAS,LETICIA (CT),GAITAN,34,FEMENINO,12,30,9
67758,AMAZONAS,LETICIA (CT),CENTRO (Leticia),30,FEMENINO,12,31,16
82445,AMAZONAS,LETICIA (CT),PORVENIR,29,MASCULINO,01,02,1
82446,AMAZONAS,LETICIA (CT),IANE,22,MASCULINO,01,02,11
82447,AMAZONAS,LETICIA (CT),KILOMETROS,33,MASCULINO,01,12,9
82448,AMAZONAS,LETICIA (CT),VICTORIA REGIA,21,MASCULINO,01,12,7
82450,AMAZONAS,LETICIA (CT),CENTRO (Leticia),60,FEMENINO,01,20,9
82451,AMAZONAS,LETICIA (CT),PORVENIR,67,FEMENINO,01,30,10
82452,AMAZONAS,LETICIA (CT),CENTRO (Leticia),55,FEMENINO,02,01,17
82453,AMAZONAS,LETICIA (CT),COLOMBIA,69,MASCULINO,02,03,1
82454,AMAZONAS,LETICIA (CT),VICTORIA REGIA,21,FEMENINO,02,03,6
82455,AMAZONAS,LETICIA (CT),AGUILA,63,MASCULINO,02,07,9
82456,AMAZONAS,LETICIA (CT),COLOMBIA,23,FEMENINO,02,13,3
82457,AMAZONAS,LETICIA (CT),CENTRO (Leticia),26,FEMENINO,02,14,19
82458,AMAZONAS,LETICIA (CT),CENTRO (Leticia),40,MASCULINO,02,19,20
82459,AMAZONAS,LETICIA (CT),VICTORIA REGIA,58,MASCULINO,02,19,20
82460,AMAZONAS,LETICIA (CT),AGUILA,66,MASCULINO,03,01,0
82461,AMAZONAS,LETICIA (CT),MARCELIANO CANYES,47,MASCULINO,03,08,16
82462,AMAZONAS,LETICIA (CT),CENTRO (Leticia),34,MASCULINO,03,10,15
82463,AMAZONAS,LETICIA (CT),COSTA RICA,13,FEMENINO,03,14,9
82464,AMAZONAS,LETICIA (CT),PUERTO CIVIL,30,MASCULINO,03,28,4
82466,AMAZONAS,LETICIA (CT),GAITAN,22,FEMENINO,04,29,18
82467,AMAZONAS,LETICIA (CT),CENTRO (Leticia),40,MASCULINO,05,01,10
82468,AMAZONAS,LETICIA (CT),CENTRO (Leticia),57,FEMENINO,05,10,18
82469,AMAZONAS,LETICIA (CT),CENTRO (Leticia),44,FEMENINO,05,18,11
82470,AMAZONAS,LETICIA (CT),CENTRO (Leticia),21,FEMENINO,05,28,19
82471,AMAZONAS,LETICIA (CT),URIBE URIBE,27,MASCULINO,06,04,19
82472,AMAZONAS,LETICIA (CT),PORVENIR,38,MASCULINO,07,31,4
82473,AMAZONAS,LETICIA (CT),PUNTA BRAVA,25,FEMENINO,08,15,17
82474,AMAZONAS,LETICIA (CT),JOSE MARIA HERNANDEZ,31,FEMENINO,08,18,10
82475,AMAZONAS,LETICIA (CT),KILOMETROS,41,FEMENINO,09,09,9
82476,AMAZONAS,LETICIA (CT),CENTRO (Leticia),37,MASCULINO,09,19,17
82477,AMAZONAS,LETICIA (CT),CENTRO (Leticia),70,MASCULINO,10,07,0
82478,AMAZONAS,LETICIA (CT),CENTRO (Leticia),16,FEMENINO,10,17,18
82479,AMAZONAS,LETICIA (CT),ESPERANZA,31,FEMENINO,11,22,9
82480,AMAZONAS,LETICIA (CT),CENTRO (Leticia),43,FEMENINO,12,06,12
82481,AMAZONAS,LETICIA (CT),PORVENIR,28,MASCULINO,12,31,1
93208,AMAZONAS,LETICIA (CT),PUERTO CIVIL,59,MASCULINO,01,28,10
93209,AMAZONAS,LETICIA (CT),CENTRO (Leticia),47,MASCULINO,03,20,15
93210,AMAZONAS,LETICIA (CT),PUERTO DE KAPAX,48,MASCULINO,03,23,16
93211,AMAZONAS,LETICIA (CT),PUERTO TICUNA (Tarapaca),62,MASCULINO,04,01,13
93212,AMAZONAS,LETICIA (CT),CENTRO (Leticia),42,MASCULINO,04,02,9
93213,AMAZONAS,LETICIA (CT),PUERTO CIVIL,44,MASCULINO,04,22,4
93214,AMAZONAS,LETICIA (CT),PORVENIR,46,FEMENINO,05,02,14
93215,AMAZONAS,LETICIA (CT),COLOMBIA,52,MASCULINO,05,07,7
93216,AMAZONAS,LETICIA (CT),CENTRO (Leticia),29,MASCULINO,05,12,6
93217,AMAZONAS,LETICIA (CT),PORVENIR,18,FEMENINO,05,28,11
93218,AMAZONAS,LETICIA (CT),ESPERANZA,35,MASCULINO,06,12,10
93219,AMAZONAS,LETICIA (CT),VICTORIA REGIA,33,MASCULINO,06,14,10
93220,AMAZONAS,LETICIA (CT),CENTRO (Leticia),36,FEMENINO,06,19,16
93221,AMAZONAS,LETICIA (CT),CENTRO (Leticia),70,MASCULINO,06,22,4
93222,AMAZONAS,LETICIA (CT),IANE,25,FEMENINO,07,19,18
93223,AMAZONAS,LETICIA (CT),CENTRO (Leticia),30,MASCULINO,07,19,6
93224,AMAZONAS,LETICIA (CT),CENTRO (Leticia),25,FEMENINO,07,24,7
93225,AMAZONAS,LETICIA (CT),CENTRO (Leticia),37,FEMENINO,08,01,11
