,Departamento,Municipio,Barrio,Edad,Sexo,Mes,Dia,Hora
20,CALDAS,MANIZALES (CT),UNIVERSIDAD DE CALDAS,54.0,FEMENINO,01,01,0
21,CALDAS,MANIZALES (CT),VILLA CAFE,66.0,FEMENINO,01,01,14
22,CALDAS,MANIZALES (CT),LA TOSCANA,35.0,FEMENINO,01,01,19
23,CALDAS,MANIZALES (CT),TERRAZAS DE CAMPOHERMOSO,67.0,FEMENINO,01,01,12
131,CALDAS,MANIZALES (CT),LA LINDA,31.0,MASCULINO,01,02,10
132,CALDAS,MANIZALES (CT),BARRIO LOS CEDROS,43.0,FEMENINO,01,02,19
133,CALDAS,MANIZALES (CT),LA ESTRELLA,24.0,MASCULINO,01,02,17
134,CALDAS,MANIZALES (CT),BUENA ESPERANZA,54.0,FEMENINO,01,02,6
135,CALDAS,MANIZALES (CT),SAN JOAQUIN,54.0,FEMENINO,01,02,4
225,CALDAS,MANIZALES (CT),EL CARMEN,18.0,MASCULINO,01,03,20
226,CALDAS,MANIZALES (CT),BARRIO SAN JOSE,27.0,FEMENINO,01,03,15
366,CALDAS,MANIZALES (CT),LA LEONORA,43.0,FEMENINO,01,04,14
367,CALDAS,MANIZALES (CT),COMUNEROS,24.0,FEMENINO,01,04,13
550,CALDAS,MANIZALES (CT),SECTOR TRIANGULO,35.0,MASCULINO,01,05,19
551,CALDAS,MANIZALES (CT),CENTRO,31.0,FEMENINO,01,05,17
552,CALDAS,MANIZALES (CT),BARRIO SAN JORGE,23.0,FEMENINO,01,05,8
553,CALDAS,MANIZALES (CT),SECTOR EL CABLE,41.0,FEMENINO,01,05,16
554,CALDAS,MANIZALES (CT),CENTRO,37.0,FEMENINO,01,05,11
555,CALDAS,MANIZALES (CT),CENTRO,72.0,FEMENINO,01,05,12
705,CALDAS,MANIZALES (CT),CENTRO,46.0,MASCULINO,01,06,10
706,CALDAS,MANIZALES (CT),SECTOR EL CABLE,19.0,MASCULINO,01,06,20
707,CALDAS,MANIZALES (CT),ALTA SUIZA,45.0,MASCULINO,01,06,18
708,CALDAS,MANIZALES (CT),CENTRO,29.0,FEMENINO,01,06,12
709,CALDAS,MANIZALES (CT),LA PELUSA,20.0,FEMENINO,01,06,15
710,CALDAS,MANIZALES (CT),CENTRO,65.0,MASCULINO,01,06,23
888,CALDAS,MANIZALES (CT),BARRIO BALCONES DE CHIPRE,42.0,MASCULINO,01,07,0
889,CALDAS,MANIZALES (CT),SECTOR EL CABLE,24.0,MASCULINO,01,07,0
890,CALDAS,MANIZALES (CT),CENTRO,35.0,MASCULINO,01,07,16
1084,CALDAS,MANIZALES (CT),PALOGRANDE,38.0,MASCULINO,01,08,12
1086,CALDAS,MANIZALES (CT),BARRIO GALAN,30.0,FEMENINO,01,08,13
1087,CALDAS,MANIZALES (CT),ARBOLEDA,36.0,FEMENINO,01,08,18
1088,CALDAS,MANIZALES (CT),ARENILLO,33.0,MASCULINO,01,08,3
1089,CALDAS,MANIZALES (CT),CENTRO,28.0,FEMENINO,01,08,6
1090,CALDAS,MANIZALES (CT),CENTRO,25.0,MASCULINO,01,08,20
