,Departamento,Municipio,Barrio,Edad,Sexo,Mes,Dia,Hora
9055,VAUPÉS,MITÚ (CT),INAYA,38.0,FEMENINO,02,19,9
10318,VAUPÉS,MITÚ (CT),BARRIO HUMBERTO SOLANO,46.0,MASCULINO,02,26,17
67809,VAUPÉS,MITÚ (CT),CENTRO,32,FEMENINO,06,05,11
82532,VAUPÉS,MITÚ (CT),CENTRO,18,MASCULINO,02,24,3
82533,VAUPÉS,MITÚ (CT),CENTRO B,24,FEMENINO,03,02,0
82534,VAUPÉS,MITÚ (CT),CENTRO,18,MASCULINO,04,08,0
82535,VAUPÉS,MITÚ (CT),SIETE DE AGOSTO,20,MASCULINO,05,07,10
82536,VAUPÉS,MITÚ (CT),SIETE DE AGOSTO,20,MASCULINO,05,10,11
82537,VAUPÉS,MITÚ (CT),BARRIO LA UNION,47,FEMENINO,06,26,21
82538,VAUPÉS,MITÚ (CT),CENTRO,50,FEMENINO,07,05,15
82539,VAUPÉS,MITÚ (CT),SIETE DE AGOSTO,18,MASCULINO,07,09,13
82540,VAUPÉS,MITÚ (CT),BELARMINO CORREA,24,MASCULINO,08,04,4
82541,VAUPÉS,MITÚ (CT),CENTRO,43,MASCULINO,08,31,20
82542,VAUPÉS,MITÚ (CT),BELARMINO CORREA,26,MASCULINO,09,28,3
82543,VAUPÉS,MITÚ (CT),CENTRO,22,MASCULINO,10,11,18
82544,VAUPÉS,MITÚ (CT),CENTRO,49,MASCULINO,10,12,21
82545,VAUPÉS,MITÚ (CT),CENTRO,18,MASCULINO,10,21,11
82546,VAUPÉS,MITÚ (CT),CENTRO,34,FEMENINO,11,03,17
82548,VAUPÉS,MITÚ (CT),BARRIO HUMBERTO SOLANO,27,FEMENINO,11,20,8
82549,VAUPÉS,MITÚ (CT),CENTRO,32,MASCULINO,11,22,1
82550,VAUPÉS,MITÚ (CT),CENTRO,26,FEMENINO,11,26,21
82551,VAUPÉS,MITÚ (CT),CENTRO,16,FEMENINO,11,29,22
93327,VAUPÉS,MITÚ (CT),CENTRO,38,MASCULINO,02,28,15
93328,VAUPÉS,MITÚ (CT),CENTRO,31,FEMENINO,03,08,21
93329,VAUPÉS,MITÚ (CT),CUERVO ARAOZ,62,MASCULINO,03,21,22
93330,VAUPÉS,MITÚ (CT),BARRIO LA UNION,44,MASCULINO,03,28,6
93331,VAUPÉS,MITÚ (CT),CENTRO,34,MASCULINO,04,25,10
93332,VAUPÉS,MITÚ (CT),SIETE DE AGOSTO,22,MASCULINO,04,28,22
93333,VAUPÉS,MITÚ (CT),SIETE DE AGOSTO,18,MASCULINO,04,29,10
