,Departamento,Municipio,Barrio,Edad,Sexo,Mes,Dia,Hora
618,PUTUMAYO,MOCOA (CT),BOLIVAR,48.0,MASCULINO,01,05,11
803,PUTUMAYO,MOCOA (CT),CENTRO,23.0,MASCULINO,01,06,16
804,PUTUMAYO,MOCOA (CT),LOS SAUCES,29.0,MASCULINO,01,06,17
805,PUTUMAYO,MOCOA (CT),CENTRO,14.0,FEMENINO,01,06,17
987,PUTUMAYO,MOCOA (CT),CENTRO,25.0,FEMENINO,01,07,10
1797,PUTUMAYO,MOCOA (CT),LA UNIÒN,18.0,FEMENINO,01,12,18
2194,PUTUMAYO,MOCOA (CT),CENTRO,40.0,MASCULINO,01,14,9
2417,PUTUMAYO,MOCOA (CT),JOSE HOMERO,30.0,FEMENINO,01,15,7
3125,PUTUMAYO,MOCOA (CT),LOS GUADUALES,45.0,FEMENINO,01,19,10
3490,PUTUMAYO,MOCOA (CT),AV. COLOMBIA,78.0,MASCULINO,01,21,10
3990,PUTUMAYO,MOCOA (CT),CENTRO,28.0,FEMENINO,01,24,19
5478,PUTUMAYO,MOCOA (CT),BOLIVAR,25.0,MASCULINO,02,01,10
7679,PUTUMAYO,MOCOA (CT),VDA. LA TEBAIDA,28.0,MASCULINO,02,12,19
7680,PUTUMAYO,MOCOA (CT),VDA. LA TEBAIDA,41.0,MASCULINO,02,12,19
7868,PUTUMAYO,MOCOA (CT),CENTRO,18.0,MASCULINO,02,13,12
9484,PUTUMAYO,MOCOA (CT),CENTRO,37.0,FEMENINO,02,22,8
9848,PUTUMAYO,MOCOA (CT),INDEPENDENCIA,31.0,MASCULINO,02,24,9
10447,PUTUMAYO,MOCOA (CT),AV. SAN FRANCISCO,18.0,FEMENINO,02,27,9
11966,PUTUMAYO,MOCOA (CT),VDA. LA PAZ,21.0,MASCULINO,03,08,21
12561,PUTUMAYO,MOCOA (CT),CENTRO,24.0,MASCULINO,03,11,10
12895,PUTUMAYO,MOCOA (CT),CENTRO,27.0,FEMENINO,03,13,10
13363,PUTUMAYO,MOCOA (CT),CENTRO,18.0,MASCULINO,03,16,11
13364,PUTUMAYO,MOCOA (CT),CENTRO,35.0,MASCULINO,03,16,11
13523,PUTUMAYO,MOCOA (CT),LA ESMERALDA,38.0,MASCULINO,03,17,9
14791,PUTUMAYO,MOCOA (CT),CENTRO,44.0,MASCULINO,03,25,12
15442,PUTUMAYO,MOCOA (CT),BOLIVAR,18.0,NO REPORTA,03,29,18
