,Departamento,Municipio,Barrio,Edad,Sexo,Mes,Dia,Hora
65,NARIÑO,PASTO (CT),SUMATAMBO,41.0,MASCULINO,01,01,4
286,NARIÑO,PASTO (CT),CONDOMINIO MORASURCO,41.0,MASCULINO,01,03,13
457,NARIÑO,PASTO (CT),VILLA LUCIA,20.0,FEMENINO,01,04,17
458,NARIÑO,PASTO (CT),RIO BLANCO,18.0,FEMENINO,01,04,1
798,NARIÑO,PASTO (CT),CORAZON DE JESUS,23.0,MASCULINO,01,06,23
799,NARIÑO,PASTO (CT),CORAZON DE JESUS,33.0,MASCULINO,01,06,23
983,NARIÑO,PASTO (CT),MARIDIAZ,33.0,MASCULINO,01,07,16
984,NARIÑO,PASTO (CT),CATAMBUCO CENTRO,37.0,MASCULINO,01,07,11
985,NARIÑO,PASTO (CT),ALTAMIRA,32.0,FEMENINO,01,07,18
1354,NARIÑO,PASTO (CT),LA AURORA,26.0,MASCULINO,01,09,1
1634,NARIÑO,PASTO (CT),LORENZO,41.0,FEMENINO,01,11,19
1635,NARIÑO,PASTO (CT),EL PILAR,34.0,MASCULINO,01,11,5
1793,NARIÑO,PASTO (CT),CHAPAL,25.0,MASCULINO,01,12,19
1794,NARIÑO,PASTO (CT),VILLA SOFIA,73.0,MASCULINO,01,12,16
1795,NARIÑO,PASTO (CT),BOMBONA,18.0,FEMENINO,01,12,21
2002,NARIÑO,PASTO (CT),GRANADA I,23.0,FEMENINO,01,13,15
2003,NARIÑO,PASTO (CT),PARQUE BOLIVAR,46.0,FEMENINO,01,13,14
2004,NARIÑO,PASTO (CT),AVENIDA COLOMBIA NORMANDIA,18.0,MASCULINO,01,13,6
2005,NARIÑO,PASTO (CT),SIMON BOLIVAR,42.0,FEMENINO,01,13,19
2193,NARIÑO,PASTO (CT),PALERMO,41.0,FEMENINO,01,14,16
2412,NARIÑO,PASTO (CT),LORENZO,41.0,FEMENINO,01,15,10
2413,NARIÑO,PASTO (CT),LAS LUNAS,18.0,FEMENINO,01,15,19
2414,NARIÑO,PASTO (CT),CENTRO,18.0,FEMENINO,01,15,14
2613,NARIÑO,PASTO (CT),MIRAFLORES I,35.0,FEMENINO,01,16,16
2614,NARIÑO,PASTO (CT),LAS MARGARITAS,58.0,FEMENINO,01,16,18
2768,NARIÑO,PASTO (CT),MIJITAYO ALTO,22.0,MASCULINO,01,17,15
2769,NARIÑO,PASTO (CT),PARQUE INFANTIL,20.0,FEMENINO,01,17,8
2937,NARIÑO,PASTO (CT),CENTRO,18.0,FEMENINO,01,18,11
2938,NARIÑO,PASTO (CT),CENTRO,18.0,MASCULINO,01,18,11
3123,NARIÑO,PASTO (CT),PARQUE BOLIVAR,32.0,MASCULINO,01,19,16
3989,NARIÑO,PASTO (CT),CENTRO,44.0,MASCULINO,01,24,23
4495,NARIÑO,PASTO (CT),LOMA DEL CARMEN (MARQUETALIA),50.0,FEMENINO,01,27,16
4951,NARIÑO,PASTO (CT),SAN ALBANO,18.0,FEMENINO,01,29,10
4952,NARIÑO,PASTO (CT),AV. LAS AMERICAS,30.0,MASCULINO,01,29,18
5145,NARIÑO,PASTO (CT),CATAMBUCO CENTRO,42.0,MASCULINO,01,30,6
5146,NARIÑO,PASTO (CT),PALERMO,25.0,MASCULINO,01,30,4
5147,NARIÑO,PASTO (CT),LOS DOS PUENTES,55.0,MASCULINO,01,30,19
5292,NARIÑO,PASTO (CT),GUALCALOMA,33.0,MASCULINO,01,31,11
5475,NARIÑO,PASTO (CT),PALERMO,18.0,MASCULINO,02,01,12
5679,NARIÑO,PASTO (CT),LAS CUADRAS,36.0,FEMENINO,02,02,18
5680,NARIÑO,PASTO (CT),POTRERILLO,52.0,MASCULINO,02,02,12
5681,NARIÑO,PASTO (CT),LA FLORESTA,28.0,FEMENINO,02,02,20
5898,NARIÑO,PASTO (CT),PALERMO,18.0,MASCULINO,02,03,0
5899,NARIÑO,PASTO (CT),LAS VIOLETAS I,38.0,MASCULINO,02,03,11
5900,NARIÑO,PASTO (CT),LAS VIOLETAS I,38.0,MASCULINO,02,03,11
5901,NARIÑO,PASTO (CT),RECUERDO,58.0,MASCULINO,02,03,20
6118,NARIÑO,PASTO (CT),AVENIDA CHILE,35.0,FEMENINO,02,04,11
6119,NARIÑO,PASTO (CT),SAN JUAN DE DIOS,44.0,MASCULINO,02,04,11
6120,NARIÑO,PASTO (CT),SAN JUAN DE DIOS,44.0,MASCULINO,02,04,11
6121,NARIÑO,PASTO (CT),MERCEDARIO,20.0,FEMENINO,02,04,9
6122,NARIÑO,PASTO (CT),MARIDIAZ,30.0,FEMENINO,02,04,7
6123,NARIÑO,PASTO (CT),MARIDIAZ,30.0,FEMENINO,02,04,7
6124,NARIÑO,PASTO (CT),EL ROSARIO,35.0,FEMENINO,02,04,18
6346,NARIÑO,PASTO (CT),CAICEDO ALTO,18.0,FEMENINO,02,05,14
6347,NARIÑO,PASTO (CT),CENTRO,18.0,FEMENINO,02,05,13
6348,NARIÑO,PASTO (CT),PARQUE BOLIVAR,18.0,MASCULINO,02,05,11
6349,NARIÑO,PASTO (CT),VILLA NUEVA,36.0,MASCULINO,02,05,18
6561,NARIÑO,PASTO (CT),CENTRO,43.0,FEMENINO,02,06,19
6699,NARIÑO,PASTO (CT),VDA CHARGUAYACO GENOY,18.0,FEMENINO,02,07,15
6880,NARIÑO,PASTO (CT),SAN ANDRES,30.0,FEMENINO,02,08,10
6881,NARIÑO,PASTO (CT),NIZA II,43.0,MASCULINO,02,08,20
6882,NARIÑO,PASTO (CT),LA MINGA,43.0,FEMENINO,02,08,13
7068,NARIÑO,PASTO (CT),AQUINE ALTO I,54.0,MASCULINO,02,09,11
7069,NARIÑO,PASTO (CT),SAN FELIPE,16.0,MASCULINO,02,09,14
7070,NARIÑO,PASTO (CT),SAN IGNACIO,41.0,MASCULINO,02,09,16
7464,NARIÑO,PASTO (CT),EL PORTAL DE ARANDA,12.0,MASCULINO,02,11,16
7465,NARIÑO,PASTO (CT),PARQUE BOLIVAR,40.0,FEMENINO,02,11,18
7675,NARIÑO,PASTO (CT),CENTRO,50.0,MASCULINO,02,12,9
7676,NARIÑO,PASTO (CT),LAS ACASIAS,13.0,FEMENINO,02,12,19
7677,NARIÑO,PASTO (CT),LAS ACASIAS,15.0,MASCULINO,02,12,19
8358,NARIÑO,PASTO (CT),ARANDA,33.0,FEMENINO,02,16,12
8566,NARIÑO,PASTO (CT),CHAMBU II,25.0,FEMENINO,02,17,17
8567,NARIÑO,PASTO (CT),LA ROSA,15.0,MASCULINO,02,17,11
8790,NARIÑO,PASTO (CT),TERMINAL,25.0,MASCULINO,02,18,7
8986,NARIÑO,PASTO (CT),BELEN,37.0,MASCULINO,02,19,20
8987,NARIÑO,PASTO (CT),FRAI EZEQUIEL MORENO DIAZ,44.0,FEMENINO,02,19,18
9315,NARIÑO,PASTO (CT),LAS CUADRAS,24.0,MASCULINO,02,21,6
9316,NARIÑO,PASTO (CT),SAN IGNACIO,18.0,FEMENINO,02,21,14
9317,NARIÑO,PASTO (CT),OBRERO,23.0,FEMENINO,02,21,8
9482,NARIÑO,PASTO (CT),TERMINAL,33.0,MASCULINO,02,22,18
9483,NARIÑO,PASTO (CT),CENTRO,42.0,MASCULINO,02,22,1
9843,NARIÑO,PASTO (CT),CENTRO,58.0,FEMENINO,02,24,16
9844,NARIÑO,PASTO (CT),SAN MARTIN,62.0,MASCULINO,02,24,13
9845,NARIÑO,PASTO (CT),SAN FELIPE,33.0,FEMENINO,02,24,6
10046,NARIÑO,PASTO (CT),VILLA NUEVA,41.0,MASCULINO,02,25,14
10248,NARIÑO,PASTO (CT),PALERMO,36.0,MASCULINO,02,26,18
10757,NARIÑO,PASTO (CT),LA CASTELLANA,21.0,MASCULINO,03,01,6
10758,NARIÑO,PASTO (CT),CORAZON DE JESUS,38.0,MASCULINO,03,01,21
11070,NARIÑO,PASTO (CT),AQUINE III,35.0,FEMENINO,03,03,10
11071,NARIÑO,PASTO (CT),TEJAR,41.0,FEMENINO,03,03,19
11072,NARIÑO,PASTO (CT),LOMA DEL CARMEN (MARQUETALIA),27.0,MASCULINO,03,03,14
11252,NARIÑO,PASTO (CT),LAS VIOLETAS II,19.0,FEMENINO,03,04,14
11253,NARIÑO,PASTO (CT),TERMINAL,39.0,FEMENINO,03,04,1
11457,NARIÑO,PASTO (CT),FATIMA,41.0,MASCULINO,03,05,17
11652,NARIÑO,PASTO (CT),RECUERDO,28.0,MASCULINO,03,06,13
11653,NARIÑO,PASTO (CT),PALERMO,23.0,MASCULINO,03,06,20
12560,NARIÑO,PASTO (CT),CEMENTERIO,40.0,MASCULINO,03,11,15
12756,NARIÑO,PASTO (CT),MARIDIAZ,26.0,MASCULINO,03,12,22
13167,NARIÑO,PASTO (CT),RIO BLANCO,52.0,MASCULINO,03,15,12
13715,NARIÑO,PASTO (CT),EL TRIUNFO,20.0,FEMENINO,03,18,14
13716,NARIÑO,PASTO (CT),ARANDA,32.0,MASCULINO,03,18,20
14437,NARIÑO,PASTO (CT),BOMBONA,61.0,FEMENINO,03,23,11
14953,NARIÑO,PASTO (CT),LA MINGA,47.0,MASCULINO,03,26,12
14954,NARIÑO,PASTO (CT),EL DORADO,25.0,MASCULINO,03,26,21
15161,NARIÑO,PASTO (CT),PARQUE BOLIVAR,28.0,FEMENINO,03,27,10
15162,NARIÑO,PASTO (CT),SANTA ANA,52.0,FEMENINO,03,27,20
15163,NARIÑO,PASTO (CT),SAN JUAN DE LOS PASTOS,21.0,FEMENINO,03,27,23
15164,NARIÑO,PASTO (CT),LAS MERCEDES,32.0,FEMENINO,03,27,13
15165,NARIÑO,PASTO (CT),CENTRO,19.0,FEMENINO,03,27,23
15441,NARIÑO,PASTO (CT),LA CAROLINA,22.0,MASCULINO,03,29,13
15773,NARIÑO,PASTO (CT),CENTRO,22.0,FEMENINO,03,31,17
16781,NARIÑO,PASTO (CT),VEREDA DAZA MORAZURCO,34.0,MASCULINO,04,07,20
17149,NARIÑO,PASTO (CT),PALERMO,17.0,MASCULINO,04,09,20
17828,NARIÑO,PASTO (CT),LA FLORESTA,26.0,MASCULINO,04,13,18
17829,NARIÑO,PASTO (CT),CATAMBUCO CENTRO,48.0,MASCULINO,04,13,5
18392,NARIÑO,PASTO (CT),POPULAR,31.0,FEMENINO,04,16,21
19237,NARIÑO,PASTO (CT),SAN JUAN DE LOS PASTOS,51.0,MASCULINO,04,21,19
19442,NARIÑO,PASTO (CT),PANDIACO,17.0,FEMENINO,04,22,12
19443,NARIÑO,PASTO (CT),LOMA DEL CARMEN (MARQUETALIA),29.0,MASCULINO,04,22,18
19444,NARIÑO,PASTO (CT),CENTRO,40.0,MASCULINO,04,22,18
19445,NARIÑO,PASTO (CT),CENTRO,40.0,MASCULINO,04,22,18
19446,NARIÑO,PASTO (CT),LAS CUADRAS,44.0,FEMENINO,04,22,8
19811,NARIÑO,PASTO (CT),LA ESPERANZA,43.0,MASCULINO,04,24,13
19812,NARIÑO,PASTO (CT),SAN ALBANO,64.0,MASCULINO,04,24,3
19957,NARIÑO,PASTO (CT),DOCE DE OCTUBRE,41.0,MASCULINO,04,25,10
20118,NARIÑO,PASTO (CT),CENTRO,45.0,FEMENINO,04,26,16
20289,NARIÑO,PASTO (CT),LA ROSA,32.0,MASCULINO,04,27,15
20290,NARIÑO,PASTO (CT),LAS PALMAS,18.0,MASCULINO,04,27,19
20688,NARIÑO,PASTO (CT),NUEVO SOL,62.0,MASCULINO,04,29,10
20879,NARIÑO,PASTO (CT),BOTANILLA,50.0,MASCULINO,04,30,15
21049,NARIÑO,PASTO (CT),PANDIACO,55.0,MASCULINO,05,01,7
21050,NARIÑO,PASTO (CT),EL EJIDO,19.0,MASCULINO,05,01,0
21365,NARIÑO,PASTO (CT),TAMASAGRA I,39.0,MASCULINO,05,03,8
21366,NARIÑO,PASTO (CT),TAMASAGRA II,38.0,MASCULINO,05,03,8
21760,NARIÑO,PASTO (CT),VILLAFLOR II,24.0,FEMENINO,05,05,19
21761,NARIÑO,PASTO (CT),MARIDIAZ,50.0,FEMENINO,05,05,7
