,Departamento,Municipio,Barrio,Edad,Sexo,Mes,Dia,Hora
66,RISARALDA,PEREIRA (CT),VEREDA ARABIA,30.0,MASCULINO,01,01,13
67,RISARALDA,PEREIRA (CT),P.INDUSTRIAL A,32.0,MASCULINO,01,01,2
173,RISARALDA,PEREIRA (CT),CENTRO (A) PEREIRA,30.0,FEMENINO,01,02,14
174,RISARALDA,PEREIRA (CT),JARDIN I,45.0,FEMENINO,01,02,15
175,RISARALDA,PEREIRA (CT),P.INDUSTRIAL A,32.0,MASCULINO,01,02,19
292,RISARALDA,PEREIRA (CT),COROCITO,75.0,MASCULINO,01,03,16
293,RISARALDA,PEREIRA (CT),SECTOR PARQUE EL LAGO,45.0,MASCULINO,01,03,3
294,RISARALDA,PEREIRA (CT),CENTRO (A) PEREIRA,18.0,MASCULINO,01,03,19
465,RISARALDA,PEREIRA (CT),SECTOR PLAZA DE BOLIVAR,17.0,MASCULINO,01,04,13
624,RISARALDA,PEREIRA (CT),CENTRO (A) PEREIRA,25.0,FEMENINO,01,05,14
625,RISARALDA,PEREIRA (CT),CENTRO (A) PEREIRA,18.0,MASCULINO,01,05,13
807,RISARALDA,PEREIRA (CT),CENTRO (A) PEREIRA,24.0,FEMENINO,01,06,18
992,RISARALDA,PEREIRA (CT),BARRIO NUEVO,39.0,MASCULINO,01,07,16
993,RISARALDA,PEREIRA (CT),CENTRO (A) PEREIRA,68.0,FEMENINO,01,07,8
994,RISARALDA,PEREIRA (CT),CENTRO (A) PEREIRA,60.0,MASCULINO,01,07,14
1194,RISARALDA,PEREIRA (CT),SANTA TERESITA,18.0,FEMENINO,01,08,16
1195,RISARALDA,PEREIRA (CT),SECTOR PARQUE LA LIBERTAD,29.0,MASCULINO,01,08,19
1196,RISARALDA,PEREIRA (CT),ALCAZARES CUBA V-3,71.0,MASCULINO,01,08,8
1197,RISARALDA,PEREIRA (CT),SAN JORGE,20.0,FEMENINO,01,08,12
1198,RISARALDA,PEREIRA (CT),SANTAFE,64.0,FEMENINO,01,08,21
1357,RISARALDA,PEREIRA (CT),CENTRO (A) PEREIRA,65.0,MASCULINO,01,09,12
1358,RISARALDA,PEREIRA (CT),CENTRO (A) PEREIRA,60.0,FEMENINO,01,09,18
1499,RISARALDA,PEREIRA (CT),CENTRO (A) PEREIRA,45.0,MASCULINO,01,10,11
1803,RISARALDA,PEREIRA (CT),SECTOR AVENIDA CIRCUNVALAR,35.0,MASCULINO,01,12,10
1804,RISARALDA,PEREIRA (CT),CENTRO CUBA V-1,72.0,MASCULINO,01,12,14
1805,RISARALDA,PEREIRA (CT),SECTOR PLAZA DE BOLIVAR,60.0,MASCULINO,01,12,15
1806,RISARALDA,PEREIRA (CT),BAVARIA,27.0,FEMENINO,01,12,8
2011,RISARALDA,PEREIRA (CT),CENTRO (A) PEREIRA,27.0,FEMENINO,01,13,13
2012,RISARALDA,PEREIRA (CT),CENTRO (A) PEREIRA,18.0,MASCULINO,01,13,15
2013,RISARALDA,PEREIRA (CT),CENTENARIO,25.0,FEMENINO,01,13,18
2014,RISARALDA,PEREIRA (CT),CENTRO (A) PEREIRA,24.0,FEMENINO,01,13,14
2196,RISARALDA,PEREIRA (CT),SECTOR PARQUE LA LIBERTAD,56.0,MASCULINO,01,14,12
2197,RISARALDA,PEREIRA (CT),COROCITO,18.0,MASCULINO,01,14,23
2198,RISARALDA,PEREIRA (CT),SECTOR AVENIDA CIRCUNVALAR,25.0,FEMENINO,01,14,13
2421,RISARALDA,PEREIRA (CT),CENTRO (A) PEREIRA,30.0,FEMENINO,01,15,15
2422,RISARALDA,PEREIRA (CT),SECTOR PARQUE LA LIBERTAD,56.0,MASCULINO,01,15,9
2423,RISARALDA,PEREIRA (CT),CENTRO (A) PEREIRA,34.0,MASCULINO,01,15,8
2424,RISARALDA,PEREIRA (CT),CENTRO (A) PEREIRA,20.0,MASCULINO,01,15,16
2425,RISARALDA,PEREIRA (CT),CENTRO CUBA V-1,48.0,MASCULINO,01,15,16
2618,RISARALDA,PEREIRA (CT),VDA. LA GRAMINEA,20.0,MASCULINO,01,16,14
2619,RISARALDA,PEREIRA (CT),CENTRO (A) PEREIRA,37.0,MASCULINO,01,16,3
2620,RISARALDA,PEREIRA (CT),CENTRO (A) PEREIRA,46.0,FEMENINO,01,16,18
2775,RISARALDA,PEREIRA (CT),CENTRO (A) PEREIRA,40.0,MASCULINO,01,17,15
2776,RISARALDA,PEREIRA (CT),SECTOR AV 30 AGO ENTRE CL 37 Y 41,36.0,MASCULINO,01,17,14
2777,RISARALDA,PEREIRA (CT),JARDIN I,22.0,MASCULINO,01,17,11
2778,RISARALDA,PEREIRA (CT),SAN JORGE,26.0,FEMENINO,01,17,17
2779,RISARALDA,PEREIRA (CT),CENTRO (A) PEREIRA,61.0,MASCULINO,01,17,15
2944,RISARALDA,PEREIRA (CT),CENTRO (A) PEREIRA,30.0,MASCULINO,01,18,16
2945,RISARALDA,PEREIRA (CT),CENTRO (A) PEREIRA,59.0,MASCULINO,01,18,10
2946,RISARALDA,PEREIRA (CT),CENTRO (A) PEREIRA,27.0,FEMENINO,01,18,21
2947,RISARALDA,PEREIRA (CT),SECTOR PARQUE LA LIBERTAD,60.0,MASCULINO,01,18,18
2948,RISARALDA,PEREIRA (CT),SANTA TERESITA,23.0,MASCULINO,01,18,13
2949,RISARALDA,PEREIRA (CT),SAN JORGE,39.0,FEMENINO,01,18,17
2950,RISARALDA,PEREIRA (CT),PRIMERO DE FEBRERO 2,59.0,MASCULINO,01,18,20
3128,RISARALDA,PEREIRA (CT),CORALES,22.0,MASCULINO,01,19,14
3129,RISARALDA,PEREIRA (CT),LOS PINOS,21.0,MASCULINO,01,19,22
3304,RISARALDA,PEREIRA (CT),CENTRO (A) PEREIRA,46.0,FEMENINO,01,20,14
3305,RISARALDA,PEREIRA (CT),CENTRO CUBA V-1,25.0,FEMENINO,01,20,9
3306,RISARALDA,PEREIRA (CT),CENTRO (A) PEREIRA,22.0,MASCULINO,01,20,18
3307,RISARALDA,PEREIRA (CT),COROCITO,52.0,FEMENINO,01,20,17
3493,RISARALDA,PEREIRA (CT),CENTRO (A) PEREIRA,50.0,FEMENINO,01,21,13
3494,RISARALDA,PEREIRA (CT),SAN JORGE,60.0,MASCULINO,01,21,15
3673,RISARALDA,PEREIRA (CT),CENTRO (A) PEREIRA,60.0,MASCULINO,01,22,20
3674,RISARALDA,PEREIRA (CT),SECTOR VIADUCTO,19.0,MASCULINO,01,22,12
4145,RISARALDA,PEREIRA (CT),CENTENARIO,30.0,MASCULINO,01,25,10
4146,RISARALDA,PEREIRA (CT),SECTOR AVENIDA CIRCUNVALAR,20.0,FEMENINO,01,25,12
4147,RISARALDA,PEREIRA (CT),SECTOR PARQUE LA LIBERTAD,29.0,MASCULINO,01,25,14
4148,RISARALDA,PEREIRA (CT),CENTRO (A) PEREIRA,17.0,FEMENINO,01,25,15
4329,RISARALDA,PEREIRA (CT),CIRCUNVALAR,23.0,FEMENINO,01,26,9
4330,RISARALDA,PEREIRA (CT),CENTRO (A) PEREIRA,42.0,FEMENINO,01,26,19
4501,RISARALDA,PEREIRA (CT),P.INDUSTRIAL A,42.0,MASCULINO,01,27,12
4502,RISARALDA,PEREIRA (CT),BAVARIA,28.0,MASCULINO,01,27,22
4503,RISARALDA,PEREIRA (CT),CENTRO (A) PEREIRA,32.0,FEMENINO,01,27,18
4504,RISARALDA,PEREIRA (CT),BOSTON,28.0,MASCULINO,01,27,9
4739,RISARALDA,PEREIRA (CT),CENTRO (A) PEREIRA,28.0,FEMENINO,01,28,16
