,Departamento,Municipio,Barrio,Edad,Sexo,Mes,Dia,Hora
27,CAUCA,POPAYÁN (CT),LA ESMERALDA,26.0,MASCULINO,01,01,10
231,CAUCA,POPAYÁN (CT),EL UVO,16.0,FEMENINO,01,03,7
372,CAUCA,POPAYÁN (CT),PUEBLILLO,35.0,MASCULINO,01,04,17
373,CAUCA,POPAYÁN (CT),BELLO HORIZONTE,30.0,MASCULINO,01,04,5
374,CAUCA,POPAYÁN (CT),BOLIVAR,51.0,FEMENINO,01,04,10
561,CAUCA,POPAYÁN (CT),CENTRO,47.0,FEMENINO,01,05,10
562,CAUCA,POPAYÁN (CT),BOLIVAR,28.0,MASCULINO,01,05,18
563,CAUCA,POPAYÁN (CT),VEREDA JULUMITO,40.0,MASCULINO,01,05,19
716,CAUCA,POPAYÁN (CT),LA XIMENA,25.0,FEMENINO,01,06,8
717,CAUCA,POPAYÁN (CT),LA ESPERANZA,30.0,MASCULINO,01,06,22
900,CAUCA,POPAYÁN (CT),PANDIGUANDO,36.0,MASCULINO,01,07,17
1099,CAUCA,POPAYÁN (CT),LAS AMERICAS,25.0,MASCULINO,01,08,13
1100,CAUCA,POPAYÁN (CT),EL MIRADOR,30.0,MASCULINO,01,08,17
1101,CAUCA,POPAYÁN (CT),CENTRO,40.0,MASCULINO,01,08,18
1284,CAUCA,POPAYÁN (CT),ANTONIO NARIÑO,47.0,FEMENINO,01,09,9
1580,CAUCA,POPAYÁN (CT),LAS AMERICAS,30.0,MASCULINO,01,11,4
1717,CAUCA,POPAYÁN (CT),PANDIGUANDO,30.0,MASCULINO,01,12,14
1917,CAUCA,POPAYÁN (CT),BELEN,38.0,MASCULINO,01,13,12
1918,CAUCA,POPAYÁN (CT),SOLIDARIDAD,50.0,FEMENINO,01,13,17
1919,CAUCA,POPAYÁN (CT),CENTRO,28.0,MASCULINO,01,13,11
1920,CAUCA,POPAYÁN (CT),CADILLAL,30.0,MASCULINO,01,13,19
2111,CAUCA,POPAYÁN (CT),LA ALDEA,35.0,MASCULINO,01,14,17
2715,CAUCA,POPAYÁN (CT),YANACONAS,30.0,MASCULINO,01,17,10
2716,CAUCA,POPAYÁN (CT),CAMPAMENTO,57.0,FEMENINO,01,17,13
2863,CAUCA,POPAYÁN (CT),CENTRO,65.0,FEMENINO,01,18,10
3045,CAUCA,POPAYÁN (CT),LA ESMERALDA,48.0,MASCULINO,01,19,6
3220,CAUCA,POPAYÁN (CT),POMONA,19.0,FEMENINO,01,20,12
3221,CAUCA,POPAYÁN (CT),CADILLAL,22.0,MASCULINO,01,20,17
3222,CAUCA,POPAYÁN (CT),LOS SAUCES,45.0,MASCULINO,01,20,10
