,Departamento,Municipio,Barrio,Edad,Sexo,Mes,Dia,Hora
1167,GUAJIRA,RIOHACHA (CT),LAS TUNAS,39.0,MASCULINO,01,08,4
1336,GUAJIRA,RIOHACHA (CT),LAS TUNAS,59.0,MASCULINO,01,09,3
1617,GUAJIRA,RIOHACHA (CT),RANCHERIA,21.0,FEMENINO,01,11,14
2594,GUAJIRA,RIOHACHA (CT),CAMILO TORRES,34.0,MASCULINO,01,16,18
3291,GUAJIRA,RIOHACHA (CT),SAN JUDAS,40.0,FEMENINO,01,20,18
3473,GUAJIRA,RIOHACHA (CT),CENTRO,22.0,MASCULINO,01,21,2
4118,GUAJIRA,RIOHACHA (CT),CENTRO,24.0,FEMENINO,01,25,13
4483,GUAJIRA,RIOHACHA (CT),ARRIBA,30.0,FEMENINO,01,27,8
4708,GUAJIRA,RIOHACHA (CT),CHE GUEVARA,48.0,FEMENINO,01,28,19
4709,GUAJIRA,RIOHACHA (CT),PADILLA,22.0,MASCULINO,01,28,0
4924,GUAJIRA,RIOHACHA (CT),ABAJO,24.0,MASCULINO,01,29,3
5886,GUAJIRA,RIOHACHA (CT),7 DE AGOSTO,32.0,FEMENINO,02,03,19
6100,GUAJIRA,RIOHACHA (CT),ARRIBA,22.0,MASCULINO,02,04,8
6325,GUAJIRA,RIOHACHA (CT),LIBERTADOR,48.0,MASCULINO,02,05,20
6326,GUAJIRA,RIOHACHA (CT),ABAJO,23.0,FEMENINO,02,05,19
6692,GUAJIRA,RIOHACHA (CT),CENTRO,31.0,FEMENINO,02,07,7
7047,GUAJIRA,RIOHACHA (CT),EL ACUEDUCTO,29.0,MASCULINO,02,09,13
8764,GUAJIRA,RIOHACHA (CT),CENTRO,15.0,MASCULINO,02,18,11
10031,GUAJIRA,RIOHACHA (CT),PADILLA,28.0,FEMENINO,02,25,18
10232,GUAJIRA,RIOHACHA (CT),LIBERTADOR,63.0,MASCULINO,02,26,18
10233,GUAJIRA,RIOHACHA (CT),CENTRO,23.0,MASCULINO,02,26,23
10424,GUAJIRA,RIOHACHA (CT),EL PROGRESO,33.0,MASCULINO,02,27,0
10904,GUAJIRA,RIOHACHA (CT),CENTRO,48.0,MASCULINO,03,02,9
11057,GUAJIRA,RIOHACHA (CT),LUIS ANTONIO ROBLES,47.0,MASCULINO,03,03,5
11234,GUAJIRA,RIOHACHA (CT),JOSE ANTONIO GALAN,19.0,FEMENINO,03,04,11
11442,GUAJIRA,RIOHACHA (CT),LA LOMA,32.0,MASCULINO,03,05,19
11635,GUAJIRA,RIOHACHA (CT),LUIS EDUARDO CUELLAR,35.0,FEMENINO,03,06,21
12143,GUAJIRA,RIOHACHA (CT),CENTRO,46.0,FEMENINO,03,09,16
12745,GUAJIRA,RIOHACHA (CT),LIBERTADOR,55.0,MASCULINO,03,12,11
12882,GUAJIRA,RIOHACHA (CT),LOS OLIVOS,25.0,FEMENINO,03,13,3
13508,GUAJIRA,RIOHACHA (CT),7 DE AGOSTO,43.0,MASCULINO,03,17,8
13866,GUAJIRA,RIOHACHA (CT),EURARE,30.0,MASCULINO,03,19,20
13867,GUAJIRA,RIOHACHA (CT),ARRIBA,14.0,MASCULINO,03,19,10
14284,GUAJIRA,RIOHACHA (CT),ARRIBA,25.0,MASCULINO,03,22,12
14419,GUAJIRA,RIOHACHA (CT),NUEVO FARO,23.0,MASCULINO,03,23,12
14605,GUAJIRA,RIOHACHA (CT),EL PROGRESO,28.0,FEMENINO,03,24,18
14771,GUAJIRA,RIOHACHA (CT),CENTRO,56.0,MASCULINO,03,25,8
14937,GUAJIRA,RIOHACHA (CT),LOS CEREZOS,49.0,MASCULINO,03,26,10
15433,GUAJIRA,RIOHACHA (CT),CHE GUEVARA,37.0,MASCULINO,03,29,19
15600,GUAJIRA,RIOHACHA (CT),ENTRERIOS,24.0,MASCULINO,03,30,13
16116,GUAJIRA,RIOHACHA (CT),CENTRO,49.0,MASCULINO,04,03,3
16231,GUAJIRA,RIOHACHA (CT),JOSE ARNOLDO MARIN,23.0,FEMENINO,04,04,20
16765,GUAJIRA,RIOHACHA (CT),CENTRO,21.0,FEMENINO,04,07,11
18156,GUAJIRA,RIOHACHA (CT),ARRIBA,46.0,FEMENINO,04,15,11
19423,GUAJIRA,RIOHACHA (CT),BUENOS AIRES,39.0,FEMENINO,04,22,10
19424,GUAJIRA,RIOHACHA (CT),LA COSECHA,38.0,MASCULINO,04,22,13
20868,GUAJIRA,RIOHACHA (CT),LIBERTADOR,26.0,FEMENINO,04,30,17
20869,GUAJIRA,RIOHACHA (CT),CIUDADELA EL DIVI DIVI,55.0,MASCULINO,04,30,17
21542,GUAJIRA,RIOHACHA (CT),ENTRERIOS,18.0,MASCULINO,05,04,21
22329,GUAJIRA,RIOHACHA (CT),COQUIVACOA,28.0,MASCULINO,05,08,2
22659,GUAJIRA,RIOHACHA (CT),LIBERTADOR,19.0,FEMENINO,05,10,10
22818,GUAJIRA,RIOHACHA (CT),LOS OLIVOS,27.0,MASCULINO,05,11,16
22819,GUAJIRA,RIOHACHA (CT),7 DE AGOSTO,34.0,MASCULINO,05,11,9
23394,GUAJIRA,RIOHACHA (CT),CAMILO TORRES,41.0,MASCULINO,05,14,10
23590,GUAJIRA,RIOHACHA (CT),SAN MARTIN DE LOBA,36.0,MASCULINO,05,15,13
23591,GUAJIRA,RIOHACHA (CT),CENTRO,28.0,MASCULINO,05,15,1
24206,GUAJIRA,RIOHACHA (CT),LA LUCHA,37.0,FEMENINO,05,19,11
24207,GUAJIRA,RIOHACHA (CT),ABAJO,68.0,MASCULINO,05,19,19
24393,GUAJIRA,RIOHACHA (CT),COQUIVACOA,29.0,FEMENINO,05,20,21
24606,GUAJIRA,RIOHACHA (CT),CENTRO,25.0,MASCULINO,05,21,8
24812,GUAJIRA,RIOHACHA (CT),URB. LA MANO DE DIOS,47.0,FEMENINO,05,22,19
24813,GUAJIRA,RIOHACHA (CT),VILLA MAREYGUA,19.0,MASCULINO,05,22,23
24938,GUAJIRA,RIOHACHA (CT),CHE GUEVARA,21.0,FEMENINO,05,23,19
25769,GUAJIRA,RIOHACHA (CT),COQUIVACOA,30.0,MASCULINO,05,28,1
26137,GUAJIRA,RIOHACHA (CT),NUESTRA SEÑORA DE LOS REMEDIOS,38.0,MASCULINO,05,31,5
26525,GUAJIRA,RIOHACHA (CT),COOPERATIVO,30.0,FEMENINO,06,02,8
26699,GUAJIRA,RIOHACHA (CT),PARAISO,20.0,MASCULINO,06,03,21
26922,GUAJIRA,RIOHACHA (CT),JOSE ANTONIO GALAN,30.0,FEMENINO,06,04,4
27850,GUAJIRA,RIOHACHA (CT),CENTRO,45.0,MASCULINO,06,10,8
28056,GUAJIRA,RIOHACHA (CT),ROJAS PINILLA,36.0,FEMENINO,06,11,12
28057,GUAJIRA,RIOHACHA (CT),CENTRO,60.0,MASCULINO,06,11,19
28735,GUAJIRA,RIOHACHA (CT),ARRIBA,38.0,MASCULINO,06,15,19
29335,GUAJIRA,RIOHACHA (CT),CENTRO,26.0,FEMENINO,06,18,18
29501,GUAJIRA,RIOHACHA (CT),LOS NOGALES,22.0,MASCULINO,06,19,19
30081,GUAJIRA,RIOHACHA (CT),ARRIBA,37.0,MASCULINO,06,23,15
30082,GUAJIRA,RIOHACHA (CT),ARRIBA,47.0,FEMENINO,06,23,15
30432,GUAJIRA,RIOHACHA (CT),LIBERTADOR,36.0,MASCULINO,06,25,13
31254,GUAJIRA,RIOHACHA (CT),ARRIBA,24.0,MASCULINO,06,30,9
32441,GUAJIRA,RIOHACHA (CT),ENTRERIOS,42.0,MASCULINO,07,07,16
32823,GUAJIRA,RIOHACHA (CT),NUESTRA SEÑORA DE LOS REMEDIOS,34.0,FEMENINO,07,09,21
32824,GUAJIRA,RIOHACHA (CT),CAMILO TORRES,45.0,MASCULINO,07,09,1
32994,GUAJIRA,RIOHACHA (CT),COQUIVACOA,28.0,FEMENINO,07,10,20
34004,GUAJIRA,RIOHACHA (CT),CENTRO,29.0,MASCULINO,07,16,8
34177,GUAJIRA,RIOHACHA (CT),SIMON BOLIVAR,28.0,FEMENINO,07,17,19
35142,GUAJIRA,RIOHACHA (CT),CHE GUEVARA,20.0,MASCULINO,07,23,11
36378,GUAJIRA,RIOHACHA (CT),ARRIBA,21.0,FEMENINO,07,30,20
36379,GUAJIRA,RIOHACHA (CT),COOPERATIVO,28.0,MASCULINO,07,30,20
37092,GUAJIRA,RIOHACHA (CT),EL ACUEDUCTO,45.0,FEMENINO,08,03,14
37093,GUAJIRA,RIOHACHA (CT),CENTRO,16.0,MASCULINO,08,03,14
37273,GUAJIRA,RIOHACHA (CT),NUESTRA SEÑORA DE LOS REMEDIOS,45.0,MASCULINO,08,04,9
38709,GUAJIRA,RIOHACHA (CT),ARRIBA,32.0,MASCULINO,08,13,1
39820,GUAJIRA,RIOHACHA (CT),CHE GUEVARA,28.0,FEMENINO,08,20,20
40006,GUAJIRA,RIOHACHA (CT),ROJAS PINILLA,14.0,FEMENINO,08,21,12
40493,GUAJIRA,RIOHACHA (CT),ABAJO,60.0,MASCULINO,08,24,16
41683,GUAJIRA,RIOHACHA (CT),SAN FRANCISCO,27.0,MASCULINO,08,31,13
42878,GUAJIRA,RIOHACHA (CT),CENTRO,28.0,MASCULINO,09,07,19
44491,GUAJIRA,RIOHACHA (CT),7 DE AGOSTO,27.0,MASCULINO,09,16,10
44693,GUAJIRA,RIOHACHA (CT),URB. MANANTIAL,47.0,FEMENINO,09,17,20
44910,GUAJIRA,RIOHACHA (CT),EURARE,28.0,MASCULINO,09,18,16
45048,GUAJIRA,RIOHACHA (CT),CENTRO,55.0,MASCULINO,09,19,6
45364,GUAJIRA,RIOHACHA (CT),CENTRO,54.0,FEMENINO,09,21,10
45365,GUAJIRA,RIOHACHA (CT),LUIS EDUARDO CUELLAR,26.0,MASCULINO,09,21,16
45366,GUAJIRA,RIOHACHA (CT),CENTRO,57.0,FEMENINO,09,21,16
45729,GUAJIRA,RIOHACHA (CT),CENTRO,25.0,FEMENINO,09,23,14
45730,GUAJIRA,RIOHACHA (CT),URB. SAN JUDAS TADEO,25.0,FEMENINO,09,23,6
46239,GUAJIRA,RIOHACHA (CT),CENTRO,30.0,MASCULINO,09,26,21
46240,GUAJIRA,RIOHACHA (CT),URB. VILLA DEL MAR,38.0,MASCULINO,09,26,10
46702,GUAJIRA,RIOHACHA (CT),LIBERTADOR,41.0,MASCULINO,09,29,18
46703,GUAJIRA,RIOHACHA (CT),LIBERTADOR,39.0,MASCULINO,09,29,3
46704,GUAJIRA,RIOHACHA (CT),EL LIBERTADOR,33.0,MASCULINO,09,29,18
47582,GUAJIRA,RIOHACHA (CT),CENTRO,20.0,MASCULINO,10,04,20
48142,GUAJIRA,RIOHACHA (CT),ARRIBA,21.0,FEMENINO,10,07,20
49025,GUAJIRA,RIOHACHA (CT),LAS TUNAS,61.0,MASCULINO,10,12,16
49376,GUAJIRA,RIOHACHA (CT),NUESTRA SEÑORA DE LOS REMEDIOS,22.0,FEMENINO,10,14,16
49588,GUAJIRA,RIOHACHA (CT),ARRIBA,24.0,FEMENINO,10,15,11
50505,GUAJIRA,RIOHACHA (CT),PADILLA,44.0,FEMENINO,10,21,18
50506,GUAJIRA,RIOHACHA (CT),COOPERATIVO,38.0,FEMENINO,10,21,3
50669,GUAJIRA,RIOHACHA (CT),CENTRO,45.0,MASCULINO,10,22,15
51445,GUAJIRA,RIOHACHA (CT),CENTRO,51.0,FEMENINO,10,27,8
51790,GUAJIRA,RIOHACHA (CT),PARAISO,35.0,FEMENINO,10,29,18
52361,GUAJIRA,RIOHACHA (CT),PADILLA,38.0,MASCULINO,11,02,18
52888,GUAJIRA,RIOHACHA (CT),NUEVO HORIZONTE,25.0,MASCULINO,11,05,19
52889,GUAJIRA,RIOHACHA (CT),AEREOPUERTO,48.0,FEMENINO,11,05,20
53204,GUAJIRA,RIOHACHA (CT),ARRIBA,52.0,MASCULINO,11,07,20
53522,GUAJIRA,RIOHACHA (CT),LOS MEDANOS,29.0,MASCULINO,11,09,20
