,Departamento,Municipio,Barrio,Edad,Sexo,Mes,Dia,Hora
558,CASANARE,YOPAL (CT),20 DE JULIO,34.0,FEMENINO,01,05,12
560,CASANARE,YOPAL (CT),PUERTA AMARILLA,50.0,MASCULINO,01,05,16
898,CASANARE,YOPAL (CT),VIA OXIGENO,35.0,FEMENINO,01,07,16
899,CASANARE,YOPAL (CT),LLANO LINDO,40.0,MASCULINO,01,07,21
1097,CASANARE,YOPAL (CT),LUIS HERNANDEZ VARGAS,45.0,MASCULINO,01,08,17
1098,CASANARE,YOPAL (CT),VIA MORICHAL,21.0,FEMENINO,01,08,22
1283,CASANARE,YOPAL (CT),LOS ALMENDROS,53.0,FEMENINO,01,09,15
1579,CASANARE,YOPAL (CT),20 DE JULIO,38.0,MASCULINO,01,11,23
2110,CASANARE,YOPAL (CT),EL PARAISO,39.0,MASCULINO,01,14,0
2309,CASANARE,YOPAL (CT),ESPERANZA,30.0,FEMENINO,01,15,11
2532,CASANARE,YOPAL (CT),EL PARAISO,29.0,FEMENINO,01,16,0
3043,CASANARE,YOPAL (CT),BELLO HORIZONTE,21.0,MASCULINO,01,19,9
3940,CASANARE,YOPAL (CT),LAS PALMERAS,33.0,MASCULINO,01,24,5
3941,CASANARE,YOPAL (CT),EL PROGRESO,30.0,MASCULINO,01,24,3
4628,CASANARE,YOPAL (CT),EL GAVAN,33.0,FEMENINO,01,28,14
4629,CASANARE,YOPAL (CT),ESPERANZA,46.0,MASCULINO,01,28,8
5601,CASANARE,YOPAL (CT),LA FLORESTA,23.0,FEMENINO,02,02,17
6031,CASANARE,YOPAL (CT),EL CENTRO,21.0,FEMENINO,02,04,17
6032,CASANARE,YOPAL (CT),LOS HELECHOS,49.0,MASCULINO,02,04,12
6237,CASANARE,YOPAL (CT),BELLO HORIZONTE,27.0,FEMENINO,02,05,18
6471,CASANARE,YOPAL (CT),EL CENTRO,40.0,MASCULINO,02,06,9
9263,CASANARE,YOPAL (CT),EL TRIUNFO,37.0,MASCULINO,02,21,9
9392,CASANARE,YOPAL (CT),LOS ALMENDROS,19.0,MASCULINO,02,22,0
9393,CASANARE,YOPAL (CT),ESPERANZA,24.0,MASCULINO,02,22,3
9575,CASANARE,YOPAL (CT),COMCAJA,27.0,MASCULINO,02,23,18
10157,CASANARE,YOPAL (CT),EL CENTRO,24.0,MASCULINO,02,26,11
10365,CASANARE,YOPAL (CT),CASIQUIARE,15.0,MASCULINO,02,27,21
10674,CASANARE,YOPAL (CT),EL CENTRO,42.0,FEMENINO,03,01,19
10854,CASANARE,YOPAL (CT),EL CENTRO,38.0,MASCULINO,03,02,14
11181,CASANARE,YOPAL (CT),MARIA PAZ,13.0,MASCULINO,03,04,17
11881,CASANARE,YOPAL (CT),LAURELES,12.0,FEMENINO,03,08,18
12078,CASANARE,YOPAL (CT),CASIMENA,36.0,FEMENINO,03,09,19
12673,CASANARE,YOPAL (CT),BELLO HORIZONTE,19.0,FEMENINO,03,12,18
13089,CASANARE,YOPAL (CT),BELLO HORIZONTE,26.0,MASCULINO,03,15,8
13278,CASANARE,YOPAL (CT),NUEVO HABITAD,42.0,FEMENINO,03,16,16
14126,CASANARE,YOPAL (CT),LOS ANDES,38.0,MASCULINO,03,21,0
14127,CASANARE,YOPAL (CT),AEROCIVIL,28.0,FEMENINO,03,21,18
14363,CASANARE,YOPAL (CT),20 DE JULIO,22.0,MASCULINO,03,23,18
14549,CASANARE,YOPAL (CT),LA LIBERTAD,32.0,MASCULINO,03,24,9
14713,CASANARE,YOPAL (CT),ESPERANZA,36.0,MASCULINO,03,25,2
15085,CASANARE,YOPAL (CT),LA CAMPIÑA,28.0,MASCULINO,03,27,8
15267,CASANARE,YOPAL (CT),CASIMENA,25.0,MASCULINO,03,28,11
16069,CASANARE,YOPAL (CT),EL REMANSO,40.0,MASCULINO,04,03,10
16070,CASANARE,YOPAL (CT),EL MORRO,35.0,MASCULINO,04,03,16
16328,CASANARE,YOPAL (CT),BELLO HORIZONTE,33.0,FEMENINO,04,05,21
17243,CASANARE,YOPAL (CT),EL CENTRO,25.0,MASCULINO,04,10,0
