Barrio,Edad,Sexo,Mes,Dia,Hora
13 DE JUNIO,-0.05134596471314338,-2.3761655802514507,-0.21400192134716417,-0.002915020818979608,-0.11811109912241712
14 DE OCTUBRE,-0.0572578771978411,-2.0122840919965785,-0.27385217567920983,-0.01607154768400589,-0.10293843465405157
19 DE ENERO,-0.07119029943629132,-1.941141970255306,-0.12153056008080708,-0.036188721899520576,-0.04392333861410986
25 DE MAYO,-0.01253594363623291,-2.589816145632973,-0.18374305807110092,-0.021693899736618845,-0.10861192475910499
8 DE MARZO,-0.1116910894980052,-1.2898118995653733,-0.10370871336236759,-0.0428185256654504,-0.06460370714311744
ACACIAS,-0.03101421080229695,-1.1965858527578712,-0.08532353305373143,-0.019948244250594025,-0.08010284610810528
AEROPUERTO EL EDEN,-0.030750540248200335,-1.6808818818558577,-0.1971071186489852,-0.05484718856709387,-0.10465457695461632
AGUA AZUL,0.04223226474034442,-11.409549607965744,0.04220583924575271,0.0048804644004440114,0.11247676315674804
AITAMARA,-0.12453803068775927,-2.1817756306419676,-0.19888899231985663,0.026937062244384524,-0.10877217736842285
ALCAZAR DEL CAFE,-0.017156300048253293,-1.6873349900027317,-0.1302645651804358,-0.07160799956078347,-0.10542123559778625
ALEJANDRIA,-0.07407433301893789,-1.130221585017759,-0.1584045251425429,-0.06924761045918398,-0.09383605605710453
ALFONSO LOPEZ,-0.033788100394649134,-2.3160823763380587,-0.06484925097884824,-0.012592795615822447,-0.1605784970503582
ALTAMIRA,-0.027169055990926,-2.6665788443880984,-0.07796177498585606,-0.045110970128716316,-0.1387522569502734
ALTO DE LA CALLEJA,-0.502877529091341,0.6788128406529894,-0.0039080906515488525,-0.20440240289284053,0.12725499907604115
ALTO DE LAS PALMAS,-0.08474191172723759,-2.2927566352730713,-0.013678480339947624,-0.07825720842777108,-0.09791066781304639
ALTOS DE AGUA BONITA,0.0005789751942059749,-3.607857528985845,-0.14329994720964392,-0.04547682884567846,-0.29187101156477946
ALTOS DE LA CALLEJA,-0.1280945429967854,-10.214147559055013,-0.23168644067670202,-0.09622765325783748,0.43788793584376834
ALTOS DEL NIAGARA,-0.17012604315335367,-0.2057121723769395,-0.2132030242908066,-0.021540010706480515,-0.12358108945341546
ANTONIO NARIÑO,-0.08508337263300955,-0.5106660281502425,-0.21804938459057663,-0.06894056268132522,-0.11936039012834282
APARTAMENTOS 360 GRADOS,-0.08956638649633393,-2.1805655906533272,-0.13982643451399734,-0.03025721002415693,-0.19304372337535283
ARCO IRIS,-0.05234732459849698,-1.7998201190696035,-0.2158777763836804,-0.06025372761730965,-0.036096705854877884
ARENALES,-0.03214608335167961,-1.1829039597168916,-0.11984914141470014,-0.0626651258428004,-0.10618226301641288
