Barrio,Edad,Sexo,Mes,Dia,Hora
1 DE MAYO,-0.07299839742302162,-1.7601898912266793,-0.27099718915736815,-0.02688195204832289,-0.11437590968265098
20 DE JULIO,-0.07096492001201166,-0.8632835864178056,-0.08954673696269513,-0.04254719720870176,-0.05292282359275766
7 DE ABRIL,-0.049029506008227704,-0.7096584249386679,-0.07580402643785197,-0.02977614308683812,-0.06252986788773317
7 DE AGOSTO,-0.075252934452284,-1.0737106952867088,-0.16986327495251452,-0.03128746318364908,-0.08638433778974956
ABAJO,-0.04124725637296994,-0.8474841650892919,-0.09035815133801264,-0.035342433220116196,-0.03239869957002206
ADELITA DE CHAR,-0.07444852504056822,-1.6140329924659818,-0.11889319112128435,-0.029616670545274518,-0.08158589725050255
ADELITA DE CHAR 1 ETAPA,0.02301197537303431,-34.0763068918713,0.36701782678936407,-0.0856866517827743,1.1164722786765033
ALFONSO LOPEZ,-0.046653160455135984,-1.255307996902533,-0.11306198687305229,-0.04213928471910267,-0.0618034905062691
ALTAMIRA,-0.08037151797962755,-1.3767712528792575,-0.10818736003416503,-0.037312289855150615,-0.08357160077174092
ALTOS DE LOS ROBLES VIP,-0.17178500555412335,-1.717865453592037,-0.08721632998477766,-0.10114641933180474,-0.05190559839353952
ALTOS DE RIOMAR,-0.036941959167062464,-1.4530258168133294,-0.07403804585669087,-0.0384434235894987,-0.02449407905751773
ALTOS DEL LIMON,-0.048310696517006646,-1.9244086666165552,-0.09495282924605127,-0.047209815469992825,-0.007622089195511545
ALTOS DEL PRADO,-0.01320746827193395,-1.2096770613348686,-0.0928325051969383,-0.03025536332447767,-0.03397829892988447
AMERICA,-0.09231360935111173,-1.3591500796023364,-0.15208540086364933,-0.02821111778324223,-0.07166044409701226
ANDALUCIA,-0.0477470666292529,-1.684672511803353,-0.1405132569621654,-0.06389653569827505,-0.044681183833409306
ATLANTICO,-0.07680993709950065,-1.1650390788181246,-0.09251156747688996,-0.048747504234947045,-0.05064735348275373
BARLOVENTO,-0.06050232208464957,-0.9965237886103304,-0.12431625953123558,-0.04062168554055111,-0.09525535514380379
BARRANQUILLITA,-0.03998941724308787,-0.9348011625462503,-0.1181446083560923,-0.038487024819297305,-0.0664930781434283
BARRIO ARRIBA,0.0009055308248786919,-23.1534420246448,-0.2638500016117295,0.48705046348799225,0.15296920442854037
BARRIO COLON C-10,0.12312978599413821,-113.2219675552938,6.779337964682706,0.6545588156631498,0.0664077219170347
BELLA ARENA,-0.0780985389232877,-0.9139537366829912,-0.141921531487057,-0.033629729913908994,-0.06840097544715724
BELLA MURILLO,-0.10322413786285918,-1.185512959600625,-0.1475269920828042,-0.0685839401340931,-0.10004499290006012
BELLAVISTA,-0.04478617447601064,-1.4658473436427166,-0.09636589580745689,-0.04210978792009508,-0.038168439707119174
BENDICION DE DIOS,-0.12225700079209766,-1.5752112529650408,-0.12090437420430583,-0.026945031645726012,-0.1276400977292965
BETANIA,-0.0438458403204736,-1.452399475743802,-0.07454831186759635,-0.037890103696302975,-0.011363441723686188
BOLICHE,-0.04918780255519354,-0.9572136139665426,-0.15605870079012285,-0.029666936938714063,-0.07439326614928247
BOSTON,-0.03372237500261835,-0.7950593950532,-0.10109662949876885,-0.022916590915413378,-0.01745073952792301
BOSTON C-10,-0.050360749235809105,-14.842211454734484,0.23019047327184958,0.2436602743488504,-0.0668585661178221
BOULEVARD DE SIMON,-0.06368419062327686,-1.5409009184962428,-0.11519769902098441,-0.05858441204716334,-0.080646857195009
BOULEVARD DE SIMON BOLIVAR,-0.10905802959829458,-2.2206114347619423,-0.0911975986202422,-0.05898065469925539,-0.16073982527380667
BOYACA,-0.04413912693046164,-1.4327814021875758,-0.12986323630416943,-0.04704543617188859,-0.07493683662809929
BRISAS DEL PUERTO,-0.13622357140822172,-1.908195645949544,-0.40378972300012567,-0.04996270179956285,-0.13451190550554515
BUENA ESPERANZA,-0.05154134703779368,-1.2021680459499025,-0.08992757634344921,-0.03659872177843461,-0.06239330433859077
BUENAVISTA,-0.0551574783220905,-1.5411756963442043,-0.06984113303466156,-0.030288073138790728,-0.03152301052956335
BUENOS AIRES,-0.06065632454867762,-1.0538911261305182,-0.0905489326069362,-0.03229044765470066,-0.059201702708686715
CALAMARY,-0.050633800172491236,-2.2542531049146852,-0.15153527583645138,-0.04432227216411126,-0.07871223730238304
CALIFORNIA,-0.08263908686305568,-0.9984492769485008,-0.15423136011651348,-0.05566894864729813,-0.06182937373170891
CAMPO ALEGRE,-0.04014094228314071,-1.4843678722777573,-0.07013875472721451,-0.028370761201993257,-0.04736517839208552
CANDELARIA II,-0.09287410609803355,-5.361231520440511,0.11796826119553158,-0.09589621026710834,-0.15688796932972734
CANGREJERA,-0.14600359498175,-3.752808026532483,-0.19623807704859583,0.010140811311440838,-0.008730902147710853
CARLOS MEISEL,-0.064619633282449,-1.0493736017927224,-0.09767977245463443,-0.032872612703059294,-0.07700454490606111
CARRIZAL,-0.05064802260576073,-0.6006306742758888,-0.09963852408130415,-0.030879049017979766,-0.05991157535399166
