Barrio,Edad,Sexo,Mes,Dia,Hora
12 DE OCTUBRE,-0.08046159826280667,-1.0239750469031546,-0.1572039976379407,-0.06475817731451501,-0.17080044666456307
13 DE JUNIO,-0.08958508126743067,0.04669391040595592,-0.3688337392579098,-0.11290776963841839,-0.2140286219170809
20 DE JULIO,-0.12222257357608564,-0.08312343826254326,-0.8326634166836286,-0.08461001922370236,-0.1537845816334192
23 DE JUNIO,-0.13460276312378686,-0.7525416938434392,-0.17259925075856708,-0.04818864209034135,-0.1713803031123918
5 DE ENERO,-0.12713792332102863,0.47431752582794373,-0.09739290050957607,-1.4044986618967956,-0.14962286845359576
ACACIAS,-0.13111227864814046,-15.62382354161738,-0.11363427055219234,-0.4262293234811629,-0.18997793951866607
AFRICA,-0.09820921083965349,-0.8535013345258813,-0.27282478770062396,-0.0763437752675069,-0.17345405042699008
ALARCON,-0.032874444897888655,-0.34464932859909936,-0.12134985570415671,-0.04932782438813568,-0.09811420244446332
ALBANIA,-0.06428834508744502,-0.4819373276569474,-0.17764896391422508,-0.06204842214135337,-0.1698896068461617
ALFONSO LOPEZ,-0.04981550816212245,-0.41152579098949993,-0.13283072458093112,-0.05647718689385815,-0.08273489662797771
ALTO VIENTO II,-0.31437436108767197,0.27526192630603963,-0.0210416989597172,-0.13557640593028186,-0.11008532189448762
ALTOS DEL CACIQUE,-0.07580669459460401,-0.9139011960354333,-0.2300604888547272,-0.07038960234514688,-0.14091276449881432
ALTOS DEL CAMPESTRE,-0.2593306927487492,-1.0581184349456414,-0.0998681081148284,-0.05929285367222986,-0.094905029911209
ALTOS DEL KENNEDY,-0.12877625973751392,-0.4534202300730391,-0.31168583562284113,-0.07261282073831436,-0.10614118137186929
ALTOS DEL PROGRESO,-0.15137431649813177,-0.6325306313167021,-0.15514189302817147,-0.03723212058009024,-0.10554552044823413
ALVAREZ,-0.051421743467263234,-0.5528089199385441,-0.11826442119285446,-0.05286957306906146,-0.1160798317994224
ANTIGUO CAMPESTRE,-0.04727549143897825,-1.230939798527395,-0.19227012642445648,-0.06433993617891262,-0.14838214533566374
ANTIGUO COLOMBIA,-0.27815948477573177,0.831241527520359,-0.2822982629251873,-0.3701818693577309,0.004100694584372225
