Barrio,Edad,Sexo,Mes,Dia,Hora
17 DE ENERO,-0.019166137464771502,-2.252625992926331,-0.04368107754751921,-0.03933899872198785,-0.06388350676555347
7 DE OCTUBRE,-0.040311345800971884,-0.9941803245219671,-0.3222958319184527,-0.16022149818489412,-0.21935346957225835
ABBAS TURBAY,-0.0504156985155536,-1.286697695676011,-0.013889269477624923,-0.006611498539786306,-0.018821982372377387
ACOLSURE,0.005575110377445066,-3.277645771576983,-0.09214124474147707,-0.14254959918295976,-0.06677566643628963
ALAMEDA,-0.15385097468365871,-0.3204883324170307,-0.06802391242565309,-0.09331870838429654,-0.10921667444581969
ALAMOS,-0.329863247167966,-0.0351834638226539,-0.04130925574083764,-0.007395696219666295,-0.020749941792157413
ALFONSO LOPEZ,-0.059281897424167625,-1.1237531896248947,-0.04673546530246071,-0.06629035342471915,-0.08807256706756346
ALTA VISTA,-0.016017432829025364,-3.0322294526030635,-0.12889386351837046,-0.06084165286731391,-0.1598513668859974
ALTOS DE LA COLINA,-0.16203557908735783,-9.80476852503525,0.5847486482943233,-0.04303349929884276,0.1292509564352724
ALTOS DE LA PRADERA,-0.0810154709521119,-1.820132008694383,-0.17207534333267674,-0.026208793915940158,-0.0011559373175109718
ALTOS DEL CAPRI,-0.05691286996314792,-1.15108717542799,-0.2591679975241331,-0.23243098335377263,-0.11577000636220196
ANA MARIA,-0.16676230333746792,-1.6591268164755346,-0.24100296021065426,0.04432329742549109,-0.01075168616070406
ANGEL RICARDO ACOSTA,-0.03299531999692641,-3.15578098803074,-0.05035436462274242,-0.01702205343380164,-0.024408106684858787
ATALAYA,-0.055226970395490585,-1.4596158778136215,-0.045339214385977336,-0.041738855114439935,-0.033812069574808666
AVENIDA AEROPUERTO,-0.07656494667687791,-0.9212812169333674,-0.10469628066267779,-0.037640892064421116,-0.10083511889113429
AVENIDA FUNDADORES,-0.06720229009812986,-1.3021026298360154,-0.08854312625275274,-0.06378952964117614,-0.027675695139891304
AVENIDA GAITAN,-0.035923883956081114,-1.4151055957643814,-0.12134649997632456,-0.03488763597469283,-0.07857331301381434
AVENIDA PUENTE LOPEZ,-0.02019955900268177,-0.7233001038540819,-0.8015973316790322,-0.1767889687161438,-0.2231075650797192
