Barrio,Edad,Sexo,Mes,Dia,Hora
20 DE JULIO,-0.06264041159866478,-0.5850632089760575,-0.1560923374499324,-0.05883097635801863,-0.09779924238684112
AGUACATE,-0.09943969065629572,-0.45988455375493176,-0.17929434968716365,-0.12241215534321148,-0.17284111461979582
ALAMEDA,-0.3042804497556914,0.1173574139855959,-0.363672142109201,-0.013721764257622832,-0.03639201814230777
ALFEREZ REAL,-0.11772179017196772,-1.0955631467100961,-0.3284464153305525,-0.1101043094163116,-0.09381936260992342
ALHAMBRA,-0.12442793162618694,-0.9677637652584621,-0.1326267354636696,-0.06088941848590022,-0.16404274575067407
ALTA SUIZA,-0.04525122175220441,-0.7590018836798856,-0.11229300862195532,-0.048200721687921194,-0.08292835824486383
ALTO CORINTO,-0.07676227496157657,-1.7352784142954352,-0.3476622771832733,-0.07289136625518157,-0.18608992611712405
ALTO DEL PERRO,-0.23178990009102227,0.2897050522317441,-0.28071774718294623,-0.030296296614787593,-0.06474371340210297
ALTO DEL PORTON,-0.3598513017028602,2.2999586609984153,0.4125778730630123,-0.9262743897618722,-0.6265562732286551
ALTO SAN CAYETANO,-0.101743422451837,-0.20337761171110952,-0.43827521040004286,-0.10166656037947383,-0.10509011451903072
ALTO TABLAZO,-0.06100984169403585,-0.4359806089293509,-0.22234737018591108,-0.04936898178259576,-0.15913723708597816
ALTOS DE CAPRI,-0.11854293804290729,-0.624983193622471,-0.24458880575514833,-0.11600280998811685,-0.07356941963380374
ALTOS DE GRANADA,-0.13725728103441304,-0.1470507311184468,-0.17535304155514722,-0.10884834373545398,-0.047579268343290786
ARANJUEZ,-0.0734950766184368,-0.25881441464509647,-0.1083814521568278,-0.05848810174674322,-0.12456779180796464
ARBOLEDA,-0.07124299595960414,-0.7160160892888947,-0.14984748400572817,-0.04006704817559887,-0.07934886359902088
ARBOLETES ( CHACHAFRUTO ),-0.09971936360856698,0.006390413311569113,-0.2991535583136893,-0.11771923801143142,-0.21196860161152864
ARCOLINDA,-0.3045249759536549,1.4490596680070171,-0.3334136843776733,-0.021112702176905047,-0.08389904801733411
ARENILLO,-0.23173165070130214,1.2909572846529378,-0.33674610255331866,0.02641196195850046,-0.21745474694140096
ARRAYANES,-0.10786462865543253,-0.5922285391471945,-0.08920309033180901,-0.051272454467409904,-0.09204057944730526
ASTURIAS,-0.11283007028902232,-1.1362027708530713,-0.24576491971148237,-0.09711519259994861,-0.10300768301689801
BAJA LEONORA,-0.1260017274866063,-0.2360466562782686,-0.18888246175627116,-0.03292698722897406,-0.13064878437190414
BAJA SUIZA,-0.10086014880034458,-0.1937665367761764,-0.3640844156586734,-0.10053502034137554,-0.06169951739349077
BAJO CORINTO,-0.08493414489140985,-0.7261342061706824,-0.2775761046137703,-0.33252125342008093,-0.19915921287792496
BAJO NEVADO,-0.15072376099391427,-0.7697409326126294,-0.11587344760536278,-0.048607124227647326,-0.17903091557900216
BAJO PERSIA,-0.10502522839083338,-0.38541700624299,-0.30608141755639245,-0.049029789332268134,-0.13216203827295664
BAJO PRADO,-0.10949277195385913,-0.44855968089042614,-0.21330965147858189,-0.02698024769742745,-0.11334946045327761
BAJO TABLAZO,-0.0560446049679767,-0.9266748288276995,-0.13089027330227182,-0.04585281944724454,-0.21384491921522678
BARRIO AQUILINO VILLEGAS,-0.10611623354551537,-1.4816612494131745,-0.2687969382652345,-0.16043795272139816,-0.13973151232516967
BARRIO ASIS,-0.11343748392328233,-0.012462088979045615,-0.24381025426513595,-0.0855348651700088,-0.11790322547049376
BARRIO BALCONES DE CHIPRE,-0.09126331680372315,-1.1092739294481322,-0.3198574873250953,-0.15344403868149642,-0.1299408850285426
BARRIO BAVARIA,-0.0924927391624774,-0.6384826242692285,-0.19377961041534497,-0.05668036000527293,-0.09860828100007994
BARRIO BELLAVISTA,-0.18187165123656956,-1.0645282768623099,-0.09956748566605164,-0.08213709682400688,-0.157947503387973
BARRIO BOSQUES DEL NORTE,-0.05101700547984993,-0.6237909873915827,-0.11792979960665662,-0.049489199883601516,-0.09619759097992663
BARRIO CAMINO DEL MEDIO,-0.11823970798737599,-0.7473770070223831,-0.16766927945931534,-0.11087521972235649,-0.16060061706102222
BARRIO CAMPOHERMOSO,-0.06417584220554283,-0.7901692679760054,-0.10978164501079041,-0.04518054322680644,-0.08387799674894655
BARRIO CHIPRE,-0.048631063646723545,-0.48326132226299634,-0.11401000664653621,-0.046557067220537755,-0.048594754560953045
BARRIO CHIPRE VIEJO,-0.13620288866797142,-0.14758134773703607,-0.2707833181520221,-0.06877315674024996,-0.08355606553065388
BARRIO COLOMBIA,-0.07645910863350061,-0.7796177285600657,-0.1244530066670555,-0.06085833199026724,-0.09863672390089225
BARRIO CORINTO,-0.15097915161284645,-0.5053568694723162,-0.0781967143707364,-0.08762718591461766,-0.2585453640920977
BARRIO EL CAMPIN,-0.08277462233658957,-0.6476086735996595,-0.07636707133659813,-0.06153028062849493,-0.0807124340642644
BARRIO EL CARIBE,-0.092913598305582,-0.5031485040391143,-0.07138862553664739,-0.023967280804397653,-0.10302879925300926
BARRIO EL SOL,-0.10254760330523846,-0.7165337232102102,-0.22507916769594316,-0.06035259496150946,-0.13598081496971315
BARRIO EL TACHUELO,-0.1578304785236479,0.10805992384522471,-0.2321568148125781,-0.04621231287483038,-0.2939268957524695
BARRIO ESTRADA,-0.09550501892433692,-0.7658231243258843,-0.15915762676144737,-0.11493971287464261,-0.1661916004839984
BARRIO GALAN,-0.06277895145983764,-0.5088000733934191,-0.17401347880811352,-0.03391637798849061,-0.12327518488667683
BARRIO GALERIAS,-0.02648594353600036,-0.11271292540607694,-0.11610544883534091,-0.04181033391965719,-0.07222009168178438
BARRIO HOLANDA,-0.4341232882446905,1.72265880980321,0.23248312912736532,-0.013152437789781608,-0.4894415322544928
BARRIO JAZMIN,-0.08670661922081777,-0.9078974152753037,-0.23151238671601865,-0.08060337397602306,-0.1541894694982688
BARRIO LA ARGENTINA,-0.08086323505291905,-0.46405610517459095,-0.14288130434009616,-0.06239626918916603,-0.13336525629725104
BARRIO LA ASUNCION,-0.09503306942439567,0.01234844792977062,-0.142815525406233,-0.04715363148925131,-0.0835323710600485
BARRIO LA AVANZADA,-0.060109813685713366,-0.6713746036531788,-0.15614635924247522,-0.06252259394778309,-0.13931670236289254
BARRIO LA ESTACION,-0.12356793818111111,0.08148861000850822,-0.2812715905723137,-0.05343629025896607,-0.15471874616353096
BARRIO LA PALMA,-0.09848479731337832,-1.4045049922512072,-0.18539462080574792,-0.0439106009610733,-0.1274636918740504
BARRIO LA PRIMAVERA,-0.11764483426994103,-1.1379179956092764,-0.16695259322991443,-0.04590897489462014,-0.11361087868626037
BARRIO LA QUINTA HISPAÑIA,-0.1782384665194639,-1.8173548932256787,-0.13844500969627427,-0.09106157166224677,-0.05791263903862668
BARRIO LAS AMERICAS,-0.06517564884515122,-0.75750601839049,-0.14281775288695633,-0.04844119428291615,-0.08181116086904615
BARRIO LAS DELICIAS,-0.056779238769369654,-0.6777114613971533,-0.11676578149588904,-0.07865862710937732,-0.09305088115689022
BARRIO LLERAS,-0.06117450814519732,-0.860915020564115,-0.1369338350691434,-0.06389619526491119,-0.11031581571322324
BARRIO LOS AGUSTINOS,-0.05027759435169832,-0.6422405714134402,-0.13613261929166254,-0.04617833561140786,-0.06633698846093058
BARRIO LOS CEDROS,-0.10252558669054634,-0.44670154951172536,-0.11767817757867921,-0.05318144438509068,-0.08547770729593551
BARRIO MAIZAL,-0.12181885260060521,-0.5914926742505161,-0.24667168281673935,-0.09262558473841359,-0.20598511187892604
BARRIO MORROGACHO,-0.2140988938182621,0.003906849699841308,-0.10952928111704971,-0.08583300278938118,-0.07618866820284395
BARRIO NUEVO VERSALLES,-0.10793062943485017,-1.0501383348913043,-0.21007738715489974,-0.06144585573555891,-0.15382451021148152
BARRIO OLIVARES,-0.2402735339092356,-173.01483343903274,0.008014122626107022,-0.32598317092105195,-0.012078164208257889
BARRIO SACATIN VIEJO,-0.07156840764083286,0.06341604990813089,-0.31562242506289534,-0.15265867003479766,-0.2734618979476531
BARRIO SAENZ,-0.05511438283889259,-1.0546833587231863,-0.2198855955196832,-0.07980832531803485,-0.16835857081092215
BARRIO SAN CAYETANO,-0.07586670462489493,-0.2546029697006069,-0.15770945008255294,-0.03727683620447018,-0.09257012502440812
BARRIO SAN IGNACIO,-0.07122271375867163,-0.34586188970830856,-0.14921179804141066,-0.07214283527526325,-0.11737049317333391
BARRIO SAN JORGE,-0.07327144105842284,-0.6339090249103874,-0.08315841817690588,-0.04128103184425085,-0.0720195488949181
BARRIO SAN JOSE,-0.03980341933680527,-0.5274172380668563,-0.10785502893006055,-0.05109103944782254,-0.09907702372603404
BARRIO SAN LUIS,-0.12115002491096624,-0.4816282904015418,-0.3508450373489227,-0.060506348355020924,-0.44706859310710195
BARRIO SAN VICENTE,-0.1428429316785251,-1.1866983114903096,-0.06440110821211228,-0.14882832633389342,-0.11585834194024468
BARRIO SANTA HELENA,-0.12156264896124794,-0.32112652363125477,-0.09737245917977205,-0.03799640067149708,-0.10322286727672571
BARRIO SIERRA MORENA,-0.13740187162566367,-0.4973397284627234,-0.16272593059686408,-0.045023443551163535,-0.06545340650069281
BARRIO VERSALLES,-0.04174496586530325,-0.710155662130255,-0.1315617828925158,-0.03889974224978449,-0.09051641573264467
BARRIO VILLAPILAR,-0.05691042115497625,-0.7128426766965241,-0.1200760332386879,-0.04562270286805023,-0.08549701422475273
BARRIO VILLAPILAR II,-0.1137590006776994,-0.9145924486801832,-0.23983391915404506,-0.04941165672972297,-0.12919965044821063
BELEN,-0.07376966518922776,-0.7948560348663293,-0.09097994977003403,-0.035968906948637754,-0.06947860941429722
BENGALA,-0.10115551526325679,-0.3920484308846135,-0.22396041063686792,-0.047313980711185054,-0.09504577330343933
BETANIA,-0.10118393623657405,-0.6995950787362852,-0.08267163256266907,-0.10975683154122694,-0.13452429232210608
BOSCONIA,-0.08490739987066255,-1.1688820583922648,-0.5352692326126034,-0.06329876960114525,-0.17699694464853108
BOSQUE POPULAR,-0.09213287124030368,0.03141186215097484,-0.1330994086637029,-0.07193605005845746,-0.08799500432761127
BOSQUES DE NIZA,-0.13592505638034819,-0.8345651563152946,-0.2806924902564523,-0.0798583643401831,-0.08352914306958752
BOSQUES DEL TREBOL,-0.11756372212786396,0.16571085910253408,-0.1659634413685879,-0.20185189052187452,-0.814877554781206
BUENA ESPERANZA,-0.1278167091920494,-0.8165983877894513,-0.11802442949798313,-0.028989073410435585,-0.14379892182218024
CAMELIA,-0.07161183492789064,-0.7813921282511354,-0.16226606622667872,-0.061446640264255455,-0.15142000624140345
CAMILO TORRES,-0.0860342867164623,-0.25954901813482145,-0.20616775705954668,-0.06281112451825605,-0.0928407373411601
CAMPAMENTO Y ALBATULIA,-0.12762768341727757,-1.277762221707594,-0.16431050584736984,-0.062148219000333266,-0.18080542472329902
CAMPO AMOR,-0.0694008370192577,-0.2820271869682049,-0.14447035714816184,-0.04570261998411202,-0.08753027287689234
CASERIO LA ENEA,-0.1060640833542608,-0.7027013811691618,-0.1796154390951934,-0.07655365588746266,-0.14739973591360284
CASTILLA,-0.11760064778164153,-0.9065210786999813,-0.12254013724278066,-0.07483581794065057,-0.1087102692924201
CENTENARIO,-0.05774784127791188,-0.4170967998483193,-0.1505857596016022,-0.06122782546160101,-0.13816520317606337
CENTRO,-0.008541996559782617,-0.25790890943942524,-0.04554900847778311,-0.017262539923667455,-0.0148421241156765
CENTRO COMERCIAL MALL PLAZA,-0.11698844194821309,-0.5718481139917528,-0.18801546869776056,-0.1179093026561286,-0.08609386052377532
CERRO DE ORO,-0.12339122187328276,-0.2957697935909513,-0.12979742234651237,-0.025515336716436007,-0.09682534867049053
CERROS DE LA ALHAMBRA,-0.09003888830415692,-1.3027981437086509,-0.46396620891827156,-0.0871663051560536,-0.2402204538794122
CERROS DE SAN LUIS,-0.2610299268566639,-17.20407713721152,-0.07413400216656968,0.016853504088997412,-0.16258710175922697
CERVANTES,-0.055175239753518984,-0.7533779288578981,-0.12361711752231677,-0.033608978956519764,-0.07981083840572573
COLON,-0.046335289488514356,-0.63150290146259,-0.18110927270860944,-0.06900803418395603,-0.13449114025298167
COLSEGUROS,-0.08776047248896035,-1.3061806963887184,-0.12131724663867448,-0.059969316848127556,-0.1386909004727565
COMFAMILIARES DE LA 50,-0.08476897489221273,-0.8573251391032752,-0.24423570960931726,-0.05172403818937865,-0.11099159383129477
COMUNEROS,-0.09270917546896704,-0.0031852728996186815,-0.12542272612196417,-0.05411532042740531,-0.1091886985376798
CONJUNTO CAMPOHERMOSO,-0.14609016981276784,-2.1946062512648554,-0.008763646000484692,-0.09402127459854083,-0.16955491410819168
CONJUNTO CERRADO FUNDADORES,-0.11791054979629363,-0.19730737571644397,-0.4020654453659309,-0.07698905970931276,-0.1621143362582315
CONJUNTO HABITACIONAL BOSQUES DE BENGALA,-0.1323986991329781,-0.9612456502337593,-0.4870549841371175,-0.011834676533170142,-0.1000917490941414
CONJUNTO HABITACIONAL SAN SEBASTIAN,-0.133028454905272,-0.7755435053146272,-0.06719657169888435,-0.06279635071510861,-0.11727103672560034
CONJUNTO SANTA MARIA DEL CAMINO,-0.02486117382644138,-18.18101152522746,-0.7046218057363032,-0.22504999004774173,-24.303989333390497
CRISTO REY,-0.09007729603474024,-0.1798696016828872,-0.13924682152835052,-0.045974769557531096,-0.0704725065484337
EL ARENILLO PARTE BAJA,-0.16820544962717057,0.3957314452179174,-0.16051395087771064,-0.11541896112938724,-0.22220360966161143
EL BOSQUE,-0.0641173575271701,-0.3965252654794288,-0.10579978932794831,-0.04564940989196572,-0.06851037038625027
EL CARMEN,-0.05144260979768411,-0.21280619349821775,-0.11470479678448695,-0.06370531787709012,-0.08782648107659355
EL CRUCERO,-0.180873540504584,-0.18206147547400944,-0.22700588418742798,-0.05164962099646166,-0.2590248052387721
EL PALMAR,-0.11493854129595074,-0.9132759806125007,-0.1530089358353529,-0.06104884011202829,-0.08756406796716343
EL PARAISO,-0.05647542692652254,0.014986419355935088,-0.19835125264467152,-0.056090879956758655,-0.10860756911691397
EL PEÑON,-0.14991501986525815,0.04477748963604389,-0.08694738037727404,-0.08185040888988113,-0.23624838138633963
EL PINAR,-0.08254070577789613,0.2337168236695173,-1.8381832025643763,-0.0859288061692678,-0.17264087125970998
EL PORTAL DEL BOSQUE,-0.15948713860089567,-18.946686296392077,0.05860260956634043,-0.9601563872511547,-0.07239668807288786
EL PORVENIR,-0.0869219732315174,-0.5455220194404367,-0.13697506793909434,-0.06605404330806311,-0.1250793518692307
EL TIERRERO,-0.08523995955561303,-0.8281018270460964,-0.9974193120439168,-0.2592845962817369,-0.02980195407545356
EL TREBOL,-0.09771044329969504,-1.1754714894093687,-0.24822869608817014,-0.07628228486958928,-0.1331948928177282
EL ZAFIRO,-0.17354569697262706,0.3739822387767801,-0.061604858503485696,-0.1928252895704001,-0.1974547401253187
EL ZANCUDO,-0.3162804655594476,0.03818052526561182,-0.0022733508179610252,-0.022384870731743133,-0.15191084215373651
ESTACION URIBE,-0.07739460563222395,-0.291630893323459,-0.18552914219283226,-0.09117741717278528,-0.14953670764627536
ESTADIO,-0.11477097450533985,-0.39108113192823635,-0.15446873124281782,-0.0944315197722083,-0.11967815411869044
ESTAMBUL,-0.06700355770248091,-0.5939896946874124,-0.1824352451085684,-0.0661277518056221,-0.11064454941729719
EUCALIPTUS,-0.09139025070936921,-0.8931711449036709,-0.19495796204548174,-0.09551084312931063,-0.1381761651400652
FANEON,-0.10210858141418773,-0.20286424329312758,-0.23113845873714992,-0.06194760233912324,-0.16601035134092876
FANY GONZALES,-0.09144820792573705,-0.9276288185729925,-0.14909840785507952,-0.08800386032085909,-0.11905436232096173
FATIMA,-0.0515697699161807,-0.4337631055679689,-0.09610728550342017,-0.03918236647636822,-0.08686000881104768
FUNDADORES,-0.047376207325890415,-0.30355215206606606,-0.11736081502582793,-0.04579672089755944,-0.038252142957435016
GALICIA,-0.14184666258634576,0.538750055986073,-0.3825602049220559,-0.11627993207776605,-0.19923947136685105
GONZALEZ,-0.1137364326266652,-1.3805394364010997,-0.17757408207499056,-0.04750794106081023,-0.1346616841687946
GRANJAS DE ESTAMBUL,-0.25945597596989317,0.1782093695225793,-0.5571870842942531,0.03663745105966181,-0.12674929069522187
GRANJAS Y VIVIENDAS,-0.10534765006426898,-0.6361988162108568,-0.2760607036195004,-0.08604086021032442,-0.18968936045600213
GUAMAL,-0.07395452137629703,-0.5077312037987904,-0.14347809160974725,-0.03676247769598878,-0.10742739875890531
GUAYACANES,-0.13457854271827402,-0.5352831524221443,-0.12196820576124508,-0.0237637817780173,-0.06087160811086967
ISABELA,-0.11302695229254311,-0.551447070435997,-0.3061202826040056,-0.10192359955258118,-0.14059008195036343
JOSE RESTREPO,-0.08410804020652711,-0.7654899384155976,-0.2444388174041822,-0.05819589091199903,-0.168413122213446
JUANCHITO,-0.13501250120160516,0.42225350646297943,-0.16917501374489738,-0.09839942319132211,-0.14618677574891617
KENNEDY,-0.1283786945390628,-1.0482051693207217,-0.1542391161808776,-0.06379839966674837,-0.12359074286643865
LA ALBANIA,-0.15195363367017437,-0.8142527481125622,-0.34950983934471386,-0.011482705792077405,-0.1567491620441325
LA AURORA,-0.12097912966156038,-0.02718872763920224,-0.4313944995627652,-0.07217436268087106,-0.17298581903824253
LA CAROLA,-0.06859527566163419,-0.5075667969698016,-0.12394998701113355,-0.04693780717796854,-0.0899314266829751
LA CAROLITA,-0.12393531021281841,-1.557736775057562,-0.3878631018964868,-0.016465705576409636,-0.12242277160673751
LA CASTELLANA,-0.08030799441875909,-0.1377327878349386,-0.16080056856262032,-0.06988633487947915,-0.18068109757807052
LA CHIMENEA I Y II,-0.28888378665736075,0.11319649849340636,-0.13294951186602655,-0.0158106626595696,-0.13573657958520116
LA CUMBRE,-0.07096881808319982,-0.5493130838507118,-0.11003812252792156,-0.05822963291489366,-0.16384843577568695
LA DANIELA,-0.10432652018581601,-1.5376163307422073,-0.13048361468643258,-0.10625145997217517,-0.13161899873062632
LA ENEA,-0.05049450067770848,-0.3403174336866901,-0.10396303910845872,-0.03746854126918834,-0.07981680444459752
LA ESTRELLA,-0.0564015909184175,-0.4462853682079656,-0.10220340425821357,-0.049238899219985574,-0.08428424417658804
LA FRANCIA,-0.07315994911001704,-0.41629927079947115,-0.2833610871635825,-0.06073344409725743,-0.12348512795039306
LA FUENTE,-0.08165247993678196,-0.6608975778383821,-0.15225910268340187,-0.06602346205626454,-0.11841444975124307
LA ISLA,-0.09787538923075918,-0.6139188687224251,-0.14270577005603588,-0.043381238027708664,-0.10137955263772518
LA LEONORA,-0.08136425098896426,-0.3603887007519982,-0.10742546109180326,-0.044128685754473984,-0.07402995363544537
LA LINDA,-0.06285940726529589,-0.42127327886476373,-0.19149090451960057,-0.09404935264451653,-0.1148660363223391
LA MONTAÑA,-0.08046020308642009,0.5351749098486258,-0.23215960545670325,-0.6286042492124425,-0.3343045689412327
LA PANAMERICANA,-0.07418463856617513,0.06988302978794544,-0.26800424689877583,-0.06629599005109392,-0.20679100990422436
LA PAZ,-0.16334270153677444,-19.8395366065553,-0.4008814861647578,-9.648551761732102e-06,-0.2353628533876933
LA PELUSA,-0.09110150230041948,-0.7670338102201915,-0.11591630707275825,-0.03891592852021209,-0.1288372596899033
LA PLAYITA,-0.14623919081107176,-0.48455386976833204,-0.30617639148625886,-0.08144866311708408,-0.22842824311013896
LA RAMBLA,-0.0653566486464568,-0.7475756284905726,-0.1641448523307556,-0.0466159114840488,-0.10169431437143099
LA RIVIERA,-0.19941319564738869,-22.694215485580507,-0.26527191188622645,-0.02215824174698686,-0.14683053734353166
LA SULTANA,-0.06879724929507601,-0.16660811427682393,-0.13667963950028866,-0.04103571441165915,-0.08664141786382167
LA TOSCANA,-0.08869734220674416,-0.1437919556797024,-0.20893214126828544,-0.06264551931601062,-0.09195580250700883
LA UNION,-0.13423278885268816,-0.01871397879562768,-0.20463914628645616,-0.08290800227557933,-0.0977147009802309
LA VALVANERA,-0.010289290831090103,-13.72385189613421,-2.4201042354435387,-0.20288785390939051,-0.12125347197115609
LAS AMERICAS C-4,-0.08926344350126003,-0.6430342646133127,-0.14213190949030854,-0.06375425236674369,-0.17659792139980618
LAS COLINAS,-0.08278242841156497,-0.4180853723957451,-0.1328834301667452,-0.07159116704246907,-0.10625751011043949
LAURELES,-0.08028584279462664,-0.45322604483553935,-0.1383534147117089,-0.06133826287714049,-0.0848122775454708
