Barrio,Edad,Sexo,Mes,Dia,Hora
1 DE ENERO,-0.02406953974025506,-1.0025710801117023,-0.2620766297227131,-0.2986412249781957,-0.09735966794517643
15 DE MAYO,-0.14723327281201082,-0.9162536338458875,-0.24410629517742938,-0.010353858830240353,-0.00020348721261872712
5 DE SEPTIEMBRE,-0.13776145621293376,-21.96276958449009,0.23763397917509313,-0.5145133966168605,-0.07528416383176197
AV. 17 DE JULIO,-0.08599179240311153,-0.3205688034884388,-0.09194427425453246,-0.09123634302620974,-0.015295731891745323
AV. COLOMBIA,-0.02192353238280348,-0.2406777047577621,-0.021047029818653723,-0.025423658743611167,-0.050247119796029964
AV. SAN FRANCISCO,-0.044597368004640384,-0.8692063458170682,-0.10374071076135068,-0.030972318176921882,-0.018151924404993344
BELLA VISTA,-0.19291568354883837,-20.897073881270522,-0.12842829895649036,0.08398786036273469,-0.15219763902870723
BOLIVAR,-0.027670451197966534,-0.295688003242898,-0.08944478160940995,-0.035542288150425455,-0.04341819736895227
CENTRAL,-0.17896469698627446,0.2674560596746145,-0.042160588149413696,0.012153879114501847,-0.12513378136467637
CENTRO,-0.009899203466717509,-0.36800902609390707,-0.05616225639502604,-0.02679744513239812,-0.021641594496313372
CENTRO EXPERIMENTACION AMAZONICA,-0.13504436749242246,-0.028454286299767605,-0.049088131452403906,-0.05811841005695994,-0.03153379657066766
CIUDADELA UNIVERSITARIA,-0.12666387784462202,-0.5615661079374078,-0.1609753205749993,-0.19282606557022242,0.035984015745940366
EL CARMEN,-0.06259676031521194,-1.2329797952472952,-0.07449308181899385,-0.07952097882590305,-0.10296612875498005
EL DIVISO,-0.13565196229682658,1.0204230581205471,-0.2961691113267533,-0.04734367833855798,-0.08317523139511473
EL DORADO,0.004719102041361681,14.77365883503308,-16.622298865726474,-0.11321780940002836,-0.1634837348101933
EL JARDIN,-0.265786737932283,-25.230051692149353,0.15663713502898124,-0.01103180051458532,-0.006198040572322603
EL JORDAN,-0.06577992057945041,-0.2280677354808651,0.11742233857117955,-0.01706484270998434,-0.17589225162279443
EL PEÑON,-0.4967180820990991,-13.030727104342256,-0.4529835925259087,0.30763830487043325,0.01284519221835042
EL PROGRESO,-0.03722878349140466,-0.8569835456577815,-0.13124720655315347,-0.06497972560519412,-0.11127392668459316
FONDO GANADERO,-0.04359089245737519,-0.9186499199228247,-0.16049895198605785,-0.1886965186381235,-0.14068153290477062
HUASIPANGA,-0.08037537295596169,-0.8094765199128613,-0.24629587163756517,-0.008063790587027114,-0.06378235751157718
