Barrio,Edad,Sexo,Mes,Dia,Hora
1 DE MAYO,-0.13658360849166049,-0.3820759539867059,-0.10173471367890181,-0.06233406862194837,-0.09131955235794682
2 DE SEPTIEMBRE,-0.12401375806099052,-0.6955822977454349,-0.07952021891168207,-0.06970235258933283,-0.0966482360189955
20 DE JULIO,-0.10871930660631057,-0.3686864522832081,-0.2511514792230386,-0.05863992229347003,-0.08054609266468343
25 DE AGOSTO,-0.10730499700257795,-0.33530227294404014,-0.14903550988275463,-0.03471021098621666,-0.06307387246791211
6 DE MARZO,-0.0644605896174674,-0.6743062080770682,-0.10508123056505661,-0.041603587012891165,-0.04650772948225686
7 DE MAYO,-0.07331024269622449,-1.3391006053761954,-0.3276044292312013,-0.07413300066211206,-0.09306637761929425
ALAMEDAS DEL SINU,-0.05556493519209975,-1.008476458629648,-0.18308855553645054,-0.04433097911559026,-0.07352995307087948
ALFONSO LOPEZ,-0.0981861324890067,-0.026839424308952742,-0.10862557631369016,-0.05509839170878821,-0.0861939078325462
ALFONSO LÒPEZ,-0.05996326657521372,0.048579484540199044,-2.1402786895833033,-0.24189958173071532,0.014735852806925185
ALTOS DE CALIFORNIA,-0.10819718997329238,-0.6011359111140182,-0.06850262976528732,-0.10817256866872035,-0.08366898243444205
ALTOS DE CASTILLA,-0.1590211822026123,1.8871713503968761,-0.8586760754047176,-0.1147945922240269,-0.20593264626336708
ALTOS DE LA FLORESTA,-0.15668387837694067,-1.6193297104812179,-0.03580324427440504,-0.08006460856587204,-0.13197465794040683
ALTOS DEL CONTRY,-0.10563776915010037,0.4094326473415605,-0.40562760808641235,-0.12064800111646741,-0.12015007715520672
ALTOS DEL COUNTRY,-0.22065583718931517,0.23460282928342108,0.10700486569045459,-0.5698911136738612,-0.09071784630372211
ANDALUCIA,-0.09793031368611796,0.015215042169861599,-0.17368778781114136,-0.1328327196171053,-0.08695419597671411
BALBOA,-0.09651151113823987,-0.695063538852685,-0.22199788229143666,-0.03371451269990115,-0.10084758177966786
BETANCI,-0.13579902300373817,-0.9121078883207001,-0.1392999912441936,-0.032125192970939284,-0.04093651933521009
BONANZA,-0.090253447130575,-0.9032465689717962,-0.21787244509412249,-0.06522538435875831,-0.10034985433593496
BOSTON,-0.12272096737082372,-0.7335475470791467,-0.15991259561175364,-0.0453025274331242,-0.13011703170647185
BRISAS DEL SINU,-0.06915646124085803,-0.7512444099734155,-0.20542026408518865,-0.0945604398373501,-0.1498775755597492
BRIZALIA,-0.11086147048124571,-0.4433279631390563,-0.20850860255710973,-0.04713262699909952,-0.050741944790704006
BUENAVISTA,-0.04201145314842301,-0.3232301083718611,-0.07388700929467923,-0.03202423157679517,-0.052952192351158944
CALLELARGA,-0.11965437610540679,-0.5687798849310388,-0.19695400222936155,-0.05862660127534254,-0.2650491891820316
CAMILO TORRES,-0.20593496101467498,-0.17037466926769762,-0.08777363511509485,0.007130402396853493,-0.07319739854059776
CAMPO ALEGRE,-0.11024333363807774,-1.3462256128534131,-0.04534351800316741,-0.06478323542794798,-0.07156726560224717
CANTACLARO,-0.06041813251003727,0.08748576357200495,-0.06396830498683444,-0.02947052150805393,-0.04770097427703781
CARACOLI,-0.11581682908176827,-0.6477618148560739,-0.08141853400709267,-0.038999347238382824,-0.05926057424615208
CARIBE,-0.10668373730507819,0.0989147419051131,-0.32520123547723634,-0.11546456263623399,-0.06255837484351007
CASASUAN,-0.1924432549400119,-0.6686328915875872,-0.08642588497514732,0.0036567440679735486,-0.03019292102478668
CASERIO EL SABANAL,-0.10036571942256814,-0.5424982870878031,-0.21043890039907176,-0.08026411190997856,-0.0522421334134109
CASERIO EL TAPAO,-0.20330511104556795,-0.263525322472608,-0.07071061417846172,-0.08192347306920558,-0.05986286275299397
CASERIO KILOMETRO 12,-0.09306109904495143,-0.5945336570612921,-0.21356581059432747,-0.05032751089891218,-0.11593565605581187
CASERIO LAS  LAMAS,-0.37990571848438964,0.261640667317622,-0.005452307860309643,0.018731966490448407,-0.024492764817066026
CASERIO LOS PERICOS,-0.10857650738880549,-0.18846561076820564,-0.319330733041532,-0.03599291014329909,-0.08874851222857773
CASERÌO AGUAS NEGRAS,-0.13447702422344882,-0.21676241518560857,-0.15959147722725903,-0.0640817516993233,-0.038745116747842825
CASERÌO CAÑO VIEJO,-0.19604194629177357,0.7885700446947551,-0.06619260314596408,-0.13623838510542657,-0.10036181752363597
CASERÌO CEIBAL,-0.24359493230289728,0.7113355361528441,-0.2816307985250723,0.01247802056279795,-0.09771176309133442
CASERÌO FARO UNO,-0.23238216900221823,1.7557860480155845,-0.23962720914757868,-0.11589072786212008,-0.18363917556979967
CASERÌO LOS VENADOS,-0.04724887132709421,26.76712208350064,-17.72826508621525,-12.493417964663486,0.21920991924860733
CASITA NUEVA,-0.11041531286815004,-0.343566049176127,-0.07452800328145892,-0.07460467918730856,-0.11319283215187868
CASTILLA LA NUEVA,-0.048447920724677074,-2.244668053258538,-0.3948529380537758,-0.08627773476204509,-0.11884735881061372
CENTRO,-0.1624265903594507,-0.7601535381342462,-0.18244787573497812,-0.054959247485154746,-0.06797362011783142
CGTO BUENOS AIRES LA MANTA,-0.28410181545829233,-0.4347527308499108,-0.11095044956888162,-0.0722792536798599,0.04778774236485235
CGTO GUASIMAL,-0.07975749982912428,0.15940385417033492,-0.22633259682670234,-0.24972551898072431,-0.4333526790107854
CGTO LETICIA,-0.150056515478661,-0.5568659757260263,-0.11581799754826577,-0.010036536188978281,-0.22318370081420016
CGTO LOS CEDROS,-0.037115963425074214,14.784440442970222,-16.081536992862066,-0.09803331641330656,-0.4974187649827147
CGTO MOCHILA,-0.11073123248595557,-0.4843208933664001,-0.31929667971880926,-0.12613003888284258,-0.10584363338052467
CGTO NUEVO PARAISO,-0.17381669345564987,0.04394354796052147,-0.9059346745836218,-0.03325949239568882,-0.03210835891251101
CGTO SAN ANTERITO,-0.03919712221632823,-0.33541538266242854,-0.038384811164744945,-2.226655632676101,-0.16223527997570106
CGTO SAN ISIDRO,-0.045280114000384356,-0.45017448193016657,-1.2548475514076476,-0.5259541314371359,-0.0024702250456921505
CGTO SANTA ISABEL,-0.11672919153978072,-0.8451561968830813,-0.15881652014777262,-0.10313667561546201,-0.15050453571197042
CGTO SANTA LUCIA,-0.4349826881024406,0.75416451076725,-0.021976737415526942,-0.08505872260494045,0.11781748113683675
CGTO TRES PIEDRAS,-0.2931886080012519,0.7053083317214184,-0.16355807459549812,-0.043802450343491756,-0.03903615611751505
CHAMBACU,-0.25347519796277723,1.0659304216685261,-0.0575599577954254,-0.10336250659800754,-0.038247339831144575
CHUCHURUBI,-0.04533894898560671,-0.46170256399346576,-0.11157258150932335,-0.03696876890571518,-0.07056894770354054
COLINA REAL,-0.11838548995990196,-0.20061986714584473,-0.13631804167325456,-0.03572686272262424,-0.08111905560691168
COLISEO,-0.07377776689305136,-1.4982965148491738,-0.4873143891931815,-0.10274292416328874,-0.06935515290677333
COLON,-0.06513729855499818,-0.6856512298418774,-0.10439315101942212,-0.038297698867475555,-0.04615898644266243
COLÒN,-0.12880068321770433,-0.9449397130038371,-0.47446049289688946,-0.05765189268920294,-0.028095009911586567
COMFACOR,-0.127901933423563,-0.005558393553655173,-0.1729657914327654,-0.09400164258717361,-0.08237311068651952
CORBIPOL,-0.2676478971594367,-0.5503585172529186,-0.1963941331744223,-0.02359607970884722,0.017814670047561876
COSTA DE ORO,-0.043922617527410175,-0.9390388472026695,-0.1347915898622199,-0.056794093448040366,-0.06568093657964595
CUNDAMA,-0.16001640909081657,-1.2880003517246723,-0.18019672886060742,-0.017726955965265283,-0.16350312940497425
EDMUNDO LOPEZ I,-0.1195747000706215,-0.7340772469718466,-0.19896669719459553,-0.0719671750893424,-0.02487811290795955
EDMUNDO LOPEZ II,-0.2010332771274918,-0.21022529998056363,-0.09490703534794653,-0.014441815524938317,-0.09903346098978376
EDMUNDO LÒPEZ,-0.06938901761636751,-0.36944711483732223,-0.1427857045847552,-0.03516998387057741,-0.05554934747815228
EL ALIVIO,-0.0758391558814881,-0.2264148572754,-0.11319699287160408,-0.04068420444165802,-0.04967065330576168
EL AMPARO,-0.07821282481783831,-0.20121696102640302,-0.1946882192526049,-0.05940384533432208,-0.10319318186918205
EL BONGO,-0.09347447191632272,0.283505050617583,-0.8523879086169635,-0.048403266949824365,-0.1087279175486353
EL BOSQUE,-0.20303221322093748,-0.6681343393707396,-0.12542976627018182,0.01695468968375,-0.12633191160311372
EL CAMPANO,-0.2508609232525193,1.5152329142537106,-0.5530164758221312,-0.07905190399010194,-0.02218174969740209
EL CARMEN,-0.10727347071155773,-0.8908038308959622,-0.22216190624330676,-0.1241531990726642,-0.06725366802166882
EL CEIBAL,-0.10220553609087779,-0.6647793780876089,-0.17509218090182102,-0.16175982519935386,-0.09504615840905895
EL CENTRO,-0.008491899530796761,-0.052435142755952804,-0.07143034810698462,-0.02163237346868717,-0.03730951214054475
EL CERRO,-0.3501236575164439,2.290488975472621,-0.1364041320897279,-0.19349079416734555,0.010962018241015014
EL DORADO,-0.061286546849354834,-0.3197029471966616,-0.13392995367090435,-0.038945705427434564,-0.06802709758843123
EL EBANO,-0.15413035748574003,-57.800502692093595,-0.5479245867819441,-0.07752281627750053,-0.026955630906410958
EL EDEN,-0.06958088910030624,-0.5907795151132075,-0.16637279016476064,-0.03679403069177322,-0.04288717195482909
EL INDUSTRIAL,-0.085750261008078,-0.3784556074634759,-0.19718409323245997,-0.09506149266077826,-0.09005553686064209
EL LAGUITO,-0.1032067336139897,-0.9294600575304898,-0.1798287816952281,-0.06409197979780895,-0.17589202126505413
EL LIMONAR,-0.09082622406456999,-2.41632975881194,-0.30927997725538975,-0.05823544512149815,-0.09745378277577543
EL MORA,-0.09455803719028302,-0.28654419800453806,-0.0805992906219772,-0.054046083793120904,-0.06198003806831222
EL NISPERO,-0.09225952845005295,-1.063214176770644,-0.3301135422394303,-0.044386957871711236,-0.13978493184387053
EL PARAISO,-0.08586235653305013,-0.4191825309190348,-0.17322105562877835,-0.049787084966517084,-0.07799742166079786
EL POBLADO,-0.1518412670417352,-0.2942972443442705,-0.052350559471717205,-0.0581426536834034,-0.08139514979832023
EL PORTAL,-0.08060788098131028,-0.8746885106887939,-0.22721732025955735,-0.11841925102465768,-0.12128167890519685
EL PRADO,-0.08569125858771767,-1.057540224778997,-0.1597616730985625,-0.05412530675417541,-0.06994029387613145
EL PUENTE DOS,-0.17371887651389173,0.2541618810021537,-0.550294880833718,-0.03509385897000806,-0.12455475210478296
EL PUENTE UNO,-0.13302465159750612,-0.271387074860232,-0.07982706258152525,-0.05288378845553859,-0.09329996289019303
