Barrio,Edad,Sexo,Mes,Dia,Hora
20 DE JULIO,-0.08076780121465238,-0.21974121625586956,-0.27455609095057326,-0.06911898352024334,-0.08726054174523791
ACHALAY,-0.13674488415256178,-0.7908836441714634,-0.1945390829081922,-0.07749053443001001,-0.1074814782523059
AGUALONGO,-0.09047376545685923,-0.8303032500692881,-0.15371857511874176,-0.03688906704119349,-0.0654429284989814
AIRE LIBRE,-0.07441026410773545,-0.6171682115632329,-0.17443974520006578,-0.07832882654609659,-0.06237139013741116
ALAMEDA 1,-0.13661359927092606,-0.6951831732406224,-0.22766151109223748,-0.05342820080812861,-0.08892184941909727
ALAMEDA 2,-0.162170700844096,-0.9367326111258739,-0.08982218216466538,-0.13599878400112067,-0.2289753852300249
ALAMEDA I,-0.11907800384907517,-0.367626634787913,-0.22690864339259165,-0.04705376090661024,-0.0583536387678556
ALAMEDA II,-0.2346678270992461,-0.783364662451107,-0.13430469849860013,-0.035282071181909846,-0.004276297172422039
ALAMOS,-0.1062176620512877,-1.0304095101091757,-0.2542659564675139,-0.06502346318001814,-0.12274431668919024
ALBERGUE DEL SOL,-0.2043952798287121,-0.9197238097111907,-0.05195456029150174,-0.06425900464028297,-0.22834933859171838
ALIANZA,-0.19843798474445457,-0.15419540265320836,-0.018518378588136843,-0.13522004946173422,-0.053055534932735036
ALTAMIRA,-0.14757575421237662,-0.47682566787989045,-0.15353931714043847,-0.03780078112507866,-0.03415870452735744
ALTO JUANOY,-0.1436808199794876,-1.0721430975695483,-0.21280724768149542,-0.11594479334124413,-0.06834668696595582
ALTO SANTA MARIA CATAMBUCO,-0.14083091686188265,-0.13326911922596416,-0.2511767631930656,-0.1546683094276556,-0.06818071272653956
ALTOS DE CHAPALITO,-0.12776719214229915,-0.37761184132343406,-0.10699952143662124,-0.05111994141984477,-0.0872553946066039
ALTOS DE CHAPALITO II,-0.24159639868589572,-0.644204535002422,-0.21034555880908426,-0.10649416537530962,-0.07427275027002733
ALTOS DE CHAPALITO III,-0.1582994621693199,-31.07789922186565,-0.37384354957363175,-0.30654295855627656,-0.097966859950151
ALTOS DE LA COLINA,-0.1352852635439949,-0.5033646157367143,-0.12361643294702228,-0.06367280801564802,-0.07571858624415978
