Barrio,Edad,Sexo,Mes,Dia,Hora
1RO DE MAYO,-0.039533341278574594,-1.8413404598746663,-0.07958354377207531,-0.0451718404748334,-0.06058654070758673
25 DE JULIO,0.0008529932393849123,-15.505630943041915,0.6977661081910624,-0.12461469184323366,0.10432361501334249
31 DE MARZO,-0.06724504115471673,-1.2096428137230715,-0.13380460176551837,-0.026140615001429834,-0.04710726797615759
ABELINO ULL,-0.08300422069562612,-1.7368968826280708,-0.07226425778898721,-0.03252841730200152,-0.13702239973866703
ACACIAS,-0.09570127966822062,-1.7878688232160596,-0.23605892705324322,-0.03055061773082475,-0.12351421660314817
ACEVEDO TEJADA E-13,-0.26481063469066285,0.31266373386948226,-0.6284000766216751,0.10682887147167039,-98.35915634018706
AIDA LUCIA,-0.08536820756369363,-1.6944182231935256,-0.10399944853217608,-0.03012140212006433,-0.03528379175964348
AIRES DE OCCIDENTE,-0.034923421156036055,-24.499377802955884,0.690249725274156,0.3250840845633391,0.16830280920651972
ALAMEDA,-0.1062658829636518,-1.008829514465529,-0.2511142988696712,-0.07004156048388038,-0.028984529995873785
ALAMOS DE OCCIDENTE,0.0289301764542432,-6.866355410376516,0.057759482790549314,-0.06274042759738876,-0.12791742388854302
ALCALA,-0.0788144256301377,-1.1974183651522128,-0.2145721940967594,-0.050544434246568036,-0.07813907222377595
ALFONSO LOPEZ,-0.02990909396406034,-0.44847468719410233,-0.10532189848256071,-0.03171840401878338,-0.043201580812023674
ALICANTE,-0.1349051273271696,-2.5406174934356747,0.07293816960817129,-0.03516278895486221,0.00045988559658354346
ALTO Y BAJO CAUCA,-0.07490395091900391,-1.6811729579188133,-0.17298798124433862,-0.12454482816561664,-0.05139764163511705
ALTOS DEL JARDIN,-0.02645513912520547,-3.2705154207496623,-0.08601641320620858,-0.03700810128394679,-0.14733758728385407
ANTIGUA,-0.08220678836588642,-1.622025793247567,-0.18583639275781566,-0.08285274256307044,-0.12299044111681195
ANTONIO NARIÑO,-0.019980062677588915,-1.7920841942837127,-0.12939812912332857,-0.037124057378450974,-0.07294013772900408
ARRAYANES DEL OCCIDENTE,-0.041576974122937996,-2.1088094448044847,-0.30592734144562717,-0.0706300231639799,-0.1420726974100963
ASENTAMIENTO 11 DE FEBRERO,0.03534548178695171,-10.101240725156252,-0.036386211306747095,0.047029637918769955,-0.06343792889259264
ASENTAMIENTO 5 DE ABRIL,-0.1935812828551831,-2.536011053167778,0.06222850108487371,-0.05894282577188343,0.006442714586686356
ASENTAMIENTO CHAMA,-0.05027540449817586,-4.654775159045766,0.04781339329202877,-0.04727479043744872,-0.03981186076872506
ASENTAMIENTO EL DORADO,-0.18280820055826313,0.2678662416886687,-0.1279793608338212,-0.475678597197203,-0.06955962847258967
ASENTAMIENTO GUSTAVO RESTREPO,-0.14611066724974528,-5.664436971163389,-0.031245205017309294,0.0929676421676216,-0.08848318774897666
ASENTAMIENTO INDIANAPOLIS,-0.0028101333141059533,-4.809332615097428,-0.12863550347286137,0.006097562681378249,-0.1704429859980549
ASENTAMIENTO LAURA SIMONS,-0.0997940410367162,-1.2468350006052376,-0.4302536763828599,-0.011715931003830254,-0.23216044427789462
ASENTAMIENTO LISBOA,-0.2611650782369035,-0.4304547263617976,-0.44505333829307153,0.05229664290986465,-0.1419276172569134
ASENTAMIENTO MUNICH,-0.07806566570460066,-2.0371264927487944,-0.15522157130413727,-0.01955440223642795,-0.11660909808365086
ASENTAMIENTO NUEVA FLORIDA,-0.38404854511951036,0.07763567363013589,-0.15229511111534114,-0.08290155574034015,0.032185407938783314
ASENTAMIENTO NUEVO MILENIO,-0.0968313357825023,-2.063212802223752,0.050220778392700796,-0.21198338645187048,-0.10579940075405503
ASENTAMIENTO POBLADO DE LOS SAUCES,0.008695536719528028,-9.989823028058577,0.051466302215853195,-0.1464401297242006,0.1416995941243043
ASENTAMIENTO QUEBRADA PUBUS,-0.08328237705715635,-0.9966624597567505,-1.5339048402293132,-0.011987495742226243,-0.1467106400805614
ASENTAMIENTO RENACER 2 DE JULIO,-0.15877272556378894,-1.1846361654590718,-0.19126647716901268,0.011302554159205303,-0.4718325346133365
ASENTAMIENTO TRIUNFEMOS POR LA PAZ,-0.09777340940752619,-1.313233245480998,-0.1429009725887674,-0.0025698606851500163,-0.14935091568817208
ASENTAMIENTO VILLA COLOMBIA,0.06339147330020692,-26.570098038983517,0.33716077880546497,0.4433086489789943,0.08919380415034438
ASENTAMIENTO VOCES DE ESPERANZA,-0.1854008572099768,-0.4233897610302346,0.011136924938049138,-0.07375338051564534,-13.4797613537608
AV PANAMERICANA PIEDRA SUR,-0.06178523825789826,-1.18138454458841,-0.11897284920020622,-0.0507226046937995,-0.16883085229416958
AVE. LOS CUARTELES,-0.07130062011809754,-1.7713421691798628,-0.07876219374114694,-0.10486448150934627,-0.25789147493435555
BAJO LOMAS DE GRANADA,-0.10911064310780766,-1.0901154958577872,-0.20901498429039309,-0.03240831102132813,-0.13653151445739056
BAJOS LOMAS DE GRANADA,0.07436000433400614,-27.673377676219562,0.21580159075209515,0.4757776617832765,0.14539177157000885
BALCON DEL NORTE,-0.015060092403511458,-5.688105496282096,-0.06745886920490585,-0.07074125515861923,-0.02510047477030603
BALCONES DE POMONA,-0.04775538161299616,-1.7955332255584238,-0.10843718620510366,-0.19198214098733588,-0.13829493488192926
BATALLON JOSE HILARIO LOPEZ,-0.18170590762158315,0.38341135953039157,-0.08941259002377698,-0.04621324526435886,-0.19134656836027022
BELALCAZAR,-0.04275004544419919,-1.3788976008493037,-0.1334326159197717,-0.03975394461871667,-0.07997335566757696
BELEN,-0.10283933466693099,-0.7251503498835308,-0.15453524516281997,-0.059475138221550976,-0.07204395809195505
BELLA VISTA,-0.03893840503116308,-0.7951129178663304,-0.17248277890537658,-0.04255386719688539,-0.09561586289367964
BELLO AMANECER,-0.05397516245948699,-0.8747990406652284,-0.4608856405364957,-0.08706056632936278,-0.14537559930002764
BELLO HORIZONTE,-0.04632785932045024,-0.7234224830512368,-0.07709012582840676,-0.024532301691133036,-0.06457083371882844
BENITO JUARES,-0.08844746479016256,-1.5073525473818838,-0.0631823772253398,-0.024397675959934646,-0.0587006810014177
BERLIN,-0.07415889475484362,-2.042784533769579,-0.09578033175275895,-0.05647559723732119,-0.028741510741739765
BLOQUES DE PUBENZA,-0.028014273916477494,-2.1854401969189956,-0.22376484356050108,-0.07088125920426398,-0.1800100977732711
BOLIVAR,-0.017896377886440135,-0.6017441902285879,-0.10157579755893877,-0.036150496040311786,-0.050491162174007946
BOSQUES,-0.06149805884661074,-3.07676332567098,-0.05000412414415561,-0.018175633056366942,-0.07947748086057001
BOSQUES DE POMONA,-0.12467054217120069,-2.0499692094791024,0.02535536033034383,-0.057043950668795404,-0.07226707500091094
BOSQUES DEL PINAR,-0.26977069349229066,-1.6566907722720283,-0.06016373947925834,0.00501290018495926,-0.02497974241394505
BUENA VISTA,-0.2657383878879502,-0.36772403743343424,-0.03986600582553747,-0.0782199297338827,-0.13442993245638973
C/MIENTO CAJETE,-0.22832393757871017,-0.727767155423432,-0.011684064011437637,-0.17079378086311692,-0.08061446756924347
C/MIENTO JULUMITO BAJO,0.03021929522821431,-9.81171758345225,0.3755999415219097,-0.14115405778581486,-0.22460741110166357
CADILLAL,-0.03203700172277218,-0.8634692608457016,-0.10417049304635179,-0.035997487646428794,-0.050625391997566986
CALICANTO,-0.06657170819656351,-1.8882592467313997,-0.08805442921826609,-0.026849296599948037,-0.08597419369057781
CAMILO TORRES,-0.05117108430565667,-0.9613136700732225,-0.11125461357013718,-0.05108366676948198,-0.05737219295610996
CAMPAMENTO,-0.028932709689974575,-1.1709768243171546,-0.0913952411903628,-0.05085107757077836,-0.03609575189585678
CAMPO BELLO NORTE,-0.03952765975670629,-1.8698504375169198,-0.14867942826157535,-0.05072428177131575,-0.05376651619976599
CANTERBURY,-0.38474745492492884,-0.08024461257157606,-0.0035710625545127533,-0.004857788428099992,-0.01855603264984065
CARANTANTA,-0.08020116121155595,-1.6941916018571166,-0.005095641498015197,-0.07875587827611377,-0.0685093876599136
CARCEL LA MAGDALENA,-0.11530609991046828,-1.1905484185491926,-0.028916962430409053,-0.305070982756222,-0.21280331608507488
CARCEL SAN ISIDRO,-0.10490703054190463,-0.7880676342165951,-0.13054379663274635,-0.01643433455521492,-0.2508991776496386
CARLOS ALBAN,0.09575453778980092,-147.29304573141133,10.167139492382566,0.6116932718790192,-0.10919943324989448
CARLOS UNO,-0.039799697542550534,-1.7229724774447646,-0.17868359813654788,-0.10660808753555973,-0.09602141604051898
CASAS GRANJAS LA LADERA,0.17229776689542364,-34.54317095946456,0.8001616089397942,-0.08723577793369733,0.6319572309990917
CASERIO CANDELARIA,-0.0930817466228438,-1.5682349107117164,-0.28318542531127083,-0.22454028145268198,-0.017413529068601292
CEDRILLOS,-0.13134777021426755,-0.8335418408846236,-0.03177282273141658,-0.07670956349512123,-0.09309858895686732
CEMENTERIO JARDINEZ DE PAZ,-0.021210863362366644,-3.5047522285370665,-0.20380117024042985,-0.0719726657433164,-0.10901343758080487
CENTRO,-0.007802932623514174,-0.5999885501786485,-0.05354303017267872,-0.015324690261820751,-0.022604765268993687
CENTRO UNIVERSITARIO TULCAN,-0.13621223596039964,-1.3460346558859448,-0.07604307800563181,0.0011360670177706655,-0.09494112927979323
CERO 3 CRUCES,-0.09566152483236319,-1.6045047430461383,-0.10081654702807193,-0.06880612974196339,-0.0990665051922672
CHAMPAGÑA,-0.06253275807438922,-1.4180871410191658,-0.25120133935670563,-0.020088522086155053,-0.05898927990293314
CHAPINERO,-0.05800301878109308,-1.4680969871126812,-0.10969928236903352,-0.02673668595895632,-0.04474923808748785
CHUNI,-0.14312090827962265,-2.499372086967317,-0.2733239693655158,0.01745869125247729,0.02049137422073775
CINCO DE ABRIL,-0.1745059239356881,-1.9185932756383288,-0.010914079933413366,-0.011017327939599192,-0.08581562080912888
CIRO LOPEZ,-0.2816462857393251,-1.7068339281381566,-0.09411158215132995,-0.018871604622911157,0.0673106963651772
CIRO VELASCO E24,-0.21643045630027166,-0.08360066127038898,-0.06459713876241538,-0.21273590275719478,-0.15495901625252134
CIUDAD CAPRI,-0.06720333611240807,-7.232527861257242,-0.11970741582795778,0.10951852526644862,-0.11297477381168117
CIUDAD JARDIN,-0.028658133643561682,-1.496030358748259,-0.06787161709765827,-0.01797025214629825,-0.029591224695824273
CIUDADELA DE SAN EDUARDO,-0.04265527612706334,-8.98419525752056,0.16956810249104443,0.07652470571540895,-0.013973137619187156
COLGATE PALMOLIVE,-0.04906644852278961,-3.7777467314044815,0.1169294897669409,-0.08058118979716339,-0.10432660250259372
COLINA CAMPESTRE,-0.09175543054297494,-2.615918502190179,-0.16087389794913085,-0.0904338594573549,0.012409285090475114
COLOMBIA I ETAPA,-0.03758094473491161,-1.6594788259553708,-0.10961817057157199,-0.037894293133592695,-0.09056934322141708
COLOMBIA II ETAPA,-0.04394490068921365,-1.7434710782276508,-0.1560966621836306,-0.04522185663829917,-0.12053928065955227
CONJUNTO ASTURIAS,-0.13128841695655702,-1.2720710376259179,-0.10575600319091709,-0.06145183633579288,-0.13136179782757693
CORDILLERA,0.07355333692134773,125.6664245395471,-260.8653609841166,-0.08054830429206233,0.07603187135664
CORSOCIAL,-0.0063423554104442125,-5.627879091150922,-0.19419513595812588,0.00570419557006218,-0.014645865253222342
DEAN SECTOR BAJO,-0.07446957342723255,-1.2051499399152006,-0.047955738401223795,-0.04408969629558999,-0.072680967083166
EL ACHIRAL,-0.021006134666192836,-2.8411067990643124,-0.17381968064934028,-0.03408115701405469,-0.07615768696331084
