Barrio,Edad,Sexo,Mes,Dia,Hora
1 DE MARZO,-0.18208216210295763,-0.13414288714460706,-0.11068364477517155,0.0297377118635102,-0.43471162890219617
12 DE OCTUBRE,-0.12490605599216897,-0.7167322987988438,-0.0398251679176027,-0.09344733613737191,-0.03631885114431453
15 DE MAYO,-0.08513422349019066,-0.7845384119709381,-0.12795266267898314,-0.0025445963364732933,-0.073578079696992
17 DE OCTUBRE,-0.15388353667031257,0.38868577749163863,-0.1389723196863539,-0.04373620737125783,-0.1087874169839846
2 DE FEBRERO,-0.1439508393261771,-1.501665992215343,-0.0997776158749753,-0.012420540356757924,-0.12201249251571401
20 DE JULIO,-0.1206680853837141,-1.104149987562021,-0.044056799071531365,-0.016646317448878817,-0.07248083034453509
31 DE OCTUBRE,-0.09509236057232914,-0.4090301705774958,-0.12080584574671717,-0.03284773074807997,-0.023666806774891285
7 DE AGOSTO,-0.05692873302867702,-0.15359047090193745,-0.11092748698918889,-0.05096477753786451,-0.07762178411797248
ABAJO,-0.026016109114356506,-0.41077855757976567,-0.0903807102647289,-0.0298120117988537,-0.04941693067267904
AEREOPUERTO,-0.07635405646905494,-0.5492380665217194,-0.055581220859680334,-0.05616649283702393,-0.0987838181735909
APUNIMANA,-0.15285984346833092,-0.6476483283180793,-0.2927893105641567,-0.0030368244212785472,-0.10895520208392839
ARRIBA,-0.04169547098581173,0.060430997702224834,-0.0839320176813656,-0.023106057635478763,-0.038498437972856035
BOCAGRANDE,-0.0517686915538744,-1.3010080318550774,-0.0912532634402645,-0.046593116337471874,-0.11015258424563878
BRISA DEL MAR,-0.15187380050195629,-14.251770124809315,-0.013919817390407681,-0.1652362337052041,-0.07526786989667848
BUENOS AIRES,-0.04543716856753293,-0.9330133070663239,-0.09184952674788477,-0.03957494119602636,-0.054775224953215754
BUGANVILLA,-0.1018627255632145,-0.8477339483633701,-0.24482877013577928,-0.03410426021272823,-0.12351356059309916
CACERIO EL CARMEN,-0.22057693572425582,1.812586476642532,0.3466015803731704,-1.4839358504750033,-0.11500807442508526
CALANCALA,-0.07046663866249783,-0.597171278822088,-0.32875609608682504,-0.03576561996292043,-0.08253459982344916
CAMILO TORRES,-0.06621535298604792,-0.1292349581280036,-0.1310964074951209,-0.02585504308335183,-0.06649338270814474
CAMPO ALEGRE,-0.15832818001079818,-0.7322413658653341,-0.12095556633499961,0.018174819965757327,-0.13152939495915975
CARIBE,-0.08961644133449648,-0.8502871201635266,-0.09637270239998585,-0.07755042691316306,-0.09839291311055122
CENTRO,-0.019260584436074767,-0.10993333618846998,-0.11436830115464873,-0.028823815010498608,-0.038469987055341846
CHE GUEVARA,-0.10239252424815637,-0.11592008132924268,-0.15993998222252867,-0.0012901775093201442,-0.03627036194205653
CIUDADELA EL DIVI DIVI,-0.08247205983367716,-0.04582014996541852,-0.1620851849218377,-0.013045808510281415,-0.07362176095330697
CLAUDIA CATALINA,-0.12067087046278203,-0.4793397141404774,-0.11364932086038973,-0.0200137678886536,-0.11989444921047297
COMFAMILIAR 2000,-0.1873720497404453,-0.8510065086807522,-0.14636577764863928,-0.034049146751500524,-0.024518910952141853
COMUNIDAD LOS CERRITOS,-0.0637905568823895,-0.10214340012426427,-0.7229047630017327,-0.059903610184013356,-0.09443631157804147
COOPERATIVO,-0.04953126430146791,-0.21271452771424773,-0.06457399346088091,-0.03678140243094663,-0.04326364371788993
COQUIVACOA,-0.04164557993707293,-0.4010366094760291,-0.15640723493977485,-0.06409225826640032,-0.02466070907519514
CORREGIMIENTO DE CAMARONES,-0.08431686202557294,-0.58754008537563,-0.17759926249044977,-0.02868168879454005,-0.125168688394926
CORREGIMIENTO DE COTOPRIX,-0.17560413149649662,0.18482451155502105,0.002576132273985633,-0.11360506382571876,-0.23877425000863473
CORREGIMIENTO DE PALOMINO,-0.0015341927445354563,-0.1596368207320015,-2.562315282565898,-0.06310755670517247,-0.17170000669986243
CORREGIMIENTO DE TOMARRAZON,-0.10058204560915968,-1.2061286563074227,-0.2687976906988864,-0.1485557335191692,-0.03453680716114118
CORREGIMIENTO DE VILLA MARTIN,-0.12505360046709182,0.3813480036105604,-0.11079636452061284,-0.06016194673363388,-0.08298097346581278
CORREGIMIENTO MATITAS,-0.12202899634798631,-0.19316566797208212,-0.18751662048283915,-0.038382903160563565,-0.18004689188140074
CRISTO REY,-0.05687081494251335,-1.6756976282959493,-0.30459960081569715,-0.14331012663675566,-0.10867818493144593
DIVINO NIÑO,-0.1176058894601898,0.15959398331207958,-0.15905874484733573,-0.041303894970170126,-0.06386251623767274
EDINSON DELUQUE PINTO,-0.0905230342591334,-0.8123589867948642,-0.053842479588029846,-0.09640838046773716,-0.1545150521571749
EL ACUEDUCTO,-0.05252319807498751,-0.44027165937337126,-0.060786330890751694,-0.0352491066556184,-0.07119073706156984
EL COMUNITARIO,-0.08786096353515434,-0.44787983600602027,-0.06539863084039992,-0.06051903212298782,-0.09664940700268468
EL LIBERTADOR,-0.05844917811722726,-0.836531142669779,-0.09592276931792722,-0.048128985251004425,-0.05773435572849179
EL PROGRESO,-0.05860218482297754,-0.6272838658966914,-0.16130516514922183,-0.04108354595961996,-0.06862907557168667
ENTRERIOS,-0.05523861277091674,-0.4456475918796829,-0.11238654287755954,-0.03998772235676933,-0.0721131788250343
EURARE,-0.04590904679292351,-1.0171609195390725,-0.2107243879142709,-0.04537971814100514,-0.11082186379770442
GUAPUNA,-0.07260043981793136,-0.8262900686458788,-0.29079066891248506,-0.05170322841763728,-0.06551993400121581
HUGO ZUÑIGA,-0.11815363701793535,-0.6946821205962097,-0.05802709419967452,-0.038223973771889866,-0.1573967259614036
IGUARAYA,-0.09590500420261748,-0.8933557444633785,-0.19180359631675414,-0.10552417446909088,-0.07109017313513308
INVALIDO,-0.15340082307437874,-1.4405618967964062,0.016188661235625058,-0.030531587553474588,-0.17838750353321475
