Barrio,Edad,Sexo,Mes,Dia,Hora
BARRIO 5 DE NOVIEMBRE,-0.11173099296841028,-0.8326511343411187,-0.1851176055032212,-0.06089373151354155,0.03308023297814505
BARRIO ALMENDRO,-0.04977372510340597,-0.6846083908267475,-0.028925563725998263,-0.029891110681613167,-0.016582179494183055
BARRIO ALTOS DE NATANIA,-0.10464257635508192,-0.5565975977077248,-0.061695246985286605,-0.03613683188539308,-0.049906200245047265
BARRIO ATLANTICO,-0.03162541860873069,-0.8844141285506791,-0.23125733151010588,-0.05434538291697771,-0.039844099787228214
BARRIO BACK ROAD,-0.01743630443628322,-1.6044752287383313,-0.1296597969090603,-0.04151322389828903,-0.03826217213330493
BARRIO BIGTH,-0.04984912092557179,-1.1343072568637247,-0.053899910801941855,-0.031008080586109567,-0.01758068866845679
BARRIO BUENOS AIRES,-0.2184392999401345,-2.3746167373749563,-0.11444433923502499,0.21402121297752127,-0.5332118911454546
BARRIO CANTERAS,-0.03255552411334153,-1.0588157612198905,-0.2844411973266242,-0.0557999863631246,0.015349232758224609
BARRIO CARTAGENA ALEGRE,-0.02687642011766216,-0.8820482555353756,-0.11313423472214633,-0.04673052120783897,-0.009273052959591348
BARRIO CESAR GAVIRIA,-0.2529356990039231,-0.2637425470873179,0.2121458179737333,0.056067527632549456,-13.751293758767144
BARRIO COCAL,-0.023353490326335973,-1.0106773218597855,-0.08713282371724017,-0.08413810265936317,-0.062826396236827
BARRIO CORALES,-0.04022732876073456,-1.0685840422788422,-0.20637805087972597,-0.045218662934559825,-0.016731525449763467
BARRIO DAVIS HILL,-0.09630718567912396,-1.1150640733263633,0.06718627097076223,-0.10141388687077361,-0.1323477268669102
BARRIO EL BIGHT,-0.05599575525484834,-0.9095826947385554,-0.1151329261559473,-0.011609599451482,-0.02939106629938678
BARRIO EL CLIFF,-0.039059089148724066,-0.6274754612854604,-0.10229474145002218,-0.03765110954560027,-0.010336861129408355
BARRIO GAVIOTAS,-0.03599502065999223,-0.8157009393460254,-0.09514415215815045,-0.0435850498506234,-0.040517262568408485
BARRIO LA JUNGLA,-0.07324092807568261,-0.6257096215941244,-0.15010597929298533,-0.10052332265783263,-0.06415877894595971
BARRIO LA PAZ,-0.01600115555778299,-2.4878804178805995,-0.02872828296521568,-0.043051181259538565,-0.0515480163106474
BARRIO LA ROCOSA,-0.012543545855498965,-1.6754384595085046,-0.1049840033223669,-0.047326672738208994,-0.04721931068875652
