Barrio,Edad,Sexo,Mes,Dia,Hora
11 DE NOVIEMBRE,-0.08218785246828246,-0.9567160460200334,-0.506366137885961,-0.11400899216199126,-0.04835437787105697
12 DE OCTUBRE,-0.035096767073006574,-0.4542546531679985,0.036789952111776505,-0.016829896995876756,-0.14424177330220375
1º DE MAYO,-0.057934989909924337,-0.4022748470386359,-0.13768897534678448,-0.022308875342915552,-0.03012171656035783
20 DE JULIO,-0.13463196131144345,-1.1300152776310273,-0.17697327193066273,-0.06412329499527591,-0.07060818830521905
25 DE DICIEMBRE,-0.12767471466282282,-0.1948966236875129,-0.12915749526023332,-0.04763801351820519,-0.04316377611274073
5 DE ENERO,-0.10243389547665437,-1.4713592196060452,-0.11213409816462079,-0.07183273745219455,-0.07140000527768231
5 DE NOVIEMBRE,-0.10002344290916922,-0.8967725234634999,-0.10644238969771923,-0.05193119080401885,-0.06255168701785388
7 DE AGOSTO,-0.08890271582267803,-0.16183442507516438,-0.1235939323513095,-0.046141152002263604,-0.03501307475109477
8 DE DICIEMBRE,-0.15608550941844299,-1.0947060679297582,-0.06351951732480746,-0.04350397074228098,-0.09771228247547235
9 DE MARZO,-0.1425715487943571,-0.7878621946627146,-0.17525555262292292,-0.02958339124539446,-0.059396224046805474
AEROPUERTO,-0.10222617845131814,-0.5271243095697099,-0.11473660772391957,-0.06331172092374762,-0.08959908485609618
ALAMOS I,-0.13011559010190568,-0.852017830624554,-0.22097056901003087,-0.02752708211315855,-0.031151990843192416
ALAMOS II,-0.09271683462375982,-0.8897463330080579,-0.10428638169489479,-0.045026756988074276,-0.061696384765734316
ALAMOS III,-0.12465653644810311,-0.8474159182199608,-0.14514915962068026,-0.08163019311587592,-0.01744615079675734
ALFONSO LOPEZ,-0.04556681356140421,-0.8491520399785629,-0.1462341733709171,-0.035494031761406614,-0.05265237995365241
ALMACEN EXITO LAS FLORES,-0.08211654942404682,-1.2309386097569048,-0.15524834081479283,-0.07056266602942216,-0.06104639957450519
ALMAGRARIO,-0.14674922525219045,-19.041358167107223,-0.15740922276569544,-0.04142423593710451,-161.93396746210806
ALTAGRACIA,-0.10454814512543516,-0.7395098036370674,-0.1357480746396754,-0.03219690392887257,-0.06264184805144467
ALTOS DE CONFACESAR,-0.0736734749133392,-1.3671129657621344,-0.17995260229541135,-0.07266110684084785,-0.0810630548881182
ALTOS DE GARUPAL,-0.11022396589710773,-0.8081373335918708,-0.26283342489355616,-0.05790887971064709,-0.11775954129896286
ALTOS DE PIMIENTA,-0.10919732736174129,-0.735775200216848,-0.2331073253856283,-0.0751489122444123,-0.039655265962525776
ALTOS DE ZIRUMA I,-0.21055872883323415,-1.3835129476012018,-0.08641477674242869,0.0018677661608844797,-0.10059721065156453
ALTOS DE ZIRUMA II,-0.3416129132954989,-0.27031241340292766,-0.09386286608169912,0.07344619442239869,-0.21266927012655665
ALTOS DEL ROSARIO,-0.12101962300860532,-0.7241711224850523,-0.23975043345000147,-0.031875794793584995,-0.10437106617420536
ALTOS DEL VALLE,-0.10316755124857162,-16.715793559382295,-0.3387799780949692,-3.297353373128417,0.1983706131618214
AMANECERES DEL VALLE,-0.09629279456602531,-0.5840858149590502,-0.22024335218679045,-0.0506241285398376,-0.06248514996234666
AREVALO,-0.15998434059520925,0.04079235993163511,-0.24145678312514077,-0.040923474548459134,-14.49389218327018
ARIZONA,-0.08918417339973973,-0.46511382519007416,-0.1447715402405741,-0.05263385363956808,-0.03906082051346746
AZUCAR BUENA,-0.1265018488187671,-1.7185785902457191,-0.1276516198995769,-0.07656816520303371,-0.07183921426496322
BALNEARIO HURTADO,-0.08091507744908112,0.03556095391041957,-0.1618041933962467,-0.031080588217532526,-0.05225242622501003
BATALLON LA POPA,-0.15208917202799072,-0.6528018088170042,-0.13861460044012783,-0.0395261142245302,-0.09037840947322645
BELLA VISTA,-0.07253224108835268,-0.8645831803469343,-0.2054861603425,-0.0445124154945323,-0.0868329941699492
