,Departamento,Capital,Barrio,long,lat
2,QUINDÍO,ARMENIA (CT),LA FACHADA,-75.71832090000001,4.5225865
5,QUINDÍO,ARMENIA (CT),CENTRO,-75.6716075,4.53417
6,QUINDÍO,ARMENIA (CT),LA DIVISA,-75.676082,4.5412319000000005
8,QUINDÍO,ARMENIA (CT),COINCA,-75.6533488,4.5585806
9,QUINDÍO,ARMENIA (CT),OBRERO,-75.68042120000001,4.5288227999999995
15,QUINDÍO,ARMENIA (CT),CAFETERO,-75.6761242,4.5305487
17,QUINDÍO,ARMENIA (CT),LA UNION,-75.68999170000001,4.5343287000000005
19,QUINDÍO,ARMENIA (CT),ACACIAS,-75.6909838,4.5230415
20,QUINDÍO,ARMENIA (CT),FUNDADORES,-75.66280400000001,4.5441321
24,QUINDÍO,ARMENIA (CT),NUEVA CECILIA,-75.66240040000001,4.5473813
25,QUINDÍO,ARMENIA (CT),EL RECREO,-75.6828297,4.5362323
26,QUINDÍO,ARMENIA (CT),SANTANDER,-75.6865071,4.5268808
28,QUINDÍO,ARMENIA (CT),EL BERLIN,-75.67959259999999,4.5345477999999995
29,QUINDÍO,ARMENIA (CT),CORBONES,-75.6766659,4.5419264
30,QUINDÍO,ARMENIA (CT),LA ALDEA,-75.6723751,4.536307
31,QUINDÍO,ARMENIA (CT),LA LORENA,-75.6604482,4.549393599999999
32,QUINDÍO,ARMENIA (CT),AV. CENTENARIO,-75.65241359999999,4.5113875
33,QUINDÍO,ARMENIA (CT),REGIVIT,-75.64944443733378,4.56501855
36,QUINDÍO,ARMENIA (CT),CRISTALINA,-75.65352390000001,4.5749811
38,QUINDÍO,ARMENIA (CT),FUNDADORES BAJO,-75.66280400000001,4.5441321
39,QUINDÍO,ARMENIA (CT),ISABELA,-75.69753315161918,4.51840495
40,QUINDÍO,ARMENIA (CT),EL TIGREROS,-75.67837349999999,4.5416539
42,QUINDÍO,ARMENIA (CT),SECTOR BOCA DEL TUNEL,-75.67463992032384,4.5384303500000005
44,QUINDÍO,ARMENIA (CT),ALFONSO LOPEZ,-75.69373490000001,4.530847799999999
46,QUINDÍO,ARMENIA (CT),GRANADA,-75.6739513,4.5446689000000005
48,QUINDÍO,ARMENIA (CT),PARAISO,-75.67942140000001,4.545853500000001
50,QUINDÍO,ARMENIA (CT),SAN FERNANDO,-75.66937309999999,4.5393661
51,QUINDÍO,ARMENIA (CT),SAN DIEGO,-75.68752099999999,4.520946599999999
52,QUINDÍO,ARMENIA (CT),EL PORTICO,-75.6474305,4.572351599999999
53,QUINDÍO,ARMENIA (CT),PARQUE CONSTITUCION,-75.67188580281672,4.532009400000001
54,QUINDÍO,ARMENIA (CT),LAURELES,-75.6559516,4.559606099999999
55,QUINDÍO,ARMENIA (CT),LA ARCADIA,-75.70216991291774,4.5176672
56,QUINDÍO,ARMENIA (CT),MERCAR,-75.7182829,4.528174900000001
61,QUINDÍO,ARMENIA (CT),GIBRALTAR,-75.7103968,4.5251538
62,QUINDÍO,ARMENIA (CT),EL RETIRO,-75.66503885579795,4.5492442
63,QUINDÍO,ARMENIA (CT),LAS PALMAS,-75.66415,4.5436678
64,QUINDÍO,ARMENIA (CT),LA CASTELLANA,-75.6575602,4.551288400000001
65,QUINDÍO,ARMENIA (CT),GALAN,-75.666943,4.541253299999999
66,QUINDÍO,ARMENIA (CT),LA PATRIA,-75.7024892,4.5409505
67,QUINDÍO,ARMENIA (CT),FARALLONES,-75.6914008,4.5210018
68,QUINDÍO,ARMENIA (CT),LOS NARANJOS,-75.69844590000001,4.520089
69,QUINDÍO,ARMENIA (CT),LA CECILIA,-75.66240040000001,4.5473813
70,QUINDÍO,ARMENIA (CT),TRES ESQUINAS,-75.6887021,4.5200682
73,QUINDÍO,ARMENIA (CT),CENTENARIO,-75.6752671,4.5346915
76,QUINDÍO,ARMENIA (CT),SALAZAR,-75.6829913,4.5338473
79,QUINDÍO,ARMENIA (CT),SAN ANDRES,-75.6949185,4.538769
80,QUINDÍO,ARMENIA (CT),LA MILAGROSA,-75.6966929,4.5257822999999995
81,QUINDÍO,ARMENIA (CT),ARENALES,-75.68753620000001,4.5136678
82,QUINDÍO,ARMENIA (CT),LA CAMPIÑA,-75.655917,4.552428599999999
83,QUINDÍO,ARMENIA (CT),LA ESTANCIA,-75.65962744557554,4.5428359
85,QUINDÍO,ARMENIA (CT),PROVIDENCIA,-75.6603198,4.551444999999999
86,QUINDÍO,ARMENIA (CT),LAS AMERICAS,-75.6847301,4.5427800000000005
87,QUINDÍO,ARMENIA (CT),MONTEVIDEO,-75.6961512,4.5357592
88,QUINDÍO,ARMENIA (CT),EL NOGAL,-75.6557738,4.5540514000000005
89,QUINDÍO,ARMENIA (CT),SECTOR COLISEO DEL CAFE,-75.66817770122492,4.54777185
90,QUINDÍO,ARMENIA (CT),EL BELEN,-75.69036009999999,4.529386
92,QUINDÍO,ARMENIA (CT),MONTEPRADO,-75.69311540000001,4.532844
93,QUINDÍO,ARMENIA (CT),CINCUENTENARIO,-75.6806743,4.5313643
94,QUINDÍO,ARMENIA (CT),LA ARBOLEDA,-75.66978940000001,4.545578099999999
95,QUINDÍO,ARMENIA (CT),8 DE MARZO,-75.69851369999999,4.5257502999999994
98,QUINDÍO,ARMENIA (CT),MERCEDES DEL NORTE,-75.66799499999999,4.5548434
100,QUINDÍO,ARMENIA (CT),CIUDADELA EL SOL,-75.7020049,4.5274318
102,QUINDÍO,ARMENIA (CT),NUEVO ARMENIA,-75.68607370000001,4.5486641
104,QUINDÍO,ARMENIA (CT),LA CABAÑA,-75.67116419999999,4.5407124
