,Departamento,Capital,Barrio,long,lat
0,BOLÍVAR,CARTAGENA (CT),EL POZON,-75.4598907,10.4137224
1,BOLÍVAR,CARTAGENA (CT),PIE DE LA POPA,-75.53105366878404,10.4166355
2,BOLÍVAR,CARTAGENA (CT),EL LAGUITO,-75.56134549451059,10.396082
3,BOLÍVAR,CARTAGENA (CT),ALAMEDA LA VICTORIA,-75.4742727,10.3841708
4,BOLÍVAR,CARTAGENA (CT),CENTRO,-75.55113316101422,10.424261
5,BOLÍVAR,CARTAGENA (CT),SANTA MONICA,-75.4776319,10.3885009
6,BOLÍVAR,CARTAGENA (CT),MARTINEZ MARTELO,-75.5214111,10.4091881
7,BOLÍVAR,CARTAGENA (CT),BOCAGRANDE,-75.55271183320954,10.4060274
8,BOLÍVAR,CARTAGENA (CT),CHIQUINQUIRA,-75.4911395,10.4040614
9,BOLÍVAR,CARTAGENA (CT),ARROZ BARATO,-75.49136209999998,10.356529
10,BOLÍVAR,CARTAGENA (CT),NUEVO PARAISO,-75.4691658,10.4071233
11,BOLÍVAR,CARTAGENA (CT),BRUSELAS,-75.5173325,10.4051658
12,BOLÍVAR,CARTAGENA (CT),LA QUINTA,-75.52347840000002,10.4154624
13,BOLÍVAR,CARTAGENA (CT),CHIPRE,-75.48817220000002,10.3955656
14,BOLÍVAR,CARTAGENA (CT),BOSTON,-75.50735279999998,10.412169
15,BOLÍVAR,CARTAGENA (CT),BAZURTO,-75.524428,10.413993
16,BOLÍVAR,CARTAGENA (CT),SAN FERNANDO,-75.47121729999998,10.381288
17,BOLÍVAR,CARTAGENA (CT),MANGA,-75.53494394524017,10.41165795
18,BOLÍVAR,CARTAGENA (CT),CAMILO TORRES,-75.45470032485285,10.405805
19,BOLÍVAR,CARTAGENA (CT),ALCIBIA,-75.51390759999998,10.409521
20,BOLÍVAR,CARTAGENA (CT),ESPAÑA,-75.5107166,10.4055142
21,BOLÍVAR,CARTAGENA (CT),CRESPO,-75.51767293052788,10.4473643
