,Departamento,Capital,Barrio,long,lat
0,CAQUETÁ,FLORENCIA (CT),EL CENTRO,-75.6143045,1.6158666000000002
1,CAQUETÁ,FLORENCIA (CT),ABBAS TURBAY,-75.5995352675842,1.62126615
2,CAQUETÁ,FLORENCIA (CT),VILLAMONICA,-75.6000866,1.6005568
3,CAQUETÁ,FLORENCIA (CT),LA LIBERTAD,-75.6143045,1.6158666000000002
4,CAQUETÁ,FLORENCIA (CT),BELLAVISTA,-75.6143045,1.6158666000000002
5,CAQUETÁ,FLORENCIA (CT),EL CUNDUY,-75.6089615819528,1.6348638999999998
6,CAQUETÁ,FLORENCIA (CT),LA INMACULADA,-75.61107560134073,1.6196258999999995
7,CAQUETÁ,FLORENCIA (CT),LA AMAZONIA,-75.60431603704366,1.62040805
8,CAQUETÁ,FLORENCIA (CT),LOS PINOS,-75.6143045,1.6158666000000002
9,CAQUETÁ,FLORENCIA (CT),EL PRADO,-75.6143045,1.6158666000000002
10,CAQUETÁ,FLORENCIA (CT),LA PRIMAVERA,-75.6143045,1.6158666000000002
11,CAQUETÁ,FLORENCIA (CT),ATALAYA,-75.60657734968675,1.6265489
12,CAQUETÁ,FLORENCIA (CT),EL MANANTIAL,-75.6143045,1.6158666000000002
13,CAQUETÁ,FLORENCIA (CT),RICAURTE,-75.6143045,1.6158666000000002
14,CAQUETÁ,FLORENCIA (CT),COMFACA,-75.6118399,1.6125958
15,CAQUETÁ,FLORENCIA (CT),LA PRADERA,-75.60736303123932,1.61904175
16,CAQUETÁ,FLORENCIA (CT),NAPOLES,-75.6143045,1.6158666000000002
17,CAQUETÁ,FLORENCIA (CT),VDA.  LA ESPERANZA,-75.6143045,1.6158666000000002
18,CAQUETÁ,FLORENCIA (CT),BARRIO EL CENTRO,-75.6143045,1.6158666000000002
