,Departamento,Capital,Barrio,long,lat
0,BOLÍVAR,CARTAGENA (CT),EL POZON,-75.4598907,10.413722400000001
1,BOLÍVAR,CARTAGENA (CT),PIE DE LA POPA,-75.53105366878404,10.4166355
2,BOLÍVAR,CARTAGENA (CT),EL LAGUITO,-75.56134549451059,10.396082
4,BOLÍVAR,CARTAGENA (CT),ALAMEDA LA VICTORIA,-75.4742727,10.384170800000001
5,BOLÍVAR,CARTAGENA (CT),CENTRO,-75.55113316101422,10.424261
8,BOLÍVAR,CARTAGENA (CT),SANTA MONICA,-75.4776319,10.3885009
9,BOLÍVAR,CARTAGENA (CT),MARTINEZ MARTELO,-75.5214111,10.4091881
10,BOLÍVAR,CARTAGENA (CT),BOCAGRANDE,-75.55271183320954,10.406027400000001
11,BOLÍVAR,CARTAGENA (CT),CHIQUINQUIRA,-75.4911395,10.4040614
13,BOLÍVAR,CARTAGENA (CT),ARROZ BARATO,-75.49136209999999,10.356529
14,BOLÍVAR,CARTAGENA (CT),NUEVO PARAISO,-75.4691658,10.4071233
15,BOLÍVAR,CARTAGENA (CT),BRUSELAS,-75.5173325,10.4051658
17,BOLÍVAR,CARTAGENA (CT),LA QUINTA,-75.52347840000002,10.415462400000001
19,BOLÍVAR,CARTAGENA (CT),CHIPRE,-75.48817220000001,10.3955656
21,BOLÍVAR,CARTAGENA (CT),BOSTON,-75.50735279999999,10.412169
23,BOLÍVAR,CARTAGENA (CT),BAZURTO,-75.524428,10.413993
25,BOLÍVAR,CARTAGENA (CT),SAN FERNANDO,-75.47121729999999,10.381288
26,BOLÍVAR,CARTAGENA (CT),MANGA,-75.53494394524017,10.41165795
29,BOLÍVAR,CARTAGENA (CT),CAMILO TORRES,-75.45470032485285,10.405805
31,BOLÍVAR,CARTAGENA (CT),ALCIBIA,-75.51390759999998,10.409521
32,BOLÍVAR,CARTAGENA (CT),ESPAÑA,-75.5107166,10.405514199999999
33,BOLÍVAR,CARTAGENA (CT),CRESPO,-75.51767293052788,10.4473643
34,BOLÍVAR,CARTAGENA (CT),ALMIRANTE COLON,-75.49589979845815,10.38659415
35,BOLÍVAR,CARTAGENA (CT),NARIÑO,-75.529397,10.425794900000001
36,BOLÍVAR,CARTAGENA (CT),LA CANDELARIA,-75.5122046,10.4132091
38,BOLÍVAR,CARTAGENA (CT),LA ESPERANZA,-75.4420787,10.3967371
