,Departamento,Capital,Barrio,long,lat
0,CHOCÓ,QUIBDÓ (CT),EL JARDIN,-76.6540463,5.6845709000000015
1,CHOCÓ,QUIBDÓ (CT),SANTA ANA,-76.6540463,5.6845709000000015
2,CHOCÓ,QUIBDÓ (CT),CENTRO,-76.6540463,5.6845709000000015
3,CHOCÓ,QUIBDÓ (CT),ROMA,-76.6540463,5.6845709000000015
4,CHOCÓ,QUIBDÓ (CT),SAN JOSE,-76.6540463,5.6845709000000015
5,CHOCÓ,QUIBDÓ (CT),SAN MARTIN,-76.6540463,5.6845709000000015
6,CHOCÓ,QUIBDÓ (CT),AURORA,-76.6540463,5.6845709000000015
7,CHOCÓ,QUIBDÓ (CT),CARAÑO,-76.64390798082734,5.69096385
8,CHOCÓ,QUIBDÓ (CT),FUTURO,-76.65225240000002,5.7214435
9,CHOCÓ,QUIBDÓ (CT),EL ROCIO,-76.6540463,5.6845709000000015
10,CHOCÓ,QUIBDÓ (CT),LOS ALAMOS,-76.6540463,5.6845709000000015
11,CHOCÓ,QUIBDÓ (CT),EL BASURERO,-76.6540463,5.6845709000000015
12,CHOCÓ,QUIBDÓ (CT),CENTRAL,-76.6540463,5.6845709000000015
13,CHOCÓ,QUIBDÓ (CT),AEROPARQUE,-76.64572131016618,5.69066895
14,CHOCÓ,QUIBDÓ (CT),CASA BLANCA,-76.6540463,5.6845709000000015
