,Departamento,Capital,Barrio,long,lat
2,TOLIMA,IBAGUÉ (CT),CENTRO,-75.2366416,4.4419935
3,TOLIMA,IBAGUÉ (CT),TULIO VARON,-75.1790185197914,4.43752875
4,TOLIMA,IBAGUÉ (CT),SAN LUIS,-75.2095758,4.445957099999999
6,TOLIMA,IBAGUÉ (CT),EL LIMONAR,-75.2039921,4.4365652
7,TOLIMA,IBAGUÉ (CT),PICALEÑA,-75.1416042,4.399321700000001
9,TOLIMA,IBAGUÉ (CT),ESTACION,-75.23061659999999,4.4391565
10,TOLIMA,IBAGUÉ (CT),FEDERICO LLERAS,-75.20465543817414,4.4356257
11,TOLIMA,IBAGUÉ (CT),INTERLAKEN (1),-75.2342252,4.4444534
12,TOLIMA,IBAGUÉ (CT),AMBALA,-75.200602,4.4571909000000005
13,TOLIMA,IBAGUÉ (CT),MIROLINDO,-75.2108614,4.4299364
14,TOLIMA,IBAGUÉ (CT),JORDAN I ETAPA,-75.20052240000001,4.434915900000001
16,TOLIMA,IBAGUÉ (CT),PUEBLO NUEVO,-75.2377115,4.446080599999999
17,TOLIMA,IBAGUÉ (CT),LA CASTELLANA,-75.11816030749901,4.4730503499999985
18,TOLIMA,IBAGUÉ (CT),LA FRANCIA,-75.2245272,4.43441185
20,TOLIMA,IBAGUÉ (CT),COMBEIMA,-75.24378279999999,4.441134099999999
21,TOLIMA,IBAGUÉ (CT),AMERICA,-75.23952918581945,4.4443135
22,TOLIMA,IBAGUÉ (CT),CADIZ,-75.2184787,4.4374289000000005
25,TOLIMA,IBAGUÉ (CT),JORDAN IX ETAPA,-75.2004382,4.443304
27,TOLIMA,IBAGUÉ (CT),ATOLSURE,-75.18122109999999,4.4389508
28,TOLIMA,IBAGUÉ (CT),LA GAVIOTA,-75.18049612883706,4.4531385000000006
29,TOLIMA,IBAGUÉ (CT),SIMON BOLIVAR,-75.244252,4.4461242
31,TOLIMA,IBAGUÉ (CT),AUGUSTO E. MEDINA,-75.246499,4.4538095
32,TOLIMA,IBAGUÉ (CT),VIA PICALEÑA,-75.1416042,4.399321700000001
34,TOLIMA,IBAGUÉ (CT),ESTADIO,-75.2430012,4.4446595
35,TOLIMA,IBAGUÉ (CT),CALAMBEO,-75.2247203,4.4585282
37,TOLIMA,IBAGUÉ (CT),EL SALADO,-75.1450389,4.4493609
39,TOLIMA,IBAGUÉ (CT),CANTABRIA,-75.16503349999999,4.4480025
40,TOLIMA,IBAGUÉ (CT),LA POLA,-75.24401800000001,4.4465587
46,TOLIMA,IBAGUÉ (CT),GAITAN PARTE ALTA (3),-75.21638320000001,4.4436519
47,TOLIMA,IBAGUÉ (CT),GRANADA,-75.2430012,4.4446595
49,TOLIMA,IBAGUÉ (CT),IRAZU,-75.2465876,4.4511335
50,TOLIMA,IBAGUÉ (CT),BALTAZAR,-75.24459209999999,4.4426403
54,TOLIMA,IBAGUÉ (CT),LA PRADERA,-75.2359441,4.4271639
56,TOLIMA,IBAGUÉ (CT),CHAPETON,-75.26015550000001,4.4577575
57,TOLIMA,IBAGUÉ (CT),LAS VEGAS,-75.23743309999999,4.433221400000001
58,TOLIMA,IBAGUÉ (CT),YULDAIMA,-75.24038829999999,4.435524299999999
61,TOLIMA,IBAGUÉ (CT),MAGISTERIO,-75.216628,4.4366427
63,TOLIMA,IBAGUÉ (CT),GAITAN,-75.21553442416166,4.44249625
65,TOLIMA,IBAGUÉ (CT),CASA CLUB,-75.2106339,4.430818799999999
66,TOLIMA,IBAGUÉ (CT),JORDAN II ETAPA,-75.19579420000001,4.4352634
69,TOLIMA,IBAGUÉ (CT),SAN DIEGO,-75.2416994,4.4522923
70,TOLIMA,IBAGUÉ (CT),DEPARTAMENTAL,-75.24226438429389,4.443846799999998
71,TOLIMA,IBAGUÉ (CT),LA GRANJA,-75.2246153,4.4429455
74,TOLIMA,IBAGUÉ (CT),NACIONAL,-75.21748559999999,4.434289499999999
76,TOLIMA,IBAGUÉ (CT),JORDAN III ETAPA,-75.1933816,4.4362554
77,TOLIMA,IBAGUÉ (CT),INEM,-75.2299436,4.4454392
79,TOLIMA,IBAGUÉ (CT),LAS AMERICAS,-75.14556303956456,4.4087094
81,TOLIMA,IBAGUÉ (CT),CIUDAD LUZ,-75.1872218,4.4328285
83,TOLIMA,IBAGUÉ (CT),LA ARBOLEDA,-75.14840903769974,4.3980182
84,TOLIMA,IBAGUÉ (CT),GALAN,-75.24061090000001,4.4322014
85,TOLIMA,IBAGUÉ (CT),ARKANIZA,-75.1908813,4.436251599999999
86,TOLIMA,IBAGUÉ (CT),JORDAN VIII ETAPA,-75.1941502,4.4416281
87,TOLIMA,IBAGUÉ (CT),EL REFUGIO,-75.1964324,4.445810099999999
91,TOLIMA,IBAGUÉ (CT),HIPODROMO,-75.22512359999999,4.4391654
92,TOLIMA,IBAGUÉ (CT),INDUSTRIAL,-75.23903879999999,4.4378129
93,TOLIMA,IBAGUÉ (CT),LAS FERIAS,-75.2315250143496,4.43161825
94,TOLIMA,IBAGUÉ (CT),SANTA ANA,-75.16549559875703,4.4444335499999985
98,TOLIMA,IBAGUÉ (CT),ANCON,-75.2346103,4.4516875
100,TOLIMA,IBAGUÉ (CT),CALARCA,-75.2101988,4.442007299999999
