,Departamento,Capital,Barrio,long,lat
0,CALDAS,MANIZALES (CT),UNIVERSIDAD DE CALDAS,-75.49024163043312,5.06188065
1,CALDAS,MANIZALES (CT),VILLA CAFE,-75.4856081,5.068225099999999
2,CALDAS,MANIZALES (CT),LA TOSCANA,-75.4795373,5.0605098
4,CALDAS,MANIZALES (CT),LA LINDA,-75.5461373,5.091777400000001
6,CALDAS,MANIZALES (CT),LA ESTRELLA,-75.48940759999999,5.0594399
8,CALDAS,MANIZALES (CT),SAN JOAQUIN,-75.4936156,5.0722557
9,CALDAS,MANIZALES (CT),EL CARMEN,-75.5194755,5.0615868
11,CALDAS,MANIZALES (CT),LA LEONORA,-75.4943926,5.065068599999999
12,CALDAS,MANIZALES (CT),COMUNEROS,-75.49112609999999,5.0725987
13,CALDAS,MANIZALES (CT),SECTOR TRIANGULO,-75.49485018043667,5.0621097000000015
14,CALDAS,MANIZALES (CT),CENTRO,-75.51800909999999,5.06723
16,CALDAS,MANIZALES (CT),SECTOR EL CABLE,-75.48642199999999,5.0563399
17,CALDAS,MANIZALES (CT),ALTA SUIZA,-75.480124,5.0496284000000005
19,CALDAS,MANIZALES (CT),BARRIO BALCONES DE CHIPRE,-75.52501624881651,5.0693918
20,CALDAS,MANIZALES (CT),PALOGRANDE,-75.487763,5.0542808
22,CALDAS,MANIZALES (CT),ARBOLEDA,-75.4972415,5.0605934
23,CALDAS,MANIZALES (CT),ARENILLO,-75.5418324,5.0539723
24,CALDAS,MANIZALES (CT),LINARES,-75.5173198,5.068110400000001
25,CALDAS,MANIZALES (CT),CERVANTES,-75.5094789,5.0634127
26,CALDAS,MANIZALES (CT),ESTAMBUL,-75.52601120000001,5.0526419
27,CALDAS,MANIZALES (CT),NEVADO,-75.5147688,5.060339900000001
28,CALDAS,MANIZALES (CT),FUNDADORES,-75.51078575234655,5.067269100000002
31,CALDAS,MANIZALES (CT),CENTENARIO,-75.5247722,5.0655003
33,CALDAS,MANIZALES (CT),LA ENEA,-75.4630608,5.031821099999999
35,CALDAS,MANIZALES (CT),LA FRANCIA,-75.53251490000001,5.0682827
40,CALDAS,MANIZALES (CT),VILLA CARMENZA,-75.5095457,5.0602456
41,CALDAS,MANIZALES (CT),BAJO PRADO,-75.5057116,5.0607569
45,CALDAS,MANIZALES (CT),LA SULTANA,-75.4731697,5.060125
47,CALDAS,MANIZALES (CT),MINITAS,-75.4756445,5.0633815
50,CALDAS,MANIZALES (CT),LOS ALAMOS,-75.50477409999999,5.063461
