,Departamento,Capital,Barrio,long,lat
256,ANTIOQUIA,MEDELLÍN (CT),VILLA GUADALUPE C-1,-75.5516696,6.2872735
310,ANTIOQUIA,MEDELLÍN (CT),ALTAVISTA,-75.63545536252809,6.2274461
339,ANTIOQUIA,MEDELLÍN (CT),LAS FLORES,-75.66002859999999,6.3089231
382,ANTIOQUIA,MEDELLÍN (CT),SAN ISIDRO,-75.70052890000001,6.238917
403,ANTIOQUIA,MEDELLÍN (CT),MEDELLÍN E-1,-75.573553,6.2443382000000005
406,ANTIOQUIA,MEDELLÍN (CT),ZONA CENTRO,-75.57332396961814,6.26819065
408,ANTIOQUIA,MEDELLÍN (CT),LOS BALSOS,-75.5731547,6.1946477
410,ANTIOQUIA,MEDELLÍN (CT),PARIS CENTRAL,-75.58087420000001,6.313257599999999
412,ANTIOQUIA,MEDELLÍN (CT),SAN JOAQUIN,-75.585959,6.246342299999999
416,ANTIOQUIA,MEDELLÍN (CT),JARDINES,-75.60842313226563,6.25525575
420,ANTIOQUIA,MEDELLÍN (CT),SUAREZ,-75.58636151529288,6.257145599999999
421,ANTIOQUIA,MEDELLÍN (CT),PRADO,-75.5623003,6.259975700000001
440,ANTIOQUIA,MEDELLÍN (CT),ZUÑIGA,-75.57994959999999,6.1845812
449,ANTIOQUIA,MEDELLÍN (CT),ANDALUCIA,-75.55551059999999,6.2983215999999995
450,ANTIOQUIA,MEDELLÍN (CT),ZAMORA,-75.5505536,6.3091661
454,ANTIOQUIA,MEDELLÍN (CT),LOS NARANJOS,-75.55875970000001,6.1959073
459,ANTIOQUIA,MEDELLÍN (CT),BARILOCHE,-75.566525,6.1709906
461,ANTIOQUIA,MEDELLÍN (CT),CENTRO,-75.5679154,6.250102099999999
462,ANTIOQUIA,MEDELLÍN (CT),LA ALDEA,-75.7034458,6.340897
466,ANTIOQUIA,MEDELLÍN (CT),CRISTO REY,-75.58637940000001,6.2072805
467,ANTIOQUIA,MEDELLÍN (CT),ACEVEDO,-75.5583213,6.3002754
470,ANTIOQUIA,MEDELLÍN (CT),ALTO DE BOQUERON,-75.65402440000001,6.333516400000001
473,ANTIOQUIA,MEDELLÍN (CT),LOMA DEL ESCOBERO,-75.53147259999999,6.1342697
474,ANTIOQUIA,MEDELLÍN (CT),BUENOS AIRES,-75.5565935,6.230778599999999
476,ANTIOQUIA,MEDELLÍN (CT),CALLE LARGA,-75.573553,6.2443382000000005
484,ANTIOQUIA,MEDELLÍN (CT),PACHELLY,-75.5648913,6.3443116999999996
