,Departamento,Capital,Barrio,long,lat
0,META,VILLAVICENCIO (CT),LAS DELICIAS,-73.6206667,4.1315113
1,META,VILLAVICENCIO (CT),VEREDA APIAY,-73.57252690000001,4.0670735
2,META,VILLAVICENCIO (CT),VILLA JULIA,-73.63470494895773,4.15330195
3,META,VILLAVICENCIO (CT),MAIZARO,-73.61067340000002,4.1410364
4,META,VILLAVICENCIO (CT),CENTRO,-73.6206667,4.1315113
5,META,VILLAVICENCIO (CT),VILLA ORTIZ I,-73.6299365,4.1165521
6,META,VILLAVICENCIO (CT),LLANABASTOS,-73.61134301118663,4.121477799999999
7,META,VILLAVICENCIO (CT),INDUSTRIAL,-73.6262322640172,4.13557615
8,META,VILLAVICENCIO (CT),PORVENIR,-73.62901932212253,4.1442058500000005
9,META,VILLAVICENCIO (CT),VEREDA EL AMOR,-73.6572041,4.093167
10,META,VILLAVICENCIO (CT),VEREDA LA ARGENTINA,-73.6387845,4.2006090999999985
11,META,VILLAVICENCIO (CT),EL PRADO,-73.6206667,4.1315113
12,META,VILLAVICENCIO (CT),COMUNEROS,-73.6268226240095,4.1239647
13,META,VILLAVICENCIO (CT),SAN JOSE,-73.6206667,4.1315113
14,META,VILLAVICENCIO (CT),MORICHAL,-73.63374699348591,4.1105706
15,META,VILLAVICENCIO (CT),SAN BENITO,-73.63448871438581,4.1391032
16,META,VILLAVICENCIO (CT),EL RETIRO,-73.6206667,4.1315113
17,META,VILLAVICENCIO (CT),SAN ISIDRO,-73.6206667,4.1315113
18,META,VILLAVICENCIO (CT),AGUAS CLARAS,-73.610802,4.1178394
19,META,VILLAVICENCIO (CT),LA GRAMA,-73.63831356057669,4.15754725
20,META,VILLAVICENCIO (CT),BOSQUE,-73.60561700676047,4.142838899999999
21,META,VILLAVICENCIO (CT),POPULAR,-73.63598780000002,4.1519932
22,META,VILLAVICENCIO (CT),LA SALLE,-73.64165870000002,4.1501947
23,META,VILLAVICENCIO (CT),CORALINA,-73.62842343525769,4.11657305
24,META,VILLAVICENCIO (CT),VEREDA VANGUARDIA,-73.6130374674603,4.16917985
25,META,VILLAVICENCIO (CT),EL BUQUE,-73.64096020000002,4.1335243
26,META,VILLAVICENCIO (CT),CATUMARE,-73.64891850000002,4.1096911
27,META,VILLAVICENCIO (CT),LA FLORIDA,-73.6206667,4.1315113
28,META,VILLAVICENCIO (CT),CAMINO REAL,-73.611002,4.1484615
29,META,VILLAVICENCIO (CT),ANTONIO PINILLA,-73.58960004060759,4.12715195
30,META,VILLAVICENCIO (CT),CANAIMA,-73.62279455000002,4.1402
31,META,VILLAVICENCIO (CT),VEREDA BARCELONA,-73.5924122,4.0669932
