,Departamento,Capital,Barrio,long,lat
0,NORTE DE SANTANDER,CÚCUTA (CT),BARRIO CENTRO,-72.5080387,7.8971458
1,NORTE DE SANTANDER,CÚCUTA (CT),BARRIO LATINO,-72.5005675,7.8890752000000015
2,NORTE DE SANTANDER,CÚCUTA (CT),BARRIO CARORA,-72.51109050000002,7.8944463
3,NORTE DE SANTANDER,CÚCUTA (CT),BARRIO LOMA DE BOLIVAR,-72.5144026,7.890261
4,NORTE DE SANTANDER,CÚCUTA (CT),BARRIO ANTONIA SANTOS,-72.5373967,7.9097929
5,NORTE DE SANTANDER,CÚCUTA (CT),BARRIO PESCADERO,-72.5039004,7.9021969
6,NORTE DE SANTANDER,CÚCUTA (CT),BARRIO VIEJO ESCOBAL,-72.46497579999998,7.912831599999999
7,NORTE DE SANTANDER,CÚCUTA (CT),BARRIO LA MERCED,-72.5054671,7.897280900000001
8,NORTE DE SANTANDER,CÚCUTA (CT),BARRIO QUINTA BOSCH,-72.4985988,7.898934700000001
9,NORTE DE SANTANDER,CÚCUTA (CT),BARRIO PUEBLO NUEVO,-72.5080387,7.8971458
10,NORTE DE SANTANDER,CÚCUTA (CT),BARRIO TORCOROMA II,-72.4722431,7.8949123
11,NORTE DE SANTANDER,CÚCUTA (CT),MALECOM,-72.4867433,7.8924645
12,NORTE DE SANTANDER,CÚCUTA (CT),BARRIO BELEN,-72.5282079,7.8739505
13,NORTE DE SANTANDER,CÚCUTA (CT),BARRIO TUCUNARE,-72.5327678,7.9138384
14,NORTE DE SANTANDER,CÚCUTA (CT),BARRIO LOS ACACIOS,-72.4905181,7.9070177
15,NORTE DE SANTANDER,CÚCUTA (CT),BARRIO VALLE ESTHER,-72.4686367,7.8876216
16,NORTE DE SANTANDER,CÚCUTA (CT),BARRIO DIVINA PASTORA,-72.5346344,7.875077099999999
17,NORTE DE SANTANDER,CÚCUTA (CT),BARRIO RAFAEL NUÑEZ,-72.510917,7.915151
18,NORTE DE SANTANDER,CÚCUTA (CT),BARRIO CLARET,-72.52819029999998,7.9129621
19,NORTE DE SANTANDER,CÚCUTA (CT),BARRIO CIUDAD JARDIN,-72.48867779999998,7.9090864
20,NORTE DE SANTANDER,CÚCUTA (CT),BARRIO QUINTA ORIENTAL,-72.4899495,7.8969222000000014
21,NORTE DE SANTANDER,CÚCUTA (CT),BARRIO COLSAG,-72.48884953014381,7.89359315
